"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Albany County, New York","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","45,323","3,398","13,938","17,659","10,328","211,245","5,608","9,569","44,863","33,144","24,438","47,635","45,988","196,068","93,623","41,470","39,096","22,059","36,881","34,527","18,581","79,338","73,574","32,820","53,556","48,871","20,163","","164,897","156,826","76,194","160,268","152,999","74,826","22,690","19,366","5,598","167","98","28","12,787","10,679","7,835","124","94","30","2,938","2,218","1,094","7,642","6,787","2,844","10,134","8,228","3,279","","(X)","(X)","(X)","(X)","","52,600","23,349","36,453","43,773","62,644","77,171"
"        Margin of Error","","±78","±577","±968","±1,088","±1,052","±73","±704","±883","±1,641","±1,608","±1,181","±1,538","±1,680","±1,193","±2,161","±74","±490","±773","±34","±352","±752","±82","±754","±1,262","±59","±505","±863","","±578","±863","±1,894","±305","±748","±1,882","±677","±744","±695","±83","±58","±23","±402","±515","±659","±48","±48","±48","±505","±428","±277","±790","±731","±564","*****","±409","±474","","(X)","(X)","(X)","(X)","","±874","±2,417","±2,148","±1,129","±2,064","±2,051"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","7.5%","30.8%","39.0%","22.8%","(X)","2.7%","4.5%","21.2%","15.7%","11.6%","22.5%","21.8%","92.8%","44.3%","(X)","94.3%","53.2%","(X)","93.6%","50.4%","(X)","92.7%","41.4%","(X)","91.3%","37.6%","","(X)","95.1%","46.2%","(X)","95.5%","46.7%","(X)","85.4%","24.7%","(X)","58.7%","16.8%","(X)","83.5%","61.3%","(X)","75.8%","24.2%","(X)","75.5%","37.2%","(X)","88.8%","37.2%","(X)","81.2%","32.4%","","29.0%","12.8%","8.2%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.3","±2.1","±2.4","±2.3","(X)","±0.3","±0.4","±0.8","±0.8","±0.6","±0.7","±0.8","±0.6","±1.0","(X)","±1.2","±1.9","(X)","±0.9","±2.0","(X)","±0.9","±1.6","(X)","±1.0","±1.6","","(X)","±0.5","±1.1","(X)","±0.4","±1.2","(X)","±2.0","±3.0","(X)","±24.5","±15.6","(X)","±3.4","±4.2","(X)","±28.1","±33.6","(X)","±8.1","±7.9","(X)","±3.2","±5.7","(X)","±4.0","±4.7","","±3.2","±1.4","±1.1","±0.7","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","22,099","2,017","7,202","8,319","4,561","101,253","2,705","5,022","21,192","16,350","10,824","24,092","21,068","93,526","45,160","20,727","19,496","10,217","18,286","17,055","8,405","38,924","35,588","15,633","23,316","21,387","10,905","","79,186","74,757","37,095","77,064","73,021","36,521","10,702","9,155","2,558","98","42","1","6,352","5,315","3,866","47","41","0","1,287","976","500","3,581","3,240","1,140","4,865","4,038","1,626","","(X)","(X)","(X)","(X)","","58,189","30,363","41,244","50,330","69,262","92,814"
"        Margin of Error","","±61","±473","±624","±736","±621","±76","±468","±575","±1,025","±989","±874","±1,201","±971","±688","±1,425","±34","±295","±579","±15","±262","±556","±63","±466","±828","±47","±318","±535","","±365","±598","±1,182","±177","±539","±1,179","±396","±442","±434","±66","±37","±2","±158","±228","±322","±31","±34","±30","±322","±280","±203","±448","±435","±307","*****","±235","±338","","(X)","(X)","(X)","(X)","","±1,848","±7,201","±2,553","±2,131","±2,523","±5,364"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.1%","32.6%","37.6%","20.6%","(X)","2.7%","5.0%","20.9%","16.1%","10.7%","23.8%","20.8%","92.4%","44.6%","(X)","94.1%","49.3%","(X)","93.3%","46.0%","(X)","91.4%","40.2%","(X)","91.7%","46.8%","","(X)","94.4%","46.8%","(X)","94.8%","47.4%","(X)","85.5%","23.9%","(X)","42.9%","1.0%","(X)","83.7%","60.9%","(X)","87.2%","0.0%","(X)","75.8%","38.9%","(X)","90.5%","31.8%","(X)","83.0%","33.4%","","26.3%","11.3%","7.1%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±2.1","±2.8","±3.3","±2.8","(X)","±0.5","±0.6","±1.0","±1.0","±0.9","±1.2","±1.0","±0.7","±1.4","(X)","±1.4","±2.8","(X)","±1.4","±3.0","(X)","±1.2","±2.1","(X)","±1.4","±2.3","","(X)","±0.7","±1.5","(X)","±0.7","±1.5","(X)","±2.9","±4.0","(X)","±34.2","±2.9","(X)","±3.7","±5.0","(X)","±26.1","±46.5","(X)","±9.9","±12.7","(X)","±3.7","±8.1","(X)","±4.8","±6.9","","±4.0","±1.9","±1.3","±1.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","23,224","1,381","6,736","9,340","5,767","109,992","2,903","4,547","23,671","16,794","13,614","23,543","24,920","102,542","48,463","20,743","19,600","11,842","18,595","17,472","10,176","40,414","37,986","17,187","30,240","27,484","9,258","","85,711","82,069","39,099","83,204","79,978","38,305","11,988","10,211","3,040","69","56","27","6,435","5,364","3,969","77","53","30","1,651","1,242","594","4,061","3,547","1,704","5,269","4,190","1,653","","(X)","(X)","(X)","(X)","","47,089","18,494","31,955","37,992","53,666","68,582"
"        Margin of Error","","±43","±393","±682","±763","±713","±67","±447","±535","±1,054","±952","±775","±959","±1,138","±769","±1,359","±63","±321","±531","±31","±248","±466","±59","±463","±785","±31","±334","±654","","±340","±523","±1,226","±179","±414","±1,209","±535","±545","±445","±42","±37","±24","±301","±375","±447","±48","±41","±48","±310","±271","±187","±638","±588","±496","*****","±289","±291","","(X)","(X)","(X)","(X)","","±1,524","±1,859","±2,210","±1,810","±2,288","±1,985"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","5.9%","29.0%","40.2%","24.8%","(X)","2.6%","4.1%","21.5%","15.3%","12.4%","21.4%","22.7%","93.2%","44.1%","(X)","94.5%","57.1%","(X)","94.0%","54.7%","(X)","94.0%","42.5%","(X)","90.9%","30.6%","","(X)","95.8%","45.6%","(X)","96.1%","46.0%","(X)","85.2%","25.4%","(X)","81.2%","39.1%","(X)","83.4%","61.7%","(X)","68.8%","39.0%","(X)","75.2%","36.0%","(X)","87.3%","42.0%","(X)","79.5%","31.4%","","31.9%","14.2%","9.2%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.7","±2.9","±3.3","±3.1","(X)","±0.4","±0.5","±1.0","±0.9","±0.7","±0.9","±1.0","±0.7","±1.2","(X)","±1.5","±2.6","(X)","±1.3","±2.5","(X)","±1.1","±1.9","(X)","±1.1","±2.2","","(X)","±0.5","±1.4","(X)","±0.5","±1.5","(X)","±2.4","±3.5","(X)","±23.3","±29.6","(X)","±4.1","±5.2","(X)","±35.2","±47.6","(X)","±10.9","±9.7","(X)","±5.2","±8.3","(X)","±5.5","±5.5","","±4.3","±2.2","±1.6","±0.8","","(X)","(X)","(X)","(X)","(X)","(X)"
