,Wave 1_Patients Admitted Due to COVID,Wave 2_Patients Admitted Due to COVID,Wave 3_Patients Admitted Due to COVID,Wave 1_Patients Admitted Not Due to COVID,Wave 2_Patients Admitted Not Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 1_Patients Newly Admitted,Wave 2_Patients Newly Admitted,Wave 3_Patients Newly Admitted,Wave 1_Patients Positive After Admission,Wave 2_Patients Positive After Admission,Wave 3_Patients Positive After Admission,Wave 1_Patients Discharged,Wave 2_Patients Discharged,Wave 3_Patients Discharged,Wave 1_Patients Currently in ICU,Wave 2_Patients Currently in ICU,Wave 3_Patients Currently in ICU,Wave 1_Patients Currently ICU Intubated,Wave 2_Patients Currently ICU Intubated,Wave 3_Patients Currently ICU Intubated,Wave 1_Patients Expired,Wave 2_Patients Expired,Wave 3_Patients Expired,Wave 1_Patients Age Less Than 1 Year,Wave 2_Patients Age Less Than 1 Year,Wave 3_Patients Age Less Than 1 Year,Wave 1_Patients Age 1 To 4 Years,Wave 2_Patients Age 1 To 4 Years,Wave 3_Patients Age 1 To 4 Years,Wave 1_Patients Age 5 to 19 Years,Wave 2_Patients Age 5 to 19 Years,Wave 3_Patients Age 5 to 19 Years,Wave 1_Patients Age 20 to 44 Years,Wave 2_Patients Age 20 to 44 Years,Wave 3_Patients Age 20 to 44 Years,Wave 1_Patients Age 45 to 54 Years,Wave 2_Patients Age 45 to 54 Years,Wave 3_Patients Age 45 to 54 Years,Wave 1_Patients Age 55 to 64 Years,Wave 2_Patients Age 55 to 64 Years,Wave 3_Patients Age 55 to 64 Years,Wave 1_Patients Age 65 to 74 Years,Wave 2_Patients Age 65 to 74 Years,Wave 3_Patients Age 65 to 74 Years,Wave 1_Patients Age 75 to 84 Years,Wave 2_Patients Age 75 to 84 Years,Wave 3_Patients Age 75 to 84 Years,Wave 1_Patients Age Greater Than 85 Years,Wave 2_Patients Age Greater Than 85 Years,Wave 3_Patients Age Greater Than 85 Years,Wave 1_Hospitalized Indicator,Wave 2_Hospitalized Indicator,Wave 3_Hospitalized Indicator,CountyPop,2020 Population Density1
ALBANY,0,0,49.75,0,0,17.01515152,3,10.67234043,14.89393939,0.894736842,0.570212766,0.356060606,4.357894737,9.723404255,13.67424242,18.98947368,19.06382979,21.04545455,12.27368421,7.923404255,9.295454545,1.073684211,1.540425532,1.606060606,0.094736842,0.076595745,1.121212121,0.042105263,0.076595745,0.598484848,0.094736842,0.965957447,3.378787879,5.494736842,7.655319149,15.84848485,7.6,10.34042553,12.56818182,13.92631579,18.89787234,20.65909091,17.94736842,22.48510638,28.25757576,13.32631579,24.67659574,23.15151515,4.757894737,19.0212766,11.46212121,0,0,0,314848,580.72
ALLEGANY,0,0,2.863636364,0,0,0.446969697,0.063157895,0.617021277,1.545454545,0.094736842,0.157446809,0.037878788,0.052631579,0.782978723,1.75,0.242105263,0.863829787,2,0,0.008510638,0.196969697,0,0.055319149,0.189393939,0,0,0.015151515,0,0,0,0,0,0.015151515,0,0.2,0.727272727,0.115789474,0.459574468,0.856060606,0.052631579,0.74893617,1.75,0.042105263,1.468085106,3.371212121,0.231578947,2.187234043,2.159090909,0.115789474,1.744680851,2.189393939,0,0,0,46456,44.28
BRONX,0,0,122.3712121,0,0,112.4621212,34.95789474,21.20851064,30.40151515,80.83157895,16.68085106,14.78787879,85,34.34042553,40.66666667,238.2105263,65.97021277,52.18939394,212.9789474,42.41276596,19.79545455,28.91578947,4.153191489,3.651515152,1.642105263,0.331914894,2.295454545,0.821052632,0.463829787,2.659090909,6.557894737,3.655319149,5.977272727,115.9052632,35.37446809,61.38636364,131.5578947,36.13191489,38.96969697,214.5052632,65.45531915,58.23484848,212.7789474,80.27659574,62.0530303,137.4947368,60.05106383,52.46212121,53.07368421,30.64255319,35.46969697,0.010526316,0.004255319,0,1472654,33224.46
BROOME,0,0,18.03030303,0,0,20.76515152,0.515789474,2.787234043,3.583333333,1.010526316,5.076595745,8.310606061,1.157894737,6.710638298,10.84848485,6.957894737,11.45531915,9.409090909,2.073684211,5.038297872,5.621212121,0.263157895,0.829787234,0.893939394,0,0,0.204545455,0,0,0,0,0.561702128,0.340909091,0.747368421,5.289361702,11.48484848,0.852631579,4.838297872,8.477272727,3.663157895,12.33617021,17.17424242,2.873684211,17.16595745,20.6969697,3.768421053,17.39574468,17.93939394,3.168421053,17.99574468,11.49242424,0.010526316,0,0,198683,268.44
CATTARAUGUS,0,0,7.371212121,0,0,3.401515152,0.136842105,1.587234043,3.204545455,0.052631579,0.123404255,0.143939394,0.042105263,1.531914894,3.613636364,0.789473684,3.395744681,4.121212121,0.621052632,2.646808511,3.484848485,0.052631579,0.327659574,0.651515152,0,0,0.007575758,0,0,0,0,0.012765957,0,0.242105263,1.085106383,2.113636364,0.421052632,1.812765957,3.484848485,0,2.655319149,6.068181818,0.463157895,3.961702128,6.962121212,0.2,4.106382979,7.181818182,0.094736842,2.974468085,3.878787879,0,0,0,77042,57.99
CAYUGA,0,0,3.954545455,0,0,0.628787879,0.052631579,1.493617021,1.795454545,0.010526316,0.042553191,0.090909091,0.042105263,1.331914894,1.553030303,0.052631579,1.306382979,1.045454545,0,0.476595745,0.189393939,0.010526316,0.10212766,0.166666667,0,0,0,0,0,0,0,0,0.015151515,0.084210526,0.689361702,0.931818182,0.031578947,0.778723404,0.681818182,0.010526316,1.714893617,2.204545455,0.157894737,2.029787234,2.477272727,0.063157895,1.889361702,2.553030303,0.031578947,3.795744681,1.840909091,0,0,0,76248,109.93
CHAUTAUQUA,0,0,8.128787879,0,0,3.598484848,0.073684211,2,3.590909091,0.010526316,0.123404255,0.21969697,0.052631579,1.795744681,3.257575758,0.231578947,3.021276596,4.704545455,0.084210526,0.85106383,2.121212121,0.052631579,0.276595745,0.666666667,0,0,0.015151515,0,0,0.007575758,0,0.025531915,0.128787879,0.021052632,0.761702128,2.265151515,0,1.029787234,2.424242424,0.042105263,2.412765957,7.060606061,0.073684211,3.519148936,7.462121212,0.294736842,5.225531915,6.992424242,0.094736842,5.123404255,3.477272727,0,0.004255319,0,127657,118.85
CHEMUNG,0,0,6.333333333,0,0,5.272727273,0.126315789,2.459574468,3.46969697,0.052631579,0.110638298,0.204545455,0.084210526,1.965957447,2.833333333,0.884210526,3.476595745,5.606060606,0.589473684,1.331914894,2.075757576,0.052631579,0.493617021,0.643939394,0,0.008510638,0.075757576,0,0,0,0,0.085106383,0.106060606,0.336842105,1.153191489,2.393939394,0.073684211,1.365957447,3.590909091,0.157894737,2.868085106,5.386363636,0.357894737,4.536170213,7.909090909,0.768421053,5.493617021,4.015151515,0.105263158,5.059574468,1.75,0,0,0,84148,202.84
CHENANGO,0,0,0.909090909,0,0,0.227272727,0.010526316,0.319148936,0.568181818,0.084210526,0.068085106,0.045454545,0.2,0.476595745,0.893939394,0.315789474,1.012765957,1.189393939,0,0.09787234,0.340909091,0,0.05106383,0.060606061,0,0,0,0,0,0,0,0,0.060606061,0.031578947,0.187234043,0.121212121,0,0.136170213,0.113636364,0.242105263,0.259574468,0.689393939,0.042105263,0.787234043,0.674242424,0.210526316,0.523404255,0.871212121,0,0.659574468,0.590909091,0,0,0,47220,52.29
CLINTON,0,0,8.159090909,0,0,8.712121212,0.115789474,0.591489362,1.363636364,0.378947368,0.468085106,1.560606061,0.147368421,0.991489362,2.454545455,1.126315789,0.982978723,4.174242424,0.915789474,0.336170213,2.5,0.042105263,0.10212766,0.439393939,0,0,0,0,0,0,0,0.017021277,0.121212121,0.4,0.412765957,3.553030303,0.410526316,0.54893617,2.053030303,0.494736842,1.45106383,4.742424242,0.631578947,2.582978723,8.46969697,0.263157895,3.353191489,6.068181818,0.852631579,1.714893617,5.916666667,0,0,0,79843,76.88
