"","cluster"
"ALBANY",2
"ALLEGANY",3
"BRONX",2
"BROOME",2
"CATTARAUGUS",2
"CAYUGA",1
"CHAUTAUQUA",3
"CHEMUNG",2
"CHENANGO",1
"CLINTON",2
"COLUMBIA",2
"CORTLAND",3
"DELAWARE",1
"DUTCHESS",3
"ERIE",2
"ESSEX",1
"FRANKLIN",3
"FULTON",3
"GENESEE",3
"HERKIMER",1
"JEFFERSON",3
"KINGS",3
"LEWIS",3
"LIVINGSTON",3
"MADISON",3
"MONROE",2
"MONTGOMERY",2
"NASSAU",2
"NEW YORK",2
"NIAGARA",3
"ONEIDA",3
"ONONDAGA",2
"ONTARIO",2
"ORANGE",2
"ORLEANS",1
"OSWEGO",1
"OTSEGO",2
"PUTNAM",1
"QUEENS",3
"RENSSELAER",3
"RICHMOND",2
"ROCKLAND",3
"SARATOGA",1
"SCHENECTADY",3
"SCHOHARIE",1
"SCHUYLER",1
"ST. LAWRENCE",3
"STEUBEN",3
"SUFFOLK",2
"SULLIVAN",3
"TOMPKINS",3
"ULSTER",1
"WARREN",2
"WAYNE",3
"WESTCHESTER",2
"WYOMING",3
"YATES",1
