,Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired,cluster,Median Income,Less than high school,High school graduate,Some college or associate's degree,Bachelor's degree or higher,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Unemployed,POVERTY
5,CAYUGA,5.186425158692687,0.8246614717763089,2.354756249344245,2.0368144777567934,1.3711238917742103,0.2483920089707271,0.2185849687860665,1,59602,0.12646499455452787,0.3252003446089826,0.3406427282628131,0.20769193257367644,0.3554113051470588,0.19330193014705882,0.19367532169117646,0.10417624080882353,0.15343520220588236,2.6,4.5
8,CHENANGO,1.925224288437103,0.481306071579839,1.203265180008471,1.8931372172808127,2.518835110122829,0.721959108428632,0.1283482867429055,1,55690,0.11859299162622007,0.4130086937970025,0.29428236172595873,0.1741159528508187,0.3227134502923977,0.16523976608187135,0.18923976608187135,0.11171929824561404,0.2110877192982456,4.2,7.0
12,DELAWARE,4.496759596461136,2.0346554843369145,0.8207013722126929,3.2999034305317325,0.0,0.0,0.017097946194818,1,52757,0.09603760913364674,0.40889187374076563,0.28717259905977166,0.20789791806581598,0.3238909947751255,0.19634258784960557,0.1942423931974183,0.11633029402725131,0.16919373015059933,2.5,4.7
15,ESSEX,1.3578442470773922,0.5877236296514271,0.8106532810786228,1.25651258660817,0.0,0.0,0.1621306572857868,1,61563,0.09459931974951524,0.33243269016815535,0.2849423058584189,0.2880256842239105,0.3813272684861208,0.20439701422906462,0.1892348961978073,0.11604851877770002,0.1089923023093072,3.1,5.4
19,HERKIMER,3.2122552453482767,0.214150350022448,0.604659811436838,0.579465651241291,0.0,0.0,0.0629853971632384,1,60561,0.09459656428943258,0.35410723581467984,0.349005726184279,0.20229047371160855,0.33876394545776517,0.17793518682486276,0.21990437400389587,0.10458650610943863,0.15880998760403756,3.2,5.4
34,ORLEANS,0.7323564063158416,1.2769291202934834,0.7323564063158416,1.032810319014451,0.0,0.0,0.0375567384676399,1,54882,0.13261539400225755,0.40684584642606547,0.299490527471857,0.16104823209982,0.2878578024007387,0.1722645429362881,0.2092566943674977,0.1544898430286242,0.17613111726685135,3.5,6.4
35,OSWEGO,4.170614892150606,1.2505398596043396,1.5792900285045737,1.431030148479047,2.443064982769624,0.9153436085939164,0.2191667798340778,1,61983,0.09883689710351938,0.3604759807975256,0.3489630878609861,0.1917240342379689,0.3277007957173292,0.17793477667109744,0.2209253628070431,0.11449589395291247,0.15894317085161783,4.4,7.1
37,PUTNAM,4.894441403530327,1.613381635745587,1.6831914178646026,1.5125452829995494,2.326992743785068,1.0006068794282672,0.1473762071507556,1,111617,0.07427160368112215,0.2614080419535914,0.2706363046217685,0.39368404974351795,0.45247667901210115,0.17379334930977797,0.20562080370759145,0.09183814937315561,0.07627101859737379,3.1,4.8
42,SARATOGA,3.515917875749972,1.8785874102475917,1.614813150665155,1.4604087058244055,2.415786207321164,1.0068456496354703,0.2509072226539113,1,90800,0.06680163018932088,0.24093645556033771,0.28698877252270205,0.40527314172763934,0.4817976622329706,0.14367593712212817,0.2086900443369609,0.07261588069326884,0.0932204756146715,2.4,3.6
44,SCHOHARIE,4.818665215050145,0.7903630780103655,1.453248239886922,1.2237879921922326,0.0,0.0,0.1529734973413206,1,64220,0.09327099003862574,0.36007318560683066,0.3296198414311852,0.2170359829233584,0.3677925122719613,0.16264927833540918,0.19305443622243387,0.13817862114440618,0.13832515202578943,3.3,5.8
45,SCHUYLER,4.0634301430327415,0.0,1.1005123309867024,1.7777506872276234,0.0,0.0,0.0,1,56437,0.09458060062133242,0.3612702795995858,0.3156368657231619,0.2285122540559199,0.3448233562315996,0.2054710500490677,0.2009322865554465,0.09801275760549559,0.15076054955839058,3.3,5.7
51,ULSTER,5.019927236583797,2.237096204035172,1.470567895694827,1.3372586249182024,1.1622902068176693,0.695707757999681,0.1291433563741744,1,71040,0.08624132611149328,0.2792541290714682,0.3136157509133045,0.32088879390373404,0.4035057687698997,0.2024604288632499,0.19532792404167665,0.09792643819827222,0.10077944012690153,3.1,5.1
56,YATES,1.8959270606280776,1.9876654637926856,0.9479635303140388,1.0702814038911763,0.0,0.0,0.1528973439896665,1,57635,0.15606574484737804,0.32929819984346465,0.29392121054004694,0.22071484476911035,0.31839882482556003,0.2104296731546089,0.1752662504590525,0.13193169298567756,0.16397355857510099,1.8,3.2
