"Label (Grouping)","Civilian employed population 16 years and over","Civilian employed population 16 years and over!!Management, business, science, and arts occupations","Civilian employed population 16 years and over!!Service occupations","Civilian employed population 16 years and over!!Sales and office occupations","Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations","Civilian employed population 16 years and over!!Production, transportation, and material moving occupations"
"Albany County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","162,645","78,959","26,485","36,315","7,728","13,158"
"        Margin of Error","±1,977","±1,725","±1,331","±1,675","±730","±979"
"    Employee of private company workers","","","","","",""
"        Estimate","54.0%","42.0%","60.5%","63.7%","67.9%","78.3%"
"        Margin of Error","±1.0","±1.4","±2.9","±2.4","±4.0","±3.0"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.8%","2.9%","1.7%","2.8%","6.4%","3.0%"
"        Margin of Error","±0.4","±0.4","±0.8","±0.8","±2.4","±1.3"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.4%","18.1%","14.0%","8.5%","3.3%","3.7%"
"        Margin of Error","±0.8","±1.3","±2.0","±1.5","±1.7","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","25.0%","32.0%","18.7%","22.7%","10.7%","10.3%"
"        Margin of Error","±0.9","±1.4","±2.0","±1.9","±2.8","±2.5"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.7%","5.0%","5.1%","2.3%","11.6%","4.7%"
"        Margin of Error","±0.5","±0.7","±1.1","±0.7","±2.4","±1.8"
"Allegany County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","19,135","6,687","3,658","3,612","1,987","3,191"
"        Margin of Error","±452","±344","±291","±287","±176","±248"
"    Employee of private company workers","","","","","",""
"        Estimate","56.2%","34.7%","56.9%","71.3%","60.2%","80.7%"
"        Margin of Error","±1.9","±2.7","±4.0","±3.3","±4.4","±3.2"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.5%","3.0%","0.6%","2.7%","2.3%","3.4%"
"        Margin of Error","±0.8","±1.3","±0.4","±1.2","±1.3","±2.8"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","13.0%","21.9%","14.1%","9.1%","2.8%","4.2%"
"        Margin of Error","±1.3","±2.2","±2.5","±2.2","±2.2","±1.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.4%","33.8%","20.6%","13.5%","16.5%","8.2%"
"        Margin of Error","±1.6","±2.9","±3.6","±2.5","±3.4","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.9%","6.7%","7.8%","3.3%","18.3%","3.6%"
"        Margin of Error","±0.7","±1.3","±1.9","±1.3","±3.3","±1.2"
"Bronx County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","597,690","160,973","202,101","124,074","37,305","73,237"
"        Margin of Error","±5,449","±3,527","±4,184","±3,030","±1,939","±2,703"
"    Employee of private company workers","","","","","",""
"        Estimate","66.8%","47.2%","73.2%","73.4%","80.2%","74.0%"
"        Margin of Error","±0.6","±1.2","±1.0","±1.3","±1.8","±1.6"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","1.8%","2.1%","1.2%","1.5%","3.1%","2.1%"
"        Margin of Error","±0.1","±0.3","±0.2","±0.3","±0.7","±0.4"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","11.3%","21.6%","8.1%","9.7%","4.3%","3.5%"
"        Margin of Error","±0.5","±1.1","±0.7","±0.8","±1.1","±0.7"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","15.0%","25.9%","11.7%","12.6%","6.6%","8.7%"
"        Margin of Error","±0.4","±0.9","±0.7","±0.9","±1.1","±1.0"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","5.2%","3.1%","5.8%","2.7%","5.8%","11.7%"
"        Margin of Error","±0.3","±0.4","±0.6","±0.4","±1.0","±1.2"
"Broome County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","86,259","34,704","17,257","18,149","5,464","10,685"
"        Margin of Error","±1,448","±1,442","±1,014","±869","±658","±776"
"    Employee of private company workers","","","","","",""
"        Estimate","59.5%","44.9%","55.2%","75.2%","64.0%","85.4%"
"        Margin of Error","±1.4","±1.9","±3.0","±2.1","±6.0","±2.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.3%","2.7%","0.8%","2.1%","7.1%","1.1%"
"        Margin of Error","±0.3","±0.5","±0.4","±0.7","±3.6","±0.6"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","12.0%","18.1%","12.6%","7.5%","3.9%","3.2%"
"        Margin of Error","±0.8","±1.3","±2.1","±1.4","±1.8","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.7%","30.7%","25.5%","12.8%","11.4%","6.8%"
"        Margin of Error","±1.1","±1.8","±2.7","±1.5","±2.8","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","4.5%","3.7%","5.9%","2.4%","13.5%","3.4%"
"        Margin of Error","±0.6","±0.7","±1.3","±0.9","±5.1","±1.3"
"Cattaraugus County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","33,046","10,516","6,570","6,551","3,657","5,752"
"        Margin of Error","±709","±531","±454","±381","±272","±385"
"    Employee of private company workers","","","","","",""
"        Estimate","59.7%","40.8%","57.2%","68.3%","63.8%","84.5%"
"        Margin of Error","±1.5","±2.5","±3.1","±3.0","±4.7","±2.5"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.3%","3.1%","0.9%","3.0%","2.5%","1.3%"
"        Margin of Error","±0.4","±0.8","±0.6","±0.9","±0.9","±0.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","9.7%","17.9%","10.0%","7.0%","3.2%","1.6%"
"        Margin of Error","±0.9","±1.9","±1.9","±1.7","±2.5","±0.6"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","21.5%","31.4%","26.2%","17.2%","13.5%","8.0%"
"        Margin of Error","±1.2","±2.1","±2.9","±2.5","±2.7","±1.9"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.8%","6.8%","5.6%","4.5%","17.1%","4.6%"
"        Margin of Error","±0.9","±1.4","±1.4","±1.1","±4.0","±1.3"
"Cayuga County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","34,816","12,374","6,730","6,743","3,627","5,342"
"        Margin of Error","±826","±646","±504","±438","±313","±399"
"    Employee of private company workers","","","","","",""
"        Estimate","61.2%","44.2%","55.6%","72.3%","72.5%","85.9%"
"        Margin of Error","±1.5","±2.6","±3.8","±3.0","±4.1","±3.3"
"    Self-employed in own incorporated business workers","","","","","",""
"        Estimate","2.9%","3.6%","1.1%","3.0%","3.6%","2.9%"
"        Margin of Error","±0.5","±0.8","±0.5","±1.1","±1.6","±1.5"
"    Private not-for-profit wage and salary workers","","","","","",""
"        Estimate","10.6%","16.9%","10.3%","9.0%","3.9%","3.1%"
"        Margin of Error","±1.0","±2.2","±2.4","±1.8","±2.7","±1.3"
"    Local, state, and federal government workers","","","","","",""
"        Estimate","19.3%","28.0%","26.3%","12.7%","8.9%","5.7%"
"        Margin of Error","±1.2","±2.7","±3.5","±2.5","±2.5","±2.3"
"    Self-employed in own not incorporated business workers and unpaid family workers","","","","","",""
"        Estimate","6.0%","7.3%","6.7%","3.1%","11.2%","2.4%"
"        Margin of Error","±0.6","±1.1","±1.6","±1.2","±2.9","±0.9"
"Chautauqua County, New York","","","","","",""
"    Total","","","","","",""
"        Estimate","55,110","18,186","10,990","10,665","5,356","9,913"
"        Margin of Error","±1,155","±912","±687","±655","±457","±702"
"    Employee of private company workers","","","","","",""
