,Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired,cluster,Median Income,Less than high school,High school graduate,Some college or associate's degree,Bachelor's degree or higher,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Unemployed,POVERTY
0,ALBANY,15.80127553613172,5.404243164955789,4.730517389343429,4.343125069874987,6.68432213321984,2.9523625828971443,0.5101066565453807,2,73810,0.0723979607745315,0.22918290667581304,0.29325948676374297,0.4051596457859125,0.4854683513172861,0.16283931261336038,0.22327769067601216,0.04751452550032279,0.08090011989301854,3.2,4.9
2,BRONX,8.309569803905058,7.636696820841826,2.0644031218466794,2.761454263526938,3.543900599869352,1.3442026810099317,0.2479547233769778,2,43726,0.24909327435458734,0.2792061818821792,0.27653998211042546,0.19516056165280798,0.2693252354899697,0.338136826783115,0.20758921849119108,0.062415298900767954,0.12253342033495625,6.6,11.2
3,BROOME,9.074909796006704,10.451398217260662,1.8035429971361416,5.460197827695374,4.735730238118007,2.8292365834017,0.4499325025291545,2,53982,0.08955410664897943,0.30080593690164814,0.3456142765965435,0.26402567985282893,0.40232323583626056,0.20006028356461356,0.21040123349447593,0.0633441148170046,0.12387113228764535,4.2,7.5
4,CATTARAUGUS,9.567783963292747,4.415143885153553,4.159478537680745,4.690475797616884,5.34930573064043,4.523309993250435,0.8456623036785129,2,53537,0.1081653057823696,0.39806698883519415,0.3091484752541243,0.18461923012831194,0.31822308297524665,0.19881377473824366,0.198238818616474,0.11066392301640138,0.17406040065363432,3.4,6.0
7,CHEMUNG,7.526421701050529,6.266016153681608,4.12332672196606,3.3670833923563244,6.662143611256357,2.4667937158340063,0.7652462256975804,2,58175,0.11180255247336779,0.347205689574638,0.3181249717480073,0.22286678620398692,0.3468743251997409,0.18808032822284604,0.2290002159360829,0.07557762902180955,0.1604675016195206,3.5,6.1
9,CLINTON,10.21891826334181,10.911565462219606,1.7078972032614006,3.0742149656200293,5.228063103841289,3.131144871810929,0.5503224315218617,2,62470,0.11746147867038544,0.3483760840077424,0.30340024080593786,0.23076219651593435,0.3429792192658769,0.21008240157589544,0.20761312876286658,0.0835391060677524,0.15578614432760868,2.4,4.3
10,COLUMBIA,10.311003488712036,5.881455450706514,2.1778611190514865,1.9317751161279844,3.3467696296897844,2.313208419684912,0.3199118028260517,2,73065,0.08947389039056686,0.3045011164649195,0.27047831707603714,0.3355466760684765,0.42032592390563206,0.17492840583662894,0.19327014864312014,0.09249284058366289,0.11898268103095595,3.5,5.9
14,ERIE,9.283962152968448,6.945108680661808,2.3174179511148187,3.721047598288055,5.445416145481831,3.77026990492918,0.5160403112018411,2,62578,0.07901918169901095,0.26496697668327646,0.31895113766086713,0.33706270395684546,0.41849168804272635,0.17406342781766543,0.2301675281540967,0.06267804431611647,0.11459931166939506,3.2,5.1
25,MONROE,12.474253957176508,13.244355837106932,3.329792860030312,4.312371040354575,8.692574889754729,6.185753602311168,0.4159747221318782,2,66317,0.08860111062165445,0.23763899456703108,0.30500213581087393,0.3687577590004405,0.46321823392930256,0.16643785943475248,0.2083992324922326,0.05495120117106485,0.1069934729726475,3.4,5.3
26,MONTGOMERY,9.742706888476135,6.010806603811677,4.022499075345231,4.3130978680449,8.68737443067108,4.9248847997254295,0.7494389909553419,2,53533,0.12386706948640483,0.35418363325889923,0.33797451727308553,0.1839747799816104,0.32263847391404277,0.18005056308894507,0.20965295334405884,0.09174902321305448,0.19590898643989887,3.8,6.4
