"Label (Grouping)","Total:"
"Albany County, New York",""
"    Albany County, New York","314,848"
"Allegany County, New York",""
"    Allegany County, New York","46,456"
"Bronx County, New York",""
"    Bronx County, New York","1,472,654"
"Broome County, New York",""
"    Broome County, New York","198,683"
"Cattaraugus County, New York",""
"    Cattaraugus County, New York","77,042"
"Cayuga County, New York",""
"    Cayuga County, New York","76,248"
"Chautauqua County, New York",""
"    Chautauqua County, New York","127,657"
"Chemung County, New York",""
"    Chemung County, New York","84,148"
"Chenango County, New York",""
"    Chenango County, New York","47,220"
"Clinton County, New York",""
"    Clinton County, New York","79,843"
"Columbia County, New York",""
"    Columbia County, New York","61,570"
"Cortland County, New York",""
"    Cortland County, New York","46,809"
"Delaware County, New York",""
"    Delaware County, New York","44,308"
"Dutchess County, New York",""
"    Dutchess County, New York","295,911"
"Erie County, New York",""
"    Erie County, New York","954,236"
"Essex County, New York",""
"    Essex County, New York","37,381"
"Franklin County, New York",""
"    Franklin County, New York","47,555"
"Fulton County, New York",""
"    Fulton County, New York","53,324"
"Genesee County, New York",""
"    Genesee County, New York","58,388"
"Greene County, New York",""
"    Greene County, New York","47,931"
"Hamilton County, New York",""
"    Hamilton County, New York","5,107"
"Herkimer County, New York",""
"    Herkimer County, New York","60,139"
"Jefferson County, New York",""
"    Jefferson County, New York","116,721"
"Kings County, New York",""
"    Kings County, New York","2,736,074"
"Lewis County, New York",""
"    Lewis County, New York","26,582"
"Livingston County, New York",""
"    Livingston County, New York","61,834"
"Madison County, New York",""
"    Madison County, New York","68,016"
"Monroe County, New York",""
"    Monroe County, New York","759,443"
"Montgomery County, New York",""
"    Montgomery County, New York","49,532"
"Nassau County, New York",""
"    Nassau County, New York","1,395,774"
"New York County, New York",""
"    New York County, New York","1,694,251"
"Niagara County, New York",""
"    Niagara County, New York","212,666"
"Oneida County, New York",""
"    Oneida County, New York","232,125"
"Onondaga County, New York",""
"    Onondaga County, New York","476,516"
"Ontario County, New York",""
"    Ontario County, New York","112,458"
"Orange County, New York",""
"    Orange County, New York","401,310"
"Orleans County, New York",""
"    Orleans County, New York","40,343"
"Oswego County, New York",""
"    Oswego County, New York","117,525"
"Otsego County, New York",""
"    Otsego County, New York","58,524"
"Putnam County, New York",""
"    Putnam County, New York","97,668"
"Queens County, New York",""
"    Queens County, New York","2,405,464"
"Rensselaer County, New York",""
"    Rensselaer County, New York","161,130"
"Richmond County, New York",""
"    Richmond County, New York","495,747"
"Rockland County, New York",""
"    Rockland County, New York","338,329"
"St. Lawrence County, New York",""
"    St. Lawrence County, New York","108,505"
"Saratoga County, New York",""
"    Saratoga County, New York","235,509"
"Schenectady County, New York",""
"    Schenectady County, New York","158,061"
"Schoharie County, New York",""
"    Schoharie County, New York","29,714"
"Schuyler County, New York",""
"    Schuyler County, New York","17,898"
"Seneca County, New York",""
"    Seneca County, New York","33,814"
"Steuben County, New York",""
"    Steuben County, New York","93,584"
"Suffolk County, New York",""
"    Suffolk County, New York","1,525,920"
"Sullivan County, New York",""
"    Sullivan County, New York","78,624"
"Tioga County, New York",""
"    Tioga County, New York","48,455"
"Tompkins County, New York",""
"    Tompkins County, New York","105,740"
"Ulster County, New York",""
"    Ulster County, New York","181,851"
"Warren County, New York",""
"    Warren County, New York","65,737"
"Washington County, New York",""
"    Washington County, New York","61,302"
"Wayne County, New York",""
"    Wayne County, New York","91,283"
"Westchester County, New York",""
"    Westchester County, New York","1,004,457"
"Wyoming County, New York",""
"    Wyoming County, New York","40,531"
"Yates County, New York",""
"    Yates County, New York","24,774"
