Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Duquesne,57,Dayton,69
Davidson,57,Fordham,43
Dayton,69,Davidson,55
Rhode Island,61,Duquesne,72
Richmond,58,George Mason,62
George Washington,97,Loyola (IL),87
Saint Louis,83,Saint Joseph's,78
Massachusetts,64,St. Bonaventure,83
La Salle,67,Virginia Commonwealth,80
Loyola (IL),57,Davidson,80
Saint Joseph's,56,Dayton,76
Virginia Commonwealth,70,Duquesne,79
Saint Louis,81,Massachusetts,90
Fordham,79,Rhode Island,82
George Washington,63,Richmond,73
George Mason,69,St. Bonaventure,73
Saint Joseph's,54,Fordham,66
Loyola (IL),75,George Mason,86
Massachusetts,73,George Washington,81
Rhode Island,75,La Salle,77
Duquesne,73,Richmond,75
St. Bonaventure,55,Saint Louis,78
Davidson,72,Virginia Commonwealth,89
Dayton,82,Fordham,58
Virginia Commonwealth,78,Loyola (IL),64
Richmond,61,Davidson,57
La Salle,78,Massachusetts,77
St. Bonaventure,67,Rhode Island,68
Duquesne,92,Saint Joseph's,80
George Mason,62,Saint Louis,63
Virginia Commonwealth,63,Dayton,62
Davidson,65,George Mason,67
Saint Louis,81,George Washington,74
Fordham,66,La Salle,64
Rhode Island,65,Massachusetts,75
Loyola (IL),55,Saint Joseph's,86
Richmond,63,St. Bonaventure,71
George Washington,78,George Mason,75
Saint Joseph's,71,La Salle,59
Davidson,61,Dayton,68
Rhode Island,57,Richmond,64
Massachusetts,55,Virginia Commonwealth,83
Saint Louis,76,Loyola (IL),59
Duquesne,56,St. Bonaventure,65
Virginia Commonwealth,74,Richmond,62
Fordham,65,Duquesne,58
Dayton,69,George Washington,76
St. Bonaventure,55,Loyola (IL),67
George Mason,79,Rhode Island,72
Massachusetts,68,Saint Joseph's,74
La Salle,71,Saint Louis,84
Davidson,64,La Salle,57
Loyola (IL),58,Duquesne,72
Saint Joseph's,91,George Washington,92
Richmond,76,Massachusetts,85
Dayton,70,Rhode Island,75
Fordham,79,St. Bonaventure,68
George Mason,52,Virginia Commonwealth,72
Saint Louis,74,Davidson,70
Richmond,60,Dayton,86
George Washington,70,Fordham,85
Duquesne,79,Massachusetts,87
La Salle,70,Rhode Island,72
St. Bonaventure,61,Virginia Commonwealth,58
Saint Joseph's,79,George Mason,76
Virginia Commonwealth,61,Davidson,59
Loyola (IL),81,Dayton,85
Saint Louis,65,Fordham,75
Massachusetts,59,George Mason,70
George Washington,64,La Salle,75
St. Bonaventure,66,Richmond,62
Rhode Island,50,Saint Joseph's,64
Virginia Commonwealth,73,Saint Louis,65
Duquesne,93,George Washington,67
George Mason,61,Loyola (IL),69
Davidson,93,Massachusetts,78
Dayton,59,St. Bonaventure,68
Fordham,58,Richmond,68
La Salle,73,Saint Joseph's,65
Rhode Island,71,Saint Louis,76
Dayton,62,Virginia Commonwealth,58
George Mason,52,Duquesne,75
Massachusetts,67,Fordham,77
Richmond,105,George Washington,107
Saint Joseph's,83,Loyola (IL),71
La Salle,76,St. Bonaventure,70
Saint Louis,56,Dayton,70
Fordham,73,Davidson,71
St. Bonaventure,54,Duquesne,56
Rhode Island,67,George Mason,75
Massachusetts,72,La Salle,86
Loyola (IL),71,Richmond,74
George Washington,69,Saint Joseph's,81
Loyola (IL),64,Massachusetts,62
Saint Joseph's,62,Duquesne,76
St. Bonaventure,63,Fordham,78
George Mason,66,George Washington,53
Richmond,62,La Salle,68
Virginia Commonwealth,55,Rhode Island,54
Davidson,65,Saint Louis,78
Dayton,65,Loyola (IL),49
Saint Joseph's,75,Davidson,76
La Salle,66,George Mason,70
Massachusetts,69,Rhode Island,45
Duquesne,85,Saint Louis,90
Fordham,61,Virginia Commonwealth,80
George Washington,83,St. Bonaventure,81
Saint Louis,78,Richmond,81
Virginia Commonwealth,88,Saint Joseph's,63
St. Bonaventure,61,Davidson,74
Duquesne,91,La Salle,74
Fordham,71,Loyola (IL),69
Dayton,72,Massachusetts,54
George Washington,89,Rhode Island,80
Richmond,58,Virginia Commonwealth,73
George Mason,74,Dayton,69
Rhode Island,71,Fordham,74
La Salle,85,George Washington,92
Loyola (IL),62,Saint Louis,81
Davidson,71,Duquesne,67
Saint Joseph's,76,St. Bonaventure,89
La Salle,53,Dayton,77
Saint Louis,67,Virginia Commonwealth,79
George Washington,75,Davidson,70
Massachusetts,79,Duquesne,88
Fordham,58,George Mason,64
Rhode Island,79,Loyola (IL),77
Richmond,67,Saint Joseph's,83
Dayton,61,Saint Louis,65
Duquesne,60,Fordham,87
Virginia Commonwealth,74,George Washington,68
Loyola (IL),76,La Salle,73
St. Bonaventure,60,Massachusetts,71
Davidson,68,Rhode Island,54
George Mason,62,Richmond,60
Rhode Island,56,La Salle,73
Massachusetts,38,Richmond,71
Loyola (IL),67,Saint Joseph's,72
St. Bonaventure,54,Davidson,65
La Salle,81,Duquesne,70
Richmond,57,George Mason,62
Saint Joseph's,87,George Washington,76
Saint Joseph's,54,Dayton,60
La Salle,61,Fordham,69
George Mason,54,Saint Louis,82
Davidson,53,Virginia Commonwealth,71
Fordham,68,Dayton,78
Saint Louis,78,Virginia Commonwealth,90
Dayton,56,Virginia Commonwealth,68
