Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Liberty,70,Bellarmine,53
Austin Peay,77,Queens (NC),81
North Alabama,66,Jacksonville State,62
Stetson,86,Lipscomb,80
Queens (NC),83,Eastern Kentucky,88
Jacksonville,65,Florida Gulf Coast,72
Central Arkansas,66,Kennesaw State,82
Austin Peay,85,North Florida,90
Florida Gulf Coast,84,Central Arkansas,79
Jacksonville State,46,Jacksonville,62
Eastern Kentucky,75,Kennesaw State,79
Lipscomb,48,Liberty,77
Bellarmine,69,North Alabama,65
North Florida,62,Stetson,68
Florida Gulf Coast,59,Austin Peay,61
Queens (NC),75,Bellarmine,74
Eastern Kentucky,77,Central Arkansas,75
Jacksonville State,41,Liberty,75
North Alabama,62,Lipscomb,86
Kennesaw State,86,North Florida,89
Jacksonville,61,Stetson,73
Central Arkansas,62,Austin Peay,86
North Florida,57,Florida Gulf Coast,82
Lipscomb,44,Jacksonville,51
Bellarmine,75,Jacksonville State,62
Stetson,95,North Alabama,85
Kennesaw State,76,Queens (NC),67
Liberty,59,Eastern Kentucky,62
Lipscomb,87,Austin Peay,65
Stetson,80,Bellarmine,51
Florida Gulf Coast,76,Eastern Kentucky,97
North Florida,63,Jacksonville State,72
Jacksonville,68,Kennesaw State,81
North Alabama,54,Liberty,72
Central Arkansas,92,Queens (NC),91
Florida Gulf Coast,41,Bellarmine,61
Stetson,70,Eastern Kentucky,85
Jacksonville,68,Jacksonville State,62
North Florida,72,Kennesaw State,86
Central Arkansas,62,Liberty,82
Austin Peay,72,Lipscomb,86
North Alabama,78,Queens (NC),107
North Alabama,78,Central Arkansas,73
Bellarmine,56,Austin Peay,45
Jacksonville State,51,Florida Gulf Coast,55
Liberty,66,Jacksonville,52
Eastern Kentucky,62,Lipscomb,75
Queens (NC),90,North Florida,95
Kennesaw State,82,Stetson,81
Eastern Kentucky,74,Austin Peay,59
Kennesaw State,65,Florida Gulf Coast,63
Queens (NC),70,Jacksonville,77
Bellarmine,49,Lipscomb,69
Central Arkansas,66,North Alabama,82
Liberty,73,North Florida,62
Jacksonville State,81,Stetson,87
Eastern Kentucky,71,Bellarmine,72
North Florida,85,Central Arkansas,88
Lipscomb,67,Jacksonville State,72
Austin Peay,57,Kennesaw State,84
Stetson,45,Liberty,74
Jacksonville,62,North Alabama,80
Florida Gulf Coast,82,Queens (NC),84
Jacksonville,74,Central Arkansas,64
Bellarmine,63,Eastern Kentucky,73
Austin Peay,53,Jacksonville State,70
Lipscomb,72,Kennesaw State,85
Florida Gulf Coast,57,Liberty,74
North Florida,78,North Alabama,91
Stetson,65,Queens (NC),71
Liberty,82,Austin Peay,70
Kennesaw State,90,Bellarmine,84
Jacksonville State,67,Eastern Kentucky,69
Central Arkansas,91,Florida Gulf Coast,87
North Florida,76,Jacksonville,63
Queens (NC),60,Lipscomb,66
North Alabama,57,Stetson,79
Queens (NC),70,Austin Peay,69
Jacksonville State,64,Bellarmine,71
Kennesaw State,74,Eastern Kentucky,77
North Alabama,87,Florida Gulf Coast,85
Liberty,64,Lipscomb,69
Jacksonville,58,North Florida,65
Central Arkansas,80,Stetson,99
Lipscomb,93,Central Arkansas,81
Stetson,70,Jacksonville,67
Kennesaw State,54,Jacksonville State,52
Bellarmine,50,Liberty,70
Austin Peay,57,North Alabama,70
Florida Gulf Coast,68,North Florida,66
Eastern Kentucky,84,Queens (NC),80
Austin Peay,69,Central Arkansas,76
Florida Gulf Coast,62,Jacksonville,51
Jacksonville State,71,Kennesaw State,74
Eastern Kentucky,73,Liberty,83
Lipscomb,70,North Alabama,80
Stetson,81,North Florida,92
Bellarmine,88,Queens (NC),84
Florida Gulf Coast,72,Stetson,75
Jacksonville,60,Austin Peay,56
North Alabama,70,Bellarmine,57
Central Arkansas,58,Eastern Kentucky,74
Queens (NC),69,Jacksonville State,76
Liberty,81,Kennesaw State,88
North Florida,114,Lipscomb,111
North Florida,71,Austin Peay,73
North Alabama,98,Eastern Kentucky,93
Stetson,88,Florida Gulf Coast,84
Liberty,79,Jacksonville State,55
Queens (NC),83,Kennesaw State,76
Jacksonville,59,Lipscomb,62
Central Arkansas,67,Bellarmine,68
Jacksonville State,101,Central Arkansas,71
Lipscomb,73,Florida Gulf Coast,64
Bellarmine,63,Jacksonville,61
Kennesaw State,79,North Alabama,66
Eastern Kentucky,64,North Florida,77
Liberty,85,Queens (NC),77
Austin Peay,51,Stetson,76
Kennesaw State,72,Central Arkansas,56
Austin Peay,71,Florida Gulf Coast,89
Eastern Kentucky,56,Jacksonville,52
Queens (NC),53,Liberty,73
Jacksonville State,92,North Alabama,83
Bellarmine,67,North Florida,79
Lipscomb,98,Stetson,91
Bellarmine,76,North Florida,74
Florida Gulf Coast,55,Queens (NC),61
North Alabama,48,Eastern Kentucky,73
Queens (NC),66,Kennesaw State,67
Bellarmine,56,Liberty,76
Lipscomb,83,Stetson,70
Lipscomb,71,Kennesaw State,80
Eastern Kentucky,73,Liberty,79
Liberty,66,Kennesaw State,67
