Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Northern Arizona,53,Idaho State,79
Eastern Washington,87,Montana,80
Idaho,58,Montana State,72
Northern Colorado,72,Weber State,81
Northern Colorado,83,Idaho State,90
Idaho,56,Montana,67
Eastern Washington,70,Montana State,67
Portland State,63,Sacramento State,74
Northern Arizona,60,Weber State,76
Portland State,80,Eastern Washington,92
Sacramento State,85,Idaho,83
Montana,74,Northern Arizona,75
Montana State,77,Northern Colorado,56
Sacramento State,75,Eastern Washington,78
Portland State,74,Idaho,58
Montana State,69,Northern Arizona,54
Montana,79,Northern Colorado,74
Idaho State,67,Weber State,57
Weber State,59,Montana,57
Idaho State,68,Montana State,81
Northern Arizona,74,Portland State,75
Northern Colorado,64,Sacramento State,72
Idaho,74,Eastern Washington,95
Idaho State,55,Montana,84
Weber State,52,Montana State,67
Northern Colorado,69,Portland State,67
Northern Arizona,56,Sacramento State,59
Montana,57,Eastern Washington,64
Montana State,70,Idaho,74
Sacramento State,61,Idaho State,65
Idaho,88,Northern Arizona,83
Eastern Washington,83,Northern Colorado,75
Portland State,68,Weber State,84
Portland State,72,Idaho State,65
Montana State,67,Montana,64
Eastern Washington,79,Northern Arizona,76
Idaho,67,Northern Colorado,73
Sacramento State,48,Weber State,50
Idaho State,68,Eastern Washington,81
Weber State,73,Idaho,65
Montana State,75,Portland State,66
Montana,48,Sacramento State,67
Weber State,71,Eastern Washington,75
Idaho State,95,Idaho,91
Northern Colorado,73,Northern Arizona,83
Montana,73,Portland State,67
Montana State,72,Sacramento State,65
Northern Colorado,67,Montana,69
Northern Arizona,68,Montana State,69
Idaho,66,Portland State,69
Eastern Washington,82,Sacramento State,63
Weber State,72,Idaho State,71
Northern Arizona,66,Montana,67
Northern Colorado,62,Montana State,75
Eastern Washington,98,Portland State,88
Idaho,82,Sacramento State,76
Idaho State,75,Northern Arizona,70
Weber State,54,Northern Colorado,88
Montana,69,Idaho State,61
Sacramento State,55,Northern Arizona,77
Portland State,79,Northern Colorado,88
Montana State,63,Weber State,73
Eastern Washington,73,Idaho,66
Montana State,58,Idaho State,52
Portland State,88,Northern Arizona,87
Sacramento State,54,Northern Colorado,70
Montana,74,Weber State,69
Northern Arizona,55,Eastern Washington,72
Northern Colorado,82,Idaho,84
Idaho State,70,Portland State,79
Weber State,52,Sacramento State,49
Northern Colorado,77,Eastern Washington,89
Northern Arizona,72,Idaho,50
Montana,68,Montana State,72
Weber State,65,Portland State,57
Idaho State,65,Sacramento State,70
Idaho,55,Idaho State,65
Portland State,,Montana,
Sacramento State,56,Montana State,60
Eastern Washington,89,Weber State,82
Eastern Washington,63,Idaho State,71
Sacramento State,72,Montana,74
Portland State,78,Montana State,91
Northern Arizona,85,Northern Colorado,82
Idaho,53,Weber State,67
Montana State,79,Eastern Washington,74
Montana,68,Idaho,53
Weber State,90,Northern Arizona,89
Idaho State,72,Northern Colorado,87
Sacramento State,76,Portland State,74
Idaho,76,Northern Arizona,87
Northern Colorado,84,Portland State,80
Northern Arizona,81,Eastern Washington,80
Northern Colorado,73,Montana State,84
Idaho State,74,Montana,83
Sacramento State,64,Weber State,70
Northern Arizona,83,Montana,71
Weber State,58,Montana State,60
Northern Arizona,78,Montana State,85
