Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Charleston Southern,63,Gardner-Webb,83
High Point,73,Longwood,87
Campbell,72,Presbyterian,82
Winthrop,62,South Carolina Upstate,70
Radford,58,UNC Asheville,62
Longwood,67,Campbell,42
South Carolina Upstate,85,Charleston Southern,90
Gardner-Webb,80,High Point,73
Presbyterian,51,Radford,69
UNC Asheville,60,Winthrop,62
Gardner-Webb,58,Campbell,63
Longwood,79,Charleston Southern,74
UNC Asheville,76,High Point,72
South Carolina Upstate,65,Radford,60
Presbyterian,72,Winthrop,82
Radford,63,Gardner-Webb,59
Winthrop,71,Longwood,85
Charleston Southern,67,Presbyterian,61
High Point,57,South Carolina Upstate,76
Campbell,55,UNC Asheville,58
High Point,69,Charleston Southern,106
Gardner-Webb,79,Presbyterian,78
Campbell,78,South Carolina Upstate,63
Radford,66,Winthrop,52
Longwood,46,UNC Asheville,54
Winthrop,78,Campbell,74
UNC Asheville,72,Gardner-Webb,67
Presbyterian,56,High Point,64
South Carolina Upstate,65,Longwood,72
Charleston Southern,70,Radford,75
Radford,63,Campbell,55
UNC Asheville,73,Charleston Southern,63
Winthrop,66,High Point,71
Gardner-Webb,59,Longwood,64
Presbyterian,60,South Carolina Upstate,61
Campbell,78,Charleston Southern,76
Longwood,58,Presbyterian,56
High Point,80,Radford,95
South Carolina Upstate,58,UNC Asheville,64
Gardner-Webb,63,Winthrop,61
South Carolina Upstate,66,Gardner-Webb,78
Campbell,72,High Point,64
Presbyterian,80,UNC Asheville,88
Charleston Southern,64,Winthrop,76
Longwood,59,Radford,63
UNC Asheville,78,Campbell,65
High Point,58,Gardner-Webb,86
Charleston Southern,75,Longwood,63
Winthrop,76,Presbyterian,58
Radford,55,South Carolina Upstate,52
South Carolina Upstate,66,Campbell,78
Gardner-Webb,67,Charleston Southern,59
Radford,67,Presbyterian,59
Longwood,74,Winthrop,76
High Point,63,UNC Asheville,89
Presbyterian,48,Gardner-Webb,56
Charleston Southern,73,High Point,81
Campbell,50,Longwood,74
Winthrop,66,Radford,69
UNC Asheville,70,South Carolina Upstate,76
High Point,66,Campbell,82
Presbyterian,46,Longwood,66
Charleston Southern,60,South Carolina Upstate,77
Winthrop,79,UNC Asheville,86
Gardner-Webb,61,Radford,48
Radford,90,Charleston Southern,71
Campbell,73,Gardner-Webb,77
Longwood,70,High Point,67
UNC Asheville,76,Presbyterian,72
South Carolina Upstate,79,Winthrop,70
Charleston Southern,51,Campbell,67
Winthrop,86,Gardner-Webb,78
High Point,71,Presbyterian,69
Longwood,67,South Carolina Upstate,72
UNC Asheville,63,Radford,54
Presbyterian,57,Campbell,74
Winthrop,75,Charleston Southern,67
South Carolina Upstate,66,High Point,81
Radford,63,Longwood,73
Gardner-Webb,63,UNC Asheville,75
Radford,64,High Point,69
South Carolina Upstate,59,Presbyterian,57
Charleston Southern,62,UNC Asheville,80
Campbell,93,Winthrop,95
Longwood,75,Gardner-Webb,63
Presbyterian,59,Charleston Southern,85
UNC Asheville,76,Longwood,66
Campbell,65,Radford,67
Gardner-Webb,69,South Carolina Upstate,75
High Point,78,Winthrop,84
Presbyterian,63,Campbell,68
Charleston Southern,72,High Point,70
Campbell,81,Longwood,68
Winthrop,69,Radford,78
Gardner-Webb,76,South Carolina Upstate,77
Charleston Southern,66,UNC Asheville,75
Campbell,72,Radford,71
South Carolina Upstate,62,UNC Asheville,66
Campbell,73,UNC Asheville,77
