Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Oakland,64,Cleveland State,80
Milwaukee,81,Green Bay,67
Youngstown State,73,Northern Kentucky,77
Detroit Mercy,75,Purdue Fort Wayne,66
Robert Morris,80,Wright State,59
Detroit Mercy,77,Cleveland State,92
IU Indy,61,Milwaukee,74
Robert Morris,56,Northern Kentucky,60
Oakland,73,Purdue Fort Wayne,79
Youngstown State,88,Wright State,77
IU Indy,61,Green Bay,68
Green Bay,59,Detroit Mercy,76
Wright State,64,Northern Kentucky,78
Milwaukee,61,Oakland,83
Purdue Fort Wayne,70,Robert Morris,75
Cleveland State,71,Youngstown State,85
Milwaukee,84,Detroit Mercy,81
Northern Kentucky,55,IU Indy,42
Green Bay,65,Oakland,81
Cleveland State,63,Robert Morris,54
Purdue Fort Wayne,76,Youngstown State,71
Wright State,82,IU Indy,68
Milwaukee,68,Cleveland State,64
Green Bay,69,Purdue Fort Wayne,79
Robert Morris,56,Youngstown State,78
Oakland,64,Northern Kentucky,63
Detroit Mercy,85,Wright State,90
Green Bay,77,Cleveland State,82
Milwaukee,74,Purdue Fort Wayne,70
IU Indy,74,Youngstown State,105
Detroit Mercy,76,Northern Kentucky,78
Oakland,75,Wright State,73
IU Indy,70,Robert Morris,77
Youngstown State,84,Detroit Mercy,79
Wright State,99,Green Bay,67
Purdue Fort Wayne,70,IU Indy,55
Northern Kentucky,75,Milwaukee,80
Robert Morris,65,Oakland,69
Robert Morris,75,Detroit Mercy,87
Northern Kentucky,74,Green Bay,53
Cleveland State,89,IU Indy,54
Wright State,78,Milwaukee,74
Youngstown State,85,Oakland,69
Cleveland State,72,Purdue Fort Wayne,60
Youngstown State,86,Green Bay,70
Oakland,83,IU Indy,77
Robert Morris,69,Milwaukee,77
Cleveland State,56,Northern Kentucky,57
Purdue Fort Wayne,88,Wright State,80
Robert Morris,72,Green Bay,38
Detroit Mercy,89,IU Indy,77
Youngstown State,75,Milwaukee,88
Purdue Fort Wayne,54,Northern Kentucky,74
Cleveland State,85,Wright State,77
Oakland,76,Detroit Mercy,67
IU Indy,75,Purdue Fort Wayne,81
Green Bay,50,Northern Kentucky,68
Milwaukee,86,Wright State,93
Purdue Fort Wayne,74,Cleveland State,79
Detroit Mercy,77,Robert Morris,85
Oakland,73,Youngstown State,77
Milwaukee,75,Northern Kentucky,74
Green Bay,46,Wright State,77
IU Indy,72,Cleveland State,78
Oakland,63,Robert Morris,68
Detroit Mercy,63,Youngstown State,73
Cleveland State,67,Detroit Mercy,85
Milwaukee,72,IU Indy,69
Purdue Fort Wayne,82,Oakland,73
Northern Kentucky,65,Robert Morris,52
Wright State,89,Youngstown State,91
Purdue Fort Wayne,52,Detroit Mercy,85
Green Bay,53,IU Indy,68
Cleveland State,89,Oakland,92
Wright State,82,Robert Morris,67
Northern Kentucky,56,Youngstown State,74
Green Bay,80,Milwaukee,79
IU Indy,71,Wright State,103
Oakland,59,Green Bay,47
Detroit Mercy,89,Milwaukee,94
Robert Morris,55,Cleveland State,57
Youngstown State,81,Purdue Fort Wayne,72
Northern Kentucky,65,Wright State,83
Detroit Mercy,76,Green Bay,71
Oakland,77,Milwaukee,80
Youngstown State,78,Cleveland State,81
IU Indy,47,Northern Kentucky,86
Robert Morris,71,Purdue Fort Wayne,64
IU Indy,81,Oakland,85
Green Bay,56,Robert Morris,71
Milwaukee,58,Youngstown State,87
Wright State,68,Cleveland State,85
Detroit Mercy,96,Oakland,74
Northern Kentucky,63,Purdue Fort Wayne,50
Milwaukee,60,Robert Morris,80
Green Bay,65,Youngstown State,95
Northern Kentucky,63,Cleveland State,64
IU Indy,68,Detroit Mercy,81
Wright State,75,Purdue Fort Wayne,77
Youngstown State,64,Robert Morris,83
Northern Kentucky,67,Detroit Mercy,64
Cleveland State,76,Green Bay,65
Robert Morris,75,IU Indy,81
Purdue Fort Wayne,94,Milwaukee,96
Wright State,68,Oakland,75
Wright State,82,Detroit Mercy,71
Purdue Fort Wayne,78,Green Bay,61
Youngstown State,93,IU Indy,79
Cleveland State,72,Milwaukee,81
Northern Kentucky,78,Oakland,69
Purdue Fort Wayne,68,Detroit Mercy,81
IU Indy,64,Robert Morris,67
Green Bay,57,Wright State,77
Robert Morris,70,Cleveland State,75
Wright State,70,Milwaukee,87
Oakland,74,Northern Kentucky,81
Detroit Mercy,66,Youngstown State,71
Cleveland State,93,Milwaukee,80
Northern Kentucky,75,Youngstown State,63
Northern Kentucky,63,Cleveland State,61
