Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
South Carolina State,73,Coppin State,85
Delaware State,64,Howard,84
North Carolina Central,73,Morgan State,78
Maryland-Eastern Shore,46,Norfolk State,57
North Carolina Central,64,Coppin State,59
Norfolk State,78,Delaware State,65
Howard,73,Maryland-Eastern Shore,82
South Carolina State,85,Morgan State,90
Morgan State,83,Coppin State,66
Delaware State,66,Maryland-Eastern Shore,68
Howard,86,Norfolk State,84
South Carolina State,67,North Carolina Central,71
Norfolk State,96,Coppin State,65
Morgan State,56,Howard,88
Delaware State,55,North Carolina Central,74
Maryland-Eastern Shore,76,South Carolina State,70
Coppin State,76,Howard,90
Norfolk State,71,Morgan State,77
Maryland-Eastern Shore,59,North Carolina Central,58
Delaware State,88,South Carolina State,85
Morgan State,62,Delaware State,64
North Carolina Central,67,Howard,71
Coppin State,75,Maryland-Eastern Shore,94
South Carolina State,68,Norfolk State,82
Delaware State,71,Coppin State,66
South Carolina State,74,Howard,100
Maryland-Eastern Shore,72,Morgan State,58
North Carolina Central,71,Norfolk State,77
Delaware State,65,Morgan State,75
Howard,86,Delaware State,85
Norfolk State,76,Maryland-Eastern Shore,73
Morgan State,63,North Carolina Central,83
Coppin State,84,South Carolina State,94
Maryland-Eastern Shore,69,Howard,78
Delaware State,58,Norfolk State,97
Coppin State,52,North Carolina Central,85
Morgan State,62,South Carolina State,74
Howard,80,Coppin State,70
North Carolina Central,66,Delaware State,58
South Carolina State,62,Maryland-Eastern Shore,78
Morgan State,50,Norfolk State,72
South Carolina State,68,Delaware State,69
North Carolina Central,68,Maryland-Eastern Shore,63
Howard,76,Morgan State,89
Coppin State,69,Norfolk State,62
Maryland-Eastern Shore,78,Coppin State,57
Delaware State,78,Morgan State,83
Howard,60,North Carolina Central,68
Norfolk State,88,South Carolina State,76
Coppin State,82,Delaware State,72
Morgan State,68,Maryland-Eastern Shore,61
Norfolk State,75,North Carolina Central,76
Howard,82,South Carolina State,78
Maryland-Eastern Shore,64,Delaware State,58
Norfolk State,67,Howard,87
Coppin State,77,Morgan State,65
North Carolina Central,71,South Carolina State,64
South Carolina State,55,Howard,91
Delaware State,59,North Carolina Central,89
Morgan State,64,Maryland-Eastern Shore,80
Coppin State,56,Norfolk State,73
Maryland-Eastern Shore,55,Howard,74
Norfolk State,72,North Carolina Central,65
Norfolk State,64,Howard,65
