Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Merrimack,63,FDU,71
Wagner,69,Long Island University,61
Stonehill,74,Sacred Heart,67
Central Connecticut State,72,Saint Francis (PA),80
St. Francis (NY),52,Central Connecticut State,74
Sacred Heart,82,Long Island University,64
Stonehill,72,Saint Francis (PA),73
Merrimack,58,Wagner,48
Long Island University,59,Central Connecticut State,78
Sacred Heart,59,Merrimack,55
FDU,76,St. Francis (NY),57
Wagner,58,Stonehill,62
Long Island University,89,FDU,101
St. Francis (NY),53,Merrimack,65
Central Connecticut State,49,Stonehill,51
Saint Francis (PA),68,Wagner,63
FDU,88,Central Connecticut State,80
Long Island University,68,Saint Francis (PA),87
Sacred Heart,79,St. Francis (NY),82
Merrimack,59,Stonehill,47
St. Francis (NY),73,Long Island University,66
Wagner,62,Merrimack,57
Saint Francis (PA),51,Sacred Heart,54
FDU,65,Stonehill,57
Sacred Heart,92,FDU,85
Stonehill,73,Long Island University,66
St. Francis (NY),61,Saint Francis (PA),87
Central Connecticut State,50,Wagner,72
Stonehill,70,FDU,59
Central Connecticut State,58,Long Island University,42
Merrimack,63,St. Francis (NY),55
Sacred Heart,58,Wagner,68
Merrimack,64,Central Connecticut State,61
Saint Francis (PA),82,FDU,87
Long Island University,74,Sacred Heart,70
St. Francis (NY),65,Wagner,56
Saint Francis (PA),74,Central Connecticut State,88
FDU,78,Merrimack,71
Long Island University,59,St. Francis (NY),71
Sacred Heart,81,Stonehill,82
Long Island University,59,Merrimack,76
Wagner,56,Sacred Heart,65
Central Connecticut State,48,St. Francis (NY),53
Saint Francis (PA),61,Stonehill,74
Wagner,83,FDU,79
Saint Francis (PA),66,Merrimack,70
Central Connecticut State,65,Sacred Heart,78
Stonehill,65,St. Francis (NY),59
FDU,80,Long Island University,79
Stonehill,43,Merrimack,56
Sacred Heart,76,Saint Francis (PA),78
Wagner,62,St. Francis (NY),64
Central Connecticut State,77,FDU,73
Merrimack,75,Saint Francis (PA),68
St. Francis (NY),51,Stonehill,62
Long Island University,46,Wagner,58
Wagner,57,Central Connecticut State,58
FDU,86,Sacred Heart,94
Saint Francis (PA),72,St. Francis (NY),64
Long Island University,60,Stonehill,75
Stonehill,90,Central Connecticut State,94
Saint Francis (PA),93,Long Island University,82
Merrimack,67,Sacred Heart,55
FDU,66,Wagner,48
Central Connecticut State,54,Merrimack,70
St. Francis (NY),70,Sacred Heart,63
FDU,72,Saint Francis (PA),82
Stonehill,44,Wagner,54
Sacred Heart,69,Central Connecticut State,67
St. Francis (NY),69,FDU,86
Merrimack,80,Long Island University,59
Wagner,68,Saint Francis (PA),58
St. Francis (NY),75,FDU,83
Long Island University,76,Merrimack,91
Wagner,55,Sacred Heart,67
Central Connecticut State,69,Saint Francis (PA),83
Saint Francis (PA),50,FDU,70
Sacred Heart,60,Merrimack,71
FDU,66,Merrimack,67
