Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Louisiana,76,Coastal Carolina,77
South Alabama,50,Georgia Southern,64
James Madison,63,Georgia State,47
Appalachian State,53,Marshall,79
Arkansas State,60,Old Dominion,57
Troy,60,Southern Mississippi,64
Louisiana-Monroe,57,Texas State,53
Louisiana-Monroe,84,Arkansas State,72
Georgia Southern,73,Coastal Carolina,64
South Alabama,58,Georgia State,68
James Madison,72,Marshall,66
Louisiana,66,Old Dominion,70
Appalachian State,70,Southern Mississippi,76
Troy,55,Texas State,52
Coastal Carolina,62,Appalachian State,63
Marshall,76,Georgia Southern,81
Texas State,63,James Madison,62
Southern Mississippi,61,Louisiana,75
Georgia State,58,Louisiana-Monroe,66
Arkansas State,45,South Alabama,63
Old Dominion,71,Troy,78
Old Dominion,81,Georgia Southern,75
Appalachian State,71,James Madison,62
Georgia State,70,Louisiana,78
Southern Mississippi,65,Louisiana-Monroe,60
Coastal Carolina,66,Marshall,81
Texas State,64,South Alabama,58
Arkansas State,54,Troy,66
Georgia Southern,67,Appalachian State,65
Texas State,61,Arkansas State,58
Troy,65,Georgia State,53
Louisiana,86,Louisiana-Monroe,73
Southern Mississippi,67,Marshall,89
Coastal Carolina,67,Old Dominion,66
James Madison,62,South Alabama,63
Troy,45,Appalachian State,58
Southern Mississippi,74,Arkansas State,57
Coastal Carolina,66,Georgia State,100
Georgia Southern,71,James Madison,83
Texas State,58,Louisiana-Monroe,61
Old Dominion,65,Marshall,73
Louisiana,79,South Alabama,76
Louisiana,80,Arkansas State,71
Appalachian State,84,Coastal Carolina,93
Louisiana-Monroe,72,Georgia Southern,59
Georgia State,58,Old Dominion,70
South Alabama,72,Southern Mississippi,76
Marshall,81,Texas State,73
James Madison,89,Troy,87
Marshall,87,Arkansas State,78
South Alabama,81,Coastal Carolina,85
Georgia State,52,Georgia Southern,58
Appalachian State,72,Old Dominion,58
James Madison,70,Southern Mississippi,83
Louisiana,60,Texas State,51
Louisiana-Monroe,53,Troy,77
Georgia State,59,Appalachian State,71
Coastal Carolina,69,James Madison,75
Troy,57,Louisiana,72
Louisiana-Monroe,86,Marshall,82
Old Dominion,66,South Alabama,64
Arkansas State,57,Southern Mississippi,73
Georgia Southern,67,Texas State,70
Arkansas State,51,Appalachian State,63
Old Dominion,60,Coastal Carolina,59
Louisiana-Monroe,45,James Madison,58
Georgia Southern,87,Louisiana,94
Georgia State,65,Marshall,103
Troy,60,South Alabama,77
Texas State,58,Southern Mississippi,67
Marshall,66,Appalachian State,58
South Alabama,82,Arkansas State,62
Georgia Southern,60,Georgia State,64
Texas State,63,Louisiana,82
Coastal Carolina,70,Louisiana-Monroe,83
James Madison,78,Old Dominion,73
Southern Mississippi,74,Troy,65
James Madison,63,Appalachian State,57
Coastal Carolina,57,Arkansas State,73
Southern Mississippi,79,Georgia State,71
Marshall,67,Louisiana,77
South Alabama,72,Louisiana-Monroe,64
Georgia Southern,58,Old Dominion,64
Texas State,64,Troy,68
Marshall,92,Coastal Carolina,74
James Madison,73,Georgia Southern,76
Old Dominion,63,Georgia State,60
Appalachian State,52,Louisiana-Monroe,45
Louisiana,71,Southern Mississippi,82
Arkansas State,62,Texas State,66
South Alabama,57,Troy,61
James Madison,73,Coastal Carolina,66
Arkansas State,53,Georgia Southern,68
Marshall,88,Georgia State,77
Appalachian State,57,South Alabama,74
Louisiana-Monroe,67,Southern Mississippi,76
Old Dominion,70,Texas State,68
Louisiana,65,Troy,80
Texas State,75,Appalachian State,82
Troy,67,Arkansas State,62
Georgia State,68,Coastal Carolina,77
Old Dominion,67,James Madison,76
Louisiana-Monroe,67,Louisiana,84
Georgia Southern,83,Marshall,84
Southern Mississippi,54,South Alabama,85
Old Dominion,74,Appalachian State,63
Georgia State,70,Arkansas State,75
Texas State,78,Coastal Carolina,75
Louisiana,68,James Madison,74
Troy,78,Marshall,88
Louisiana-Monroe,45,South Alabama,81
Georgia Southern,62,Southern Mississippi,73
Coastal Carolina,68,Georgia Southern,76
Appalachian State,78,Georgia State,52
Marshall,92,James Madison,83
Arkansas State,74,Louisiana,85
Troy,82,Louisiana-Monroe,78
Southern Mississippi,64,Old Dominion,69
South Alabama,76,Texas State,67
Appalachian State,64,Georgia Southern,73
Georgia State,69,James Madison,90
South Alabama,64,Louisiana,74
Arkansas State,64,Louisiana-Monroe,61
Marshall,67,Old Dominion,71
Southern Mississippi,79,Texas State,69
Coastal Carolina,74,Troy,95
Arkansas State,86,Coastal Carolina,69
Georgia State,76,Texas State,81
Louisiana-Monroe,57,Georgia Southern,66
Texas State,65,Old Dominion,36
Appalachian State,61,South Alabama,68
Arkansas State,59,Troy,63
Troy,72,James Madison,75
Georgia Southern,49,Louisiana,67
Texas State,71,Marshall,68
South Alabama,78,Southern Mississippi,61
South Alabama,75,James Madison,66
Texas State,58,Louisiana,64
South Alabama,66,Louisiana,71
