Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Mercer,69,Samford,78
Virginia Military Institute,62,Furman,85
Chattanooga,68,The Citadel,76
UNC Greensboro,72,Western Carolina,47
East Tennessee State,73,Wofford,71
Chattanooga,80,Mercer,51
Samford,75,The Citadel,63
East Tennessee State,64,Virginia Military Institute,50
Furman,67,Western Carolina,79
UNC Greensboro,73,Wofford,64
Western Carolina,71,East Tennessee State,60
The Citadel,72,Furman,97
Wofford,53,Mercer,52
Virginia Military Institute,78,Samford,87
Chattanooga,61,UNC Greensboro,73
Virginia Military Institute,78,Chattanooga,85
Furman,70,East Tennessee State,56
Samford,70,UNC Greensboro,68
Mercer,45,Western Carolina,73
The Citadel,57,Wofford,77
Western Carolina,76,Chattanooga,95
Furman,84,Mercer,66
Wofford,58,Samford,83
East Tennessee State,96,The Citadel,74
UNC Greensboro,72,Virginia Military Institute,57
Mercer,68,East Tennessee State,55
UNC Greensboro,88,Furman,80
Chattanooga,74,Samford,75
Western Carolina,61,The Citadel,65
Virginia Military Institute,67,Wofford,86
Furman,77,Chattanooga,69
Samford,69,East Tennessee State,59
Wofford,71,Western Carolina,76
The Citadel,60,UNC Greensboro,70
Mercer,69,Virginia Military Institute,61
East Tennessee State,78,Chattanooga,62
Western Carolina,65,Samford,74
Mercer,48,UNC Greensboro,59
The Citadel,60,Virginia Military Institute,52
Furman,96,Wofford,82
Wofford,85,Chattanooga,80
Samford,84,Furman,91
East Tennessee State,67,Mercer,71
Virginia Military Institute,50,UNC Greensboro,62
The Citadel,81,Western Carolina,70
Chattanooga,73,East Tennessee State,64
Mercer,74,The Citadel,65
Western Carolina,71,Virginia Military Institute,65
Samford,77,Wofford,85
Furman,69,UNC Greensboro,57
Wofford,52,East Tennessee State,77
Chattanooga,58,Furman,79
Samford,85,Western Carolina,77
UNC Greensboro,69,Mercer,49
Virginia Military Institute,75,The Citadel,69
Wofford,67,Furman,80
Virginia Military Institute,54,Mercer,80
East Tennessee State,62,Samford,73
UNC Greensboro,79,The Citadel,59
Chattanooga,68,Western Carolina,83
East Tennessee State,65,UNC Greensboro,91
The Citadel,63,Chattanooga,82
Samford,70,Mercer,69
Furman,94,Virginia Military Institute,63
Western Carolina,95,Wofford,91
Virginia Military Institute,65,East Tennessee State,69
Mercer,56,Chattanooga,73
Western Carolina,59,Furman,93
The Citadel,70,Samford,76
Wofford,89,UNC Greensboro,97
UNC Greensboro,71,Samford,83
Furman,65,The Citadel,69
Chattanooga,78,Virginia Military Institute,58
East Tennessee State,66,Western Carolina,68
Mercer,67,Wofford,70
UNC Greensboro,93,Chattanooga,76
Western Carolina,71,Mercer,68
Wofford,72,The Citadel,68
Samford,96,Virginia Military Institute,61
East Tennessee State,79,Furman,83
Samford,75,Chattanooga,70
The Citadel,70,East Tennessee State,78
Mercer,67,Furman,70
Western Carolina,52,UNC Greensboro,71
Wofford,83,Virginia Military Institute,87
UNC Greensboro,62,East Tennessee State,63
The Citadel,50,Mercer,72
Furman,93,Samford,79
Virginia Military Institute,66,Western Carolina,85
Chattanooga,74,Wofford,86
