Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Southeastern Louisiana,73,Nicholls State,88
New Orleans,96,Houston Christian,101
Incarnate Word,74,East Texas A&M,82
McNeese State,81,Lamar,62
Texas A&M-Corpus Christi,65,Northwestern State,59
Incarnate Word,61,Texas A&M-Corpus Christi,91
Nicholls State,66,East Texas A&M,63
Northwestern State,77,McNeese State,92
Lamar,55,New Orleans,81
Houston Christian,59,Southeastern Louisiana,71
Texas A&M-Corpus Christi,80,Incarnate Word,71
East Texas A&M,82,McNeese State,80
Houston Christian,59,New Orleans,82
Nicholls State,48,Northwestern State,68
Lamar,84,Southeastern Louisiana,89
East Texas A&M,59,Houston Christian,68
New Orleans,85,Incarnate Word,79
Nicholls State,66,Lamar,69
McNeese State,75,Northwestern State,89
Southeastern Louisiana,85,Texas A&M-Corpus Christi,82
Lamar,66,East Texas A&M,81
Southeastern Louisiana,75,Incarnate Word,71
Houston Christian,90,McNeese State,81
Northwestern State,63,Nicholls State,77
New Orleans,79,Texas A&M-Corpus Christi,97
Incarnate Word,89,Houston Christian,78
Texas A&M-Corpus Christi,66,Lamar,68
East Texas A&M,63,New Orleans,58
McNeese State,64,Nicholls State,73
Northwestern State,91,Southeastern Louisiana,81
Texas A&M-Corpus Christi,78,Houston Christian,90
Incarnate Word,70,Lamar,64
Nicholls State,71,McNeese State,68
Northwestern State,88,New Orleans,65
East Texas A&M,73,Southeastern Louisiana,79
McNeese State,65,Incarnate Word,70
East Texas A&M,62,Lamar,57
Houston Christian,63,Northwestern State,82
New Orleans,87,Southeastern Louisiana,92
Nicholls State,86,Texas A&M-Corpus Christi,96
Houston Christian,76,East Texas A&M,77
Nicholls State,67,Incarnate Word,69
Southeastern Louisiana,80,New Orleans,64
Lamar,65,Northwestern State,80
McNeese State,72,Texas A&M-Corpus Christi,83
Northwestern State,94,Houston Christian,76
Lamar,70,McNeese State,63
Texas A&M-Corpus Christi,86,New Orleans,69
Incarnate Word,67,Southeastern Louisiana,77
McNeese State,58,East Texas A&M,60
Nicholls State,92,Houston Christian,91
Northwestern State,72,Lamar,68
Incarnate Word,78,New Orleans,70
Texas A&M-Corpus Christi,83,Southeastern Louisiana,72
Northwestern State,88,East Texas A&M,82
Lamar,68,Incarnate Word,59
Southeastern Louisiana,66,McNeese State,69
New Orleans,59,Nicholls State,84
Houston Christian,68,Texas A&M-Corpus Christi,91
Houston Christian,84,Incarnate Word,78
McNeese State,79,New Orleans,78
East Texas A&M,64,Northwestern State,72
Nicholls State,88,Southeastern Louisiana,77
Lamar,52,Texas A&M-Corpus Christi,61
New Orleans,84,East Texas A&M,78
Houston Christian,75,Lamar,91
Incarnate Word,76,McNeese State,78
Texas A&M-Corpus Christi,78,Nicholls State,74
Southeastern Louisiana,76,Northwestern State,81
Southeastern Louisiana,78,East Texas A&M,76
Lamar,74,Houston Christian,93
Texas A&M-Corpus Christi,77,McNeese State,54
Incarnate Word,74,Nicholls State,84
New Orleans,68,Northwestern State,65
East Texas A&M,72,Nicholls State,71
McNeese State,80,Houston Christian,85
Northwestern State,71,Incarnate Word,66
Southeastern Louisiana,83,Lamar,60
Nicholls State,82,New Orleans,88
East Texas A&M,84,Texas A&M-Corpus Christi,80
East Texas A&M,75,Incarnate Word,79
New Orleans,84,Lamar,79
Houston Christian,64,Nicholls State,68
McNeese State,75,Southeastern Louisiana,78
Northwestern State,75,Texas A&M-Corpus Christi,83
Texas A&M-Corpus Christi,93,East Texas A&M,88
Southeastern Louisiana,80,Houston Christian,64
New Orleans,73,McNeese State,80
Lamar,60,Nicholls State,64
Incarnate Word,64,Northwestern State,81
New Orleans,90,Houston Christian,69
East Texas A&M,78,McNeese State,79
Nicholls State,71,McNeese State,77
New Orleans,82,Southeastern Louisiana,78
Texas A&M-Corpus Christi,80,McNeese State,63
New Orleans,70,Northwestern State,74
Northwestern State,71,Texas A&M-Corpus Christi,75
