Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
South Dakota,45,Kansas City,62
Denver,66,Omaha,83
South Dakota State,40,Oral Roberts,79
North Dakota,62,St. Thomas,75
North Dakota State,60,Western Illinois,79
South Dakota,,Oral Roberts,
North Dakota State,68,St. Thomas,78
Kansas City,83,Denver,85
Oral Roberts,92,Omaha,89
St. Thomas,84,South Dakota,92
Western Illinois,64,South Dakota State,71
North Dakota State,71,North Dakota,49
Oral Roberts,80,Denver,62
Kansas City,75,Omaha,59
Western Illinois,63,South Dakota,80
St. Thomas,64,South Dakota State,71
South Dakota,62,North Dakota,60
South Dakota State,59,North Dakota State,65
Denver,71,St. Thomas,81
Omaha,78,Western Illinois,74
South Dakota State,60,North Dakota,59
South Dakota,61,North Dakota State,73
Kansas City,71,Oral Roberts,74
Omaha,68,St. Thomas,80
Denver,74,Western Illinois,91
North Dakota State,90,Denver,70
St. Thomas,60,Kansas City,81
North Dakota,63,Omaha,69
Western Illinois,63,Oral Roberts,87
North Dakota,71,Denver,78
Western Illinois,60,Kansas City,52
North Dakota State,78,Omaha,65
St. Thomas,69,Oral Roberts,81
South Dakota State,82,South Dakota,64
Kansas City,60,North Dakota,77
Oral Roberts,92,North Dakota State,69
Denver,75,South Dakota,60
Omaha,61,South Dakota State,84
Oral Roberts,84,North Dakota,72
Kansas City,75,North Dakota State,73
Omaha,68,South Dakota,84
Denver,61,South Dakota State,76
St. Thomas,56,Western Illinois,60
North Dakota,80,Western Illinois,92
Omaha,61,Kansas City,64
Denver,61,Oral Roberts,102
South Dakota State,54,St. Thomas,60
South Dakota,72,Western Illinois,75
North Dakota,75,North Dakota State,91
Denver,60,Kansas City,70
Omaha,64,Oral Roberts,73
South Dakota,81,St. Thomas,67
South Dakota State,73,Western Illinois,81
South Dakota State,67,Kansas City,66
South Dakota,53,Oral Roberts,103
Western Illinois,44,Denver,74
St. Thomas,89,Omaha,83
North Dakota State,62,South Dakota,71
North Dakota,73,South Dakota State,96
St. Thomas,68,Denver,57
Oral Roberts,85,Kansas City,57
Western Illinois,75,Omaha,72
North Dakota,86,South Dakota,72
North Dakota State,85,South Dakota State,90
Denver,63,North Dakota,86
Omaha,58,North Dakota State,84
Oral Roberts,95,St. Thomas,88
Kansas City,76,Western Illinois,64
Omaha,73,North Dakota,76
Denver,70,North Dakota State,78
South Dakota,67,South Dakota State,72
Kansas City,43,St. Thomas,73
Oral Roberts,82,Western Illinois,73
South Dakota State,80,Denver,75
North Dakota State,69,Kansas City,58
South Dakota,72,Omaha,80
North Dakota,70,Oral Roberts,73
South Dakota,68,Denver,86
North Dakota,81,Kansas City,73
South Dakota State,91,Omaha,70
North Dakota State,66,Oral Roberts,74
Western Illinois,69,St. Thomas,82
Western Illinois,81,North Dakota,70
St. Thomas,64,North Dakota State,73
Oral Roberts,82,South Dakota,70
Kansas City,50,South Dakota State,73
Omaha,61,Denver,72
St. Thomas,74,North Dakota,82
Western Illinois,69,North Dakota State,71
Kansas City,48,South Dakota,82
Oral Roberts,69,South Dakota State,65
North Dakota,83,Denver,68
Omaha,73,Kansas City,61
North Dakota,80,Oral Roberts,96
Omaha,55,South Dakota State,63
South Dakota,68,North Dakota State,70
St. Thomas,67,Western Illinois,60
St. Thomas,65,Oral Roberts,70
North Dakota State,89,South Dakota State,79
North Dakota State,58,Oral Roberts,92
