Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Arkansas-Pine Bluff,59,Alabama A&M,66
Mississippi Valley State,61,Alabama State,70
Jackson State,67,Alcorn State,66
Bethune-Cookman,67,Florida A&M,59
Grambling,60,Prairie View,61
Southern,77,Texas Southern,76
Mississippi Valley State,68,Alabama A&M,75
Arkansas-Pine Bluff,66,Alabama State,80
Southern,66,Prairie View,62
Grambling,85,Texas Southern,72
Alabama A&M,76,Alcorn State,89
Texas Southern,66,Arkansas-Pine Bluff,70
Bethune-Cookman,70,Grambling,76
Alabama State,58,Jackson State,61
Prairie View,67,Mississippi Valley State,60
Florida A&M,66,Southern,84
Alabama State,76,Alcorn State,92
Prairie View,55,Arkansas-Pine Bluff,63
Florida A&M,57,Grambling,62
Alabama A&M,64,Jackson State,72
Texas Southern,67,Mississippi Valley State,71
Bethune-Cookman,75,Southern,102
Mississippi Valley State,71,Bethune-Cookman,77
Arkansas-Pine Bluff,67,Florida A&M,54
Jackson State,50,Prairie View,59
Grambling,73,Southern,81
Alcorn State,79,Texas Southern,74
Alabama State,69,Alabama A&M,61
Arkansas-Pine Bluff,77,Bethune-Cookman,71
Mississippi Valley State,59,Florida A&M,60
Alcorn State,77,Prairie View,68
Jackson State,82,Texas Southern,84
Texas Southern,70,Alabama A&M,59
Prairie View,55,Alabama State,56
Florida A&M,47,Alcorn State,57
Southern,55,Arkansas-Pine Bluff,62
Bethune-Cookman,66,Jackson State,70
Grambling,65,Mississippi Valley State,61
Prairie View,59,Alabama A&M,67
Texas Southern,71,Alabama State,65
Bethune-Cookman,68,Alcorn State,76
Grambling,77,Arkansas-Pine Bluff,70
Florida A&M,58,Jackson State,59
Southern,84,Mississippi Valley State,70
Mississippi Valley State,72,Arkansas-Pine Bluff,88
Alabama State,62,Bethune-Cookman,64
Alabama A&M,61,Florida A&M,56
Jackson State,66,Grambling,78
Alcorn State,68,Southern,80
Prairie View,89,Texas Southern,74
Alabama A&M,77,Bethune-Cookman,88
Alabama State,58,Florida A&M,69
Alcorn State,63,Grambling,60
Jackson State,62,Southern,73
Southern,61,Alabama A&M,82
Grambling,73,Alabama State,60
Arkansas-Pine Bluff,67,Alcorn State,70
Mississippi Valley State,82,Jackson State,78
Bethune-Cookman,60,Prairie View,58
Florida A&M,76,Texas Southern,69
Grambling,66,Alabama A&M,60
Southern,66,Alabama State,73
Mississippi Valley State,70,Alcorn State,81
Arkansas-Pine Bluff,84,Jackson State,88
Florida A&M,45,Prairie View,75
Bethune-Cookman,62,Texas Southern,69
Alabama State,74,Arkansas-Pine Bluff,71
Alcorn State,76,Bethune-Cookman,74
Jackson State,69,Florida A&M,58
Texas Southern,46,Grambling,65
Alabama A&M,70,Mississippi Valley State,68
Prairie View,65,Southern,79
Alabama A&M,75,Arkansas-Pine Bluff,72
Jackson State,91,Bethune-Cookman,64
Alcorn State,67,Florida A&M,64
Prairie View,64,Grambling,68
Alabama State,70,Mississippi Valley State,76
Texas Southern,79,Southern,68
Bethune-Cookman,56,Alabama A&M,90
Florida A&M,60,Alabama State,54
Southern,64,Grambling,69
Alcorn State,75,Jackson State,60
Arkansas-Pine Bluff,71,Prairie View,82
Mississippi Valley State,62,Texas Southern,80
Florida A&M,77,Alabama A&M,71
Bethune-Cookman,70,Alabama State,65
Mississippi Valley State,65,Prairie View,67
Arkansas-Pine Bluff,59,Texas Southern,64
Alabama A&M,55,Alabama State,50
Prairie View,75,Alcorn State,71
Southern,53,Bethune-Cookman,60
Grambling,69,Florida A&M,55
Texas Southern,69,Jackson State,71
Arkansas-Pine Bluff,74,Mississippi Valley State,78
Texas Southern,81,Alcorn State,89
Grambling,66,Bethune-Cookman,54
Southern,60,Florida A&M,58
Prairie View,57,Jackson State,61
Jackson State,67,Arkansas-Pine Bluff,63
Alabama A&M,48,Grambling,60
Alcorn State,70,Mississippi Valley State,60
Alabama State,52,Southern,66
Alcorn State,63,Arkansas-Pine Bluff,58
Florida A&M,70,Bethune-Cookman,91
Alabama State,49,Grambling,69
Jackson State,68,Mississippi Valley State,60
Texas Southern,74,Prairie View,78
Alabama A&M,68,Southern,65
Texas Southern,66,Alcorn State,62
Bethune-Cookman,72,Grambling,87
Prairie View,60,Jackson State,62
Alabama A&M,77,Southern,63
Texas Southern,74,Alabama A&M,61
Jackson State,69,Grambling,78
Texas Southern,61,Grambling,58
