,PTS,PTS.1,G_x,SRS_x,SOS_x,Tm._x,Opp._x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,Conf_x,G_y,SRS_y,SOS_y,Tm._y,Opp._y,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,ORB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,Conf_y
PTS,1.0,0.33482650273072273,0.1277925036418975,0.12623192930960395,-0.000605677787575421,0.37876868983223705,0.14801499266314253,0.35484897006460336,0.26956560180045686,0.26418956319348347,0.18458046686816015,0.12432832535341379,0.2046125041030671,0.1633248567799703,0.13867504534204195,0.09088955383485744,0.07630896950986982,0.17249059245559395,0.22265814225210265,0.09101263724167848,0.019437398048126657,-0.038328465025243834,0.030655801542668747,0.010038713299403854,-0.14010281484715237,-0.15547481160903345,-0.02458786656229717,0.12375383213583785,0.40851858106507855,0.09745768458584558,0.1430126692529415,0.007967937847701851,0.04368465202404308,0.04710014291575511,0.004466921944254008,0.10288936639197273,0.09563484391206843,0.033410090879211866,-0.01495264432415877,-0.029969301060723923,0.017630465049061225,-0.038826458421863067,-0.07269396861311946,0.11197326899280607,0.07749507328682322,0.012252266072660865
PTS.1,0.33482650273072273,1.0,-0.1460568214018255,-0.13046899611673105,0.003209722887309318,0.12345987743489882,0.39493935651109985,0.1051842866853896,0.16371734227581045,-0.00016009249261583137,0.05124338021174781,0.05334181160697953,0.01417351726164253,0.08143564966618913,0.08382214466621775,0.008651585586955286,0.000757169062980569,-0.0023981118992217167,0.0073459365412265505,-0.04540113876326863,-0.06426975321246495,0.12125146300902617,0.09914897361103032,-0.0030824778780693526,0.19077986534165878,0.1850972290369126,0.027818214674468756,0.4568074569999241,0.1338645932059217,0.4105839255937531,0.29714833493430787,0.3199101192211254,0.23797495467439891,0.165079579220871,0.25080927763394334,0.22036438322104132,0.17583624426632777,0.1522679222936589,0.08253898885906673,0.21283951248781244,0.29044937309489555,0.07923683878703697,0.06982278357690759,-0.08596026932948263,8.680058614897917e-06,-0.002318848503539788
G_x,0.1277925036418975,-0.1460568214018255,1.0,0.6216367191358655,0.40174665078141275,0.36648663271796494,-0.32688678628550316,0.33901304286397,0.15790660544629698,0.3430540716345557,0.1857142387070937,0.1022815955308154,0.24543400092804857,0.16319509982244287,0.10433168247822656,0.1770348001342145,0.12870023188004118,0.27559279829442823,0.34415298552415846,0.08912595286840695,0.22962863215017879,-0.30314151661005273,-0.11643859010092508,-0.06263512585099171,0.1989717268552931,0.2782370892752086,0.35882102170074476,0.022191112669079246,-0.07180432568487413,0.009586118226269437,-0.013764963298273186,0.024069522865616314,-0.022362969916246145,-0.018242107334408713,-0.022616603810197394,0.057524547982613264,0.03647988550271884,0.064952603967705,0.02545569789366514,0.02349419509779301,0.06398341906116034,0.014484469634608584,0.08776563200114977,-0.0762111325423747,-0.0570514188966928,-0.06466233275346336
SRS_x,0.12623192930960395,-0.13046899611673105,0.6216367191358655,1.0,0.8209540619268337,0.43366808699065573,-0.47031046638227525,0.40170626891721767,0.17950997456352302,0.4129882794065914,0.20541092831321225,0.13417593003749093,0.23914616726265156,0.20272594488245652,0.12116491375319306,0.24256032913271539,0.14421143489961566,0.37623729441784465,0.4666591609460898,0.10046777642419519,0.3825618560383096,-0.4236372656936796,-0.22676696771820806,-0.1974861593753531,0.26770607385674305,0.641645493950221,0.7944513065589264,0.07853072537222214,-0.15814325411984861,0.05781420827682005,0.010008791450079086,0.07119683718757197,0.004823678280405435,0.01541161282605377,-0.02129273637409133,0.09151015112554098,0.04485868645809807,0.13032914775771753,0.02713318362827146,0.11838513774941943,0.17743333669487452,-0.05865640287329707,0.2403330827683366,-0.20665400694619893,-0.14069189373004684,-0.19392906794956105
SOS_x,-0.000605677787575421,0.003209722887309318,0.40174665078141275,0.8209540619268337,1.0,0.12231190558395533,-0.20655089667385818,0.09618796527905168,0.03927294159196395,0.0974827141007605,0.025953113198695768,0.0218338826419997,0.01377026905618822,0.11613708833689501,0.057399874520759696,0.16909793714207666,0.05025797929601228,0.16354432547971684,0.22842357047334977,-0.04644730764431963,0.3116340932959313,-0.25336043719996193,-0.15633124068367904,-0.22039384620521985,0.3516819747249387,0.7879491273543325,0.9584910394835279,0.12078687607994774,-0.19255128819627845,0.08835132859062866,0.03306257667267683,0.0935437359731854,0.011682709704803455,0.016273568788048184,-0.006559050130013437,0.1378954700494439,0.0781727069037274,0.17409593016782413,0.05808434764115869,0.16382632923466756,0.22289147753067662,-0.05396650267022952,0.29907461987104145,-0.23546673976290808,-0.14823539930510005,-0.2189362363349075
Tm._x,0.37876868983223705,0.12345987743489882,0.36648663271796494,0.43366808699065573,0.12231190558395533,1.0,0.2828430879005367,0.9128674709642572,0.671021937662211,0.7010163239656846,0.4836326104420449,0.3389119591093595,0.5144620183693307,0.48452035392359794,0.4037762876704563,0.2900583839702849,0.19224318158000225,0.4776319591332186,0.6289828182970243,0.2155024107474835,0.13173145131244468,-0.1790725477559054,0.03935379256998782,0.01127885950933273,0.02946866653031161,0.07950241703657346,0.12236677152905245,0.123433149841745,0.088455158978896,0.09479584344549453,0.05846748519619332,0.08265774800522536,0.09774388949722572,0.08820308626443726,0.05622687532121765,0.07274025952384347,0.055426567635963396,0.05908149775142914,0.014328060380205319,0.024876140268921373,0.07402711676846259,0.010751182331875242,-0.014226509850256872,-0.008884093651426082,0.04228166863060603,0.010826716934176386
Opp._x,0.14801499266314253,0.39493935651109985,-0.32688678628550316,-0.47031046638227525,-0.20655089667385818,0.2828430879005367,1.0,0.2294159789808402,0.36260049535578204,-0.004994759168806479,0.10150839978138013,0.0966655158693178,0.04427664751888812,0.21964125514239552,0.21489894464433396,0.04807257715367354,-0.0447412395032181,-0.08169594975583327,-0.010276692389553687,-0.0850193754508205,-0.20574208915277675,0.316533348280901,0.24032143258242758,0.06239764660334672,-0.049010693835231475,-0.16135465506357727,-0.1994118184341045,0.09056291898720605,0.14691748655328493,0.06822429538397118,0.06492158076452421,0.03953617225613478,0.08596004698854863,0.06879176593663226,0.0678200550468884,0.04509656027869093,0.037309519976609876,0.034794243461580464,0.021586143600260323,-0.019065602271447303,0.0038171171673784354,0.04325091214122404,-0.0878324177850688,0.07980162986987151,0.09299704987485405,0.054587028661140534
FG_x,0.35484897006460336,0.1051842866853896,0.33901304286397,0.40170626891721767,0.09618796527905168,0.9128674709642572,0.2294159789808402,1.0,0.7348714441678412,0.7666271212890363,0.333929542833092,0.17971727082151212,0.4717146026717535,0.1706257808477304,0.12631484306957072,0.14428886360288426,0.1823582850510836,0.44823339021765307,0.6726303838227127,0.24606439918264136,0.17113363618789829,-0.22512032671848425,-0.06313250631934458,-0.013642989918228193,0.013369539597265485,0.059975217938477474,0.08985714932698699,0.10079966857931442,0.07090012338792905,0.08209572291294177,0.04342506060199583,0.07825096391066086,0.10280386671964431,0.0928452728103212,0.06079605601841029,0.03380915057620864,0.011657885026979738,0.06439614820843041,-0.012230205216279013,0.006127843476815083,0.07158981874585077,0.0024966414827080263,-0.01443158891912434,-0.030863727692987734,-0.018028348360084295,-0.010509171536595576
FGA_x,0.26956560180045686,0.16371734227581045,0.15790660544629698,0.17950997456352302,0.03927294159196395,0.671021937662211,0.36260049535578204,0.7348714441678412,1.0,0.12960102371252322,0.2769258124600189,0.2828691326781562,0.10856181297554862,0.10370342454720854,0.1058366723659777,-0.0006125850648863318,0.5297659191162514,0.600042455156067,0.40855584247700694,0.30654825987897427,0.1858868119234621,-0.14805381329502773,0.07799899651247662,0.03395253262205204,-0.008210401482262706,0.010950658885712491,0.026864230803635262,0.06769218641733316,0.06844041105900042,0.04872926077786314,0.06991821461224917,0.0036363651691949366,0.04479509358911931,0.05121425835963093,0.001446035482833554,0.05140310019964717,0.04405422318053351,0.03160471699572821,0.05223442408773134,0.0402628447931662,0.05210396746730125,0.0620011467404128,0.006190360794124946,0.03204952041544789,0.009694813966424565,0.040458445543338085
FG%_x,0.26418956319348347,-0.00016009249261583137,0.3430540716345557,0.4129882794065914,0.0974827141007605,0.7010163239656846,-0.004994759168806479,0.7666271212890363,0.12960102371252322,1.0,0.22970320804166938,-0.0006058074156254728,0.5873864185505054,0.15189921294190398,0.08686485223827226,0.20725456863759956,-0.23260693534926946,0.08845110244555505,0.597320681957003,0.06730489479382383,0.07228184771920126,-0.18703236466618467,-0.16359417286695116,-0.05429936636154923,0.025061815601851008,0.07315648769202357,0.10088006336183958,0.08280038659701856,0.039918746662168346,0.07296479009774857,-0.004632131783579647,0.11138910257969956,0.10851277566685812,0.08738608510652163,0.08920419020127772,0.0010382686663692453,-0.023561841705099663,0.062038593233154575,-0.06879319294073491,-0.03166943687919597,0.05557202280982409,-0.053435658229515876,-0.028422552523385346,-0.07339520318559399,-0.033304630526085434,-0.05563313552156819
