School,G,SRS,SOS,Tm.,Opp.,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,32,-5.46,-2.01,70.6,70.3,25.6,57.7,.444,4.56,15.1,.302,14.9,20.8,.715,11.1,33.8,13.2,10.3,2.94,14.9,20.9
Air Force,32,-7.74,3.98,61.9,73.7,21.3,50.5,.421,8.09,24.5,.331,11.3,17.9,.635,7.38,29.9,13.4,5.66,2.84,13.5,17.8
Akron,34,3.55,-4.51,84.6,74.5,30.6,64.6,.473,10.9,29.8,.364,12.6,16.8,.753,12.1,39.0,18.1,7.71,3.74,12.0,17.9
Alabama,33,25.97,16.27,91.1,81.4,31.1,64.4,.483,10.4,29.8,.350,18.5,25.8,.716,12.9,43.1,16.8,6.06,4.45,12.8,19.0
Alabama A&M,32,-20.34,-9.76,73.0,78.8,24.8,61.4,.404,8.03,25.2,.318,15.3,23.1,.664,14.0,36.6,13.5,8.31,4.09,16.0,21.5
Alabama State,34,-9.22,-8.92,73.4,72.2,25.7,63.5,.405,8.97,27.2,.330,13.1,18.9,.692,11.7,36.2,11.8,7.82,2.85,9.15,18.2
Albany (NY),33,-9.43,-8.24,74.6,73.8,27.3,61.9,.441,7.21,22.3,.323,12.8,17.9,.716,11.9,33.8,12.5,8.27,2.33,10.8,17.4
Alcorn State,32,-13.77,-6.68,65.0,72.1,23.6,57.3,.411,5.34,16.8,.318,12.6,17.5,.717,11.8,34.0,10.3,6.59,2.69,13.1,17.0
American,34,-7.00,-6.53,68.6,67.3,23.9,54.0,.443,8.41,24.2,.347,12.4,16.4,.756,7.71,30.3,12.5,6.62,1.85,11.1,17.9
Appalachian State,31,-2.45,-3.70,67.8,63.5,23.8,54.6,.436,7.74,22.5,.344,12.5,19.1,.651,9.81,36.9,12.5,5.52,3.68,10.8,13.4
Arizona,34,23.14,13.84,81.7,72.4,28.7,60.8,.473,6.82,21.1,.324,17.4,22.2,.784,12.2,39.6,16.3,7.71,4.29,11.5,16.6
Arizona State,32,11.20,13.73,73.9,76.5,25.1,57.4,.438,8.78,24.6,.358,14.9,20.6,.724,8.81,34.2,12.9,5.38,4.44,12.3,17.0
Arkansas,33,16.64,11.19,76.6,71.2,27.2,58.2,.466,7.12,21.4,.333,15.2,20.7,.734,9.21,35.3,14.5,7.61,5.64,11.7,16.1
Arkansas State,34,5.23,-2.77,79.2,70.1,27.1,63.9,.424,9.26,28.9,.321,15.7,21.5,.730,13.4,40.9,14.1,7.32,4.59,10.7,18.4
Arkansas-Pine Bluff,31,-24.10,-8.21,72.3,83.9,26.9,59.3,.454,7.26,22.5,.323,11.3,19.0,.593,9.87,34.0,14.6,7.10,2.13,14.5,19.0
Army,31,-12.45,-7.25,73.2,75.1,27.2,61.6,.441,8.16,26.0,.314,10.7,15.6,.685,10.1,34.9,14.1,6.68,2.19,10.3,15.5
Auburn,33,29.58,15.34,83.8,69.6,29.7,61.5,.483,9.18,25.0,.368,15.3,20.6,.740,11.7,37.1,16.5,6.97,6.18,9.24,18.6
Austin Peay,33,-9.13,-3.43,71.6,74.9,25.3,60.0,.422,8.48,24.5,.346,12.4,17.3,.719,9.88,32.9,12.6,6.94,2.64,9.91,17.8
Ball State,31,-7.75,-6.29,75.4,74.2,25.2,55.4,.455,7.13,20.7,.345,17.8,25.3,.704,9.42,35.5,13.1,4.97,2.16,11.7,16.4
Baylor,33,19.43,13.59,76.5,69.2,27.1,60.5,.448,8.48,24.2,.351,13.8,18.5,.745,12.7,36.0,14.6,7.64,2.88,11.0,16.3
Bellarmine,31,-14.73,-4.35,72.6,80.1,26.3,56.2,.467,9.06,25.0,.362,11.1,14.3,.773,6.61,29.3,14.2,6.35,1.71,12.0,16.8
Belmont,33,2.05,-0.01,79.3,76.6,28.6,61.6,.465,10.5,27.4,.383,11.5,16.1,.719,9.61,34.6,17.2,6.94,3.15,11.2,15.6
Bethune-Cookman,33,-10.00,-6.49,68.6,72.2,24.2,56.7,.428,6.12,19.2,.319,14.0,20.3,.690,10.1,35.6,12.8,6.67,3.67,13.6,16.1
