School,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
Duke,31,3,82.7,61.9,20.79,9.52,14.05,16.26,30.32,130.24,85.96,44.28
Auburn,28,5,83.8,69.6,14.24,15.34,17.97,11.62,29.58,130.74,89.22,41.52
Houston,30,4,74.2,58.5,15.74,12.72,7.48,20.97,28.45,125.54,82.58,42.95
Florida,29,4,85.4,69.0,16.39,11.43,17.39,10.43,27.82,127.66,88.84,38.82
Alabama,25,8,91.1,81.4,9.70,16.27,24.74,1.22,25.97,127.95,92.53,35.42
Tennessee,27,6,74.7,62.3,12.33,12.70,6.13,18.90,25.04,121.01,84.74,36.28
Texas Tech,25,8,80.9,67.6,13.33,10.58,13.59,10.32,23.91,127.76,92.77,34.99
Gonzaga,25,8,86.6,69.6,17.00,6.63,17.27,6.36,23.63,125.03,92.13,32.90
Maryland,25,8,81.7,67.0,14.67,8.87,12.51,11.03,23.54,120.78,88.49,32.29
Arizona,22,12,81.7,72.4,9.29,13.84,16.12,7.02,23.14,124.51,91.85,32.66
Iowa State,24,9,80.4,68.1,12.30,10.75,12.57,10.48,23.05,121.38,88.80,32.58
Michigan State,27,6,78.2,67.2,10.91,11.56,9.90,12.57,22.47,120.32,88.59,31.72
St. John's (NY),30,4,78.7,65.9,12.82,8.95,10.71,11.06,21.77,115.59,85.10,30.49
Illinois,21,12,83.8,74.6,9.21,12.51,17.05,4.68,21.72,123.45,93.53,29.92
Kentucky,22,11,85.3,77.9,7.42,14.20,17.83,3.79,21.62,126.01,95.93,30.08
Wisconsin,26,8,80.5,70.8,9.74,11.41,12.79,8.36,21.15,124.11,94.14,29.97
Kansas,21,12,76.2,69.3,6.94,13.78,9.95,10.77,20.72,118.47,88.59,29.89
Purdue,22,11,77.9,71.1,6.79,13.89,10.65,10.03,20.68,126.33,96.81,29.52
Missouri,22,11,84.5,73.8,10.61,9.79,15.24,5.16,20.39,126.60,97.91,28.69
Texas A&M,22,10,74.3,67.9,6.38,13.67,7.30,12.75,20.05,118.12,89.14,28.98
Michigan,24,9,78.8,71.8,7.06,12.91,12.15,7.82,19.97,118.73,91.21,27.52
Brigham Young,24,9,81.0,70.9,10.09,9.72,13.61,6.21,19.82,124.48,96.26,28.22
Baylor,19,14,76.5,69.2,7.30,13.59,10.11,9.32,19.43,124.09,96.17,27.93
Louisville,27,7,78.6,68.9,9.68,9.62,10.76,8.55,19.30,119.75,92.54,27.21
UCLA,22,10,74.8,65.7,9.03,10.21,5.86,13.38,19.24,119.70,92.12,27.58
Marquette,23,10,76.9,68.5,8.33,10.56,9.82,9.07,18.89,119.65,92.81,26.84
Clemson,27,6,76.3,65.7,10.67,7.84,7.07,11.45,18.51,120.60,93.09,27.51
Mississippi,22,11,77.2,71.7,5.45,12.47,9.73,8.20,17.93,118.68,93.15,25.54
Ohio State,17,15,78.8,73.5,5.28,12.61,11.14,6.75,17.89,119.89,95.07,24.82
Connecticut,23,10,77.4,68.0,9.36,8.48,8.79,9.06,17.84,123.71,97.99,25.73
Saint Mary's (CA),28,5,73.5,60.7,12.85,5.75,1.48,16.27,17.75,117.20,90.30,26.90
Mississippi State,21,12,79.8,74.2,5.61,11.93,11.50,6.04,17.53,120.69,95.85,24.84
Oregon,24,9,76.2,70.9,5.27,12.23,9.02,8.48,17.50,118.31,93.54,24.76
Georgia,20,12,75.6,69.3,6.25,10.98,6.74,10.49,17.23,117.45,93.23,24.22
North Carolina,22,13,80.8,75.0,5.83,11.34,14.02,3.15,17.17,120.73,96.48,24.25
Arkansas,20,13,76.6,71.2,5.45,11.19,8.29,8.36,16.64,114.72,91.81,22.91
Creighton,24,10,75.2,69.5,5.71,10.66,8.24,8.13,16.36,119.13,95.53,23.60
Texas,19,15,78.4,72.2,6.21,9.99,10.22,5.98,16.20,119.88,96.99,22.89
Xavier,21,11,78.0,70.9,7.16,8.41,10.12,5.45,15.57,118.11,96.15,21.96
Oklahoma,20,13,78.8,74.8,4.00,11.42,10.63,4.80,15.42,120.68,98.81,21.87
West Virginia,19,13,68.2,64.8,3.34,11.95,1.39,13.90,15.29,112.33,90.54,21.78
Virginia Commonwealth,27,6,77.4,62.4,15.03,1.17,5.03,10.23,15.26,116.26,93.44,22.81
New Mexico,26,7,81.2,70.8,10.48,5.97,11.68,3.48,15.16,113.46,92.82,20.64
Vanderbilt,20,12,79.6,74.8,4.84,10.19,11.74,3.29,15.03,119.75,98.63,21.12
Southern Methodist,23,10,80.0,71.1,8.91,6.03,10.39,4.56,14.94,117.94,97.47,20.47
Indiana,19,13,74.7,72.0,2.63,11.98,6.92,7.69,14.60,114.93,94.32,20.61
Cincinnati,18,15,70.5,65.7,4.82,9.78,2.64,11.96,14.59,113.52,92.93,20.59
Northwestern,17,16,72.4,69.2,3.27,11.26,4.37,10.16,14.53,115.23,94.52,20.70
Utah State,26,7,80.9,70.0,10.91,5.23,11.35,3.13,14.48,122.79,101.69,21.10
Colorado State,25,9,75.2,67.1,8.15,5.77,6.08,7.83,13.92,117.47,96.90,20.57
Boise State,24,10,74.9,66.1,8.82,5.86,5.17,8.73,13.89,118.51,98.09,20.42
San Diego State,21,9,70.9,63.6,7.23,8.06,1.60,12.19,13.78,111.06,90.82,20.24
Penn State,16,15,79.1,73.2,5.87,7.76,9.55,4.08,13.63,116.24,97.91,18.33
Pittsburgh,17,15,75.9,70.8,5.03,8.58,6.94,6.68,13.61,117.27,98.32,18.95
Villanova,19,14,73.4,67.5,5.88,7.46,4.91,8.43,13.34,120.83,101.08,19.74
Santa Clara,20,12,81.3,72.8,8.44,4.72,10.13,3.03,13.16,117.73,99.13,18.60
UC San Diego,30,4,79.8,61.6,18.15,-2.06,3.96,9.07,13.04,114.53,95.33,19.21
Nebraska,17,14,75.4,72.9,2.52,10.47,6.58,6.40,12.98,114.20,95.99,18.21
Iowa,17,16,82.5,79.7,2.79,10.12,13.47,-0.56,12.90,122.06,104.62,17.44
Memphis,28,5,80.0,73.3,6.76,5.75,9.49,3.02,12.51,114.64,97.02,17.62
Southern California,16,17,76.9,75.5,1.39,11.07,9.15,3.31,12.46,118.06,100.73,17.34
Utah,16,16,75.3,72.2,3.09,8.86,7.20,4.75,11.95,114.26,97.66,16.60
Kansas State,16,17,70.8,69.6,1.21,10.09,3.44,7.87,11.30,112.43,96.58,15.85
Arizona State,13,19,73.9,76.5,-2.53,13.73,7.10,4.09,11.20,113.53,97.43,16.10
San Francisco,24,9,75.9,68.9,7.03,4.22,4.37,6.60,10.97,112.12,96.42,15.70
TCU,16,16,67.6,68.7,-1.16,12.05,0.71,10.19,10.90,109.31,93.64,15.68
UCF,17,16,79.3,80.1,-0.82,11.53,12.82,-2.11,10.71,116.25,100.05,16.19
Colorado,14,20,69.9,71.5,-1.56,12.09,3.54,6.99,10.53,110.85,95.81,15.04
Rutgers,15,17,77.0,77.6,-0.53,10.99,9.56,0.90,10.45,115.70,101.33,14.37
Butler,14,19,73.8,73.8,0.03,10.31,7.16,3.18,10.34,117.21,102.56,14.65
Louisiana State,14,18,73.8,73.6,0.25,10.02,5.12,5.15,10.27,111.03,96.99,14.04
South Carolina,12,20,69.8,71.4,-1.66,11.89,1.58,8.66,10.24,111.29,96.79,14.50
