School,W,L,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,13,17,70.9,104.9,0.318,0.341,0.543,49.1,58,12.3,7,0.51,15.5,28.6,0.23
Air Force,14,18,63.6,104,0.312,0.448,0.57,47.7,64.9,8.9,11,0.542,17.2,22.3,0.226
Akron,22,11,67.2,110.3,0.339,0.445,0.559,52.1,52.5,8.9,7.2,0.524,14.4,29.9,0.25
Alabama NCAA,31,6,72.6,110.4,0.366,0.472,0.557,54.4,54.3,8.2,11.3,0.521,15.9,34.2,0.266
Alabama A&M,15,18,69.9,98.9,0.347,0.327,0.528,47.8,50.9,11.4,12,0.501,18.6,30,0.228
Alabama State,8,23,68.6,92,0.321,0.332,0.468,48.5,45.2,8.5,9.1,0.426,16.5,32.4,0.226
Albany (NY),8,23,67.9,98.8,0.313,0.413,0.517,49.8,50,8.4,4.5,0.481,17,28.8,0.226
Alcorn State,18,14,67.8,98.2,0.353,0.297,0.496,50.2,41.4,11.7,7.7,0.452,15.6,33.7,0.254
American,17,15,62.6,102.9,0.279,0.361,0.567,51,55.5,11.7,11.4,0.544,19.5,28.3,0.196
Appalachian State,16,16,67.3,103.6,0.293,0.392,0.532,49.8,50.9,9.4,12.8,0.507,14.3,25.8,0.198
Arizona NCAA,28,7,72.7,112.6,0.358,0.377,0.591,54.2,64.7,8.4,8.1,0.565,16.2,30.7,0.253
Arizona State NCAA,23,13,69,101.9,0.312,0.393,0.515,48.8,56.6,10.2,13.3,0.484,14.5,29.2,0.215
Arkansas NCAA,22,14,70.2,105.1,0.393,0.277,0.545,51.7,48.1,11.9,13.1,0.509,15.8,30.7,0.274
Arkansas State,13,20,64.8,101,0.334,0.33,0.52,50.3,55.7,10.2,9.2,0.49,15.6,29,0.226
Arkansas-Pine Bluff,10,21,71.3,93,0.328,0.433,0.501,48.7,56.5,11.2,7.9,0.46,18.6,27.2,0.238
Army,17,16,68.1,106.5,0.308,0.387,0.568,53,48.8,7.4,6,0.546,16.7,27.5,0.21
Auburn NCAA,21,13,68.7,105.6,0.363,0.352,0.53,50.4,54.7,11.2,13.6,0.495,15.1,32.8,0.253
Austin Peay,9,22,66.8,99.4,0.277,0.385,0.51,47.1,52.1,10.6,8.8,0.477,15.2,28,0.201
