School,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,16,18,2452,2500,71.1,100.3,0.381,0.267,0.522,47.7,50.1,10.7,5.5,0.479,15.6,26.6,0.277
Air Force,9,22,2051,2243,63.4,103.6,0.296,0.472,0.56,46.2,62,10.2,11.8,0.538,16.9,23.8,0.202
Akron NCAA,24,11,2577,2316,66.9,109.6,0.318,0.428,0.555,53,49.7,8.4,8,0.523,14.5,30.6,0.231
Alabama NCAA,25,12,3335,3006,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11,0.563,13.6,35,0.273
Alabama A&M,12,23,2414,2653,71.7,95.8,0.472,0.269,0.514,49.8,45.8,10.4,10.7,0.459,19.4,31.9,0.341
Alabama State,13,19,2195,2221,69.7,97,0.284,0.38,0.463,50.1,44.7,12.2,12,0.423,13.2,32.4,0.205
Albany (NY),13,19,2517,2521,74.6,105.1,0.288,0.368,0.538,50,44.8,11.1,7.4,0.507,15.4,30.5,0.209
Alcorn State,14,18,2300,2477,68.3,104.8,0.378,0.266,0.527,51.4,45.4,10,5.7,0.487,14.5,33.6,0.269
American,16,16,2200,2176,63.1,108.1,0.283,0.456,0.557,51.6,57.4,9.1,5.5,0.53,15,28.4,0.204
Appalachian State,27,7,2665,2283,69.3,110.7,0.313,0.321,0.552,53.4,49.9,8.7,15.4,0.528,13.1,30.7,0.213
Arizona NCAA,27,9,3137,2594,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261
Arizona State,14,18,2209,2368,70.6,97.5,0.331,0.377,0.502,45,48.7,11.6,10.2,0.473,13.2,21.9,0.217
Arkansas,16,17,2566,2633,72.2,106.1,0.453,0.329,0.556,48.7,45.1,8.2,15,0.505,14.6,25.2,0.342
Arkansas State,20,17,2917,2850,70,112.3,0.329,0.428,0.545,52.1,52.5,8,10,0.515,13.4,34.5,0.231
Arkansas-Pine Bluff,13,18,2483,2536,74.3,107.8,0.375,0.493,0.579,47.5,57.4,7.9,5.4,0.539,16.1,24.3,0.286
Army,10,22,1930,2059,63.1,94.5,0.257,0.451,0.492,50,56.7,9,12.2,0.477,16.6,27.3,0.151
Auburn NCAA,27,8,2909,2391,70.9,117.2,0.383,0.375,0.58,52.3,61.6,10.4,15.9,0.542,13,32.9,0.287
Austin Peay,19,16,2619,2561,65.9,111.6,0.31,0.365,0.542,48.9,41.2,10.7,7.6,0.513,11.3,30,0.219
Ball State,15,16,2280,2200,67.8,107.2,0.385,0.371,0.558,50.9,50.1,8,8.1,0.513,15.5,28.3,0.295
Baylor NCAA,24,11,2814,2489,66.8,117.8,0.395,0.386,0.592,54.6,53.2,9.9,8.6,0.558,15,35.8,0.289
Bellarmine,8,23,2153,2320,66.8,103.1,0.224,0.38,0.53,46.9,52.7,7.9,5.9,0.499,12.7,22.6,0.175
Belmont,20,13,2570,2493,72,107.7,0.303,0.418,0.579,48.6,54.7,10.4,8.1,0.553,15.3,21.7,0.219
