School,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Abilene Christian,16,16,2260,2250,71.1,98.6,.361,.262,.523,50.1,51.4,14.4,8.5,.483,18.0,31.8,.258
Air Force,4,28,1982,2357,64.7,95.0,.354,.485,.525,46.6,62.9,8.7,8.1,.501,18.7,22.7,.225
Akron,28,6,2876,2534,72.4,116.3,.259,.461,.583,53.0,59.2,10.6,9.8,.557,14.2,33.5,.195
Alabama,25,8,3007,2687,76.2,118.7,.401,.462,.594,54.0,54.1,7.9,10.1,.563,14.3,34.7,.287
Alabama A&M,10,22,2337,2521,73.0,98.4,.375,.410,.504,49.5,54.3,11.2,11.5,.470,18.1,35.1,.249
Alabama State,19,15,2497,2456,69.5,105.3,.297,.428,.507,47.8,45.8,11.2,8.2,.476,11.2,28.9,.206
Albany (NY),17,16,2463,2437,68.7,107.5,.289,.360,.530,50.8,45.9,11.9,6.5,.499,13.3,32.9,.207
Alcorn State,11,21,2081,2307,66.3,97.7,.306,.294,.496,49.9,43.6,9.9,8.7,.458,16.6,33.5,.219
American,22,12,2334,2287,64.4,105.1,.304,.449,.555,48.4,52.4,10.1,5.3,.521,15.2,24.4,.230
Appalachian State,17,14,2102,1970,64.5,104.7,.350,.412,.533,50.7,52.7,8.5,10.1,.507,14.5,28.2,.228
Arizona,22,12,2779,2463,70.2,115.6,.366,.346,.573,54.7,56.7,10.9,12.0,.529,13.8,35.9,.287
Arizona State,13,19,2366,2447,69.9,104.6,.359,.428,.550,47.8,51.2,7.6,12.1,.514,15.5,25.2,.260
Arkansas,20,13,2528,2348,70.4,108.3,.355,.367,.563,50.6,53.2,10.8,15.4,.527,14.6,27.6,.261
Arkansas State,24,10,2692,2385,70.5,111.4,.336,.452,.534,51.9,51.8,10.3,11.6,.497,12.6,34.2,.245
Arkansas-Pine Bluff,6,25,2242,2602,73.1,99.0,.320,.379,.529,46.8,54.2,9.7,6.3,.515,17.5,26.9,.190
Army,16,15,2268,2327,67.7,105.5,.253,.421,.530,48.6,52.0,9.6,6.3,.507,13.0,27.3,.173
Auburn,28,5,2767,2297,68.9,121.3,.335,.406,.588,52.6,55.5,10.1,16.5,.557,11.5,34.3,.248
Austin Peay,14,19,2362,2472,67.2,105.3,.288,.409,.525,46.8,49.8,10.2,7.3,.493,12.7,26.7,.207
Ball State,14,17,2336,2300,69.0,108.4,.457,.373,.559,50.9,52.1,7.1,6.0,.519,14.8,27.7,.322
Baylor,19,14,2523,2282,66.0,113.6,.306,.399,.552,52.4,53.9,11.4,8.7,.518,13.7,36.2,.228
Bellarmine,5,26,2252,2484,67.6,106.6,.255,.445,.576,46.5,53.9,9.3,5.5,.548,16.0,21.2,.197
Belmont,22,11,2618,2529,70.4,112.2,.261,.445,.573,49.1,60.1,9.8,9.2,.550,14.0,27.2,.187
Bethune-Cookman,17,16,2265,2381,69.6,98.6,.359,.339,.517,49.8,52.9,9.6,9.7,.482,17.0,28.8,.248
Binghamton,15,17,2233,2287,66.8,103.2,.336,.365,.555,52.2,51.9,7.1,8.4,.527,17.6,27.6,.233
Boise State,24,10,2546,2246,65.9,113.2,.392,.425,.571,56.0,56.5,8.1,7.5,.525,14.5,33.5,.305
Boston College,12,19,2182,2349,66.8,102.4,.315,.330,.524,49.1,45.3,7.6,10.5,.489,15.0,28.8,.226
Boston University,16,16,2148,2191,64.1,103.1,.312,.422,.534,54.2,49.6,9.3,8.2,.510,17.4,32.8,.207
Bowling Green State,14,18,2352,2366,70.1,104.8,.337,.401,.546,49.5,44.0,10.3,9.6,.508,15.4,26.5,.251
Bradley,26,8,2612,2339,66.5,113.9,.314,.429,.599,51.1,53.7,9.9,11.5,.570,15.2,26.8,.237
Brigham Young,24,9,2672,2339,67.8,117.3,.302,.483,.593,54.3,59.9,10.4,9.8,.572,15.1,33.3,.213
Brown,14,13,1950,1933,67.4,105.7,.278,.409,.534,50.4,55.0,8.7,14.0,.517,14.7,30.8,.175
