Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Wake Forest,57,Clemson,77
Pittsburgh,68,NC State,60
Boston College,59,Duke,75
Syracuse,62,Notre Dame,61
Florida State,57,Virginia,62
Miami (FL),80,Louisville,53
North Carolina,72,Virginia Tech,80
Louisville,53,Florida State,75
NC State,73,Miami (FL),80
Georgia Tech,59,North Carolina,75
Virginia,64,Miami (FL),66
Pittsburgh,84,Syracuse,82
Duke,70,Wake Forest,81
Virginia Tech,65,Boston College,70
Notre Dame,72,Florida State,73
Clemson,79,Georgia Tech,66
Louisville,64,NC State,76
NC State,64,Clemson,78
Miami (FL),76,Notre Dame,65
North Carolina,74,Pittsburgh,76
Florida State,67,Duke,86
Virginia,74,Georgia Tech,56
Boston College,65,Syracuse,79
Virginia Tech,75,Wake Forest,77
Notre Dame,63,Boston College,70
Syracuse,70,Louisville,69
Virginia,65,Pittsburgh,68
Miami (FL),70,Georgia Tech,76
Duke,60,NC State,84
Wake Forest,79,North Carolina,88
Clemson,68,Virginia Tech,65
Duke,65,Boston College,64
Georgia Tech,64,Florida State,75
Wake Forest,80,Louisville,72
Notre Dame,64,North Carolina,81
Clemson,75,Pittsburgh,74
Syracuse,66,Virginia,73
NC State,73,Virginia Tech,69
Georgia Tech,72,Notre Dame,73
North Carolina,58,Virginia,65
Louisville,70,Clemson,83
Pittsburgh,69,Duke,77
Boston College,72,Miami (FL),88
Virginia Tech,72,Syracuse,82
Florida State,75,Wake Forest,90
Wake Forest,85,Boston College,63
Duke,64,Clemson,72
Virginia,67,Florida State,58
Pittsburgh,71,Georgia Tech,60
North Carolina,80,Louisville,59
Miami (FL),81,NC State,83
Notre Dame,73,Syracuse,78
Syracuse,78,Miami (FL),82
NC State,78,Georgia Tech,66
Boston College,64,North Carolina,72
Florida State,84,Notre Dame,71
Clemson,77,Wake Forest,87
Pittsburgh,75,Louisville,54
Virginia Tech,68,Virginia,78
Virginia Tech,50,Clemson,51
Miami (FL),66,Duke,68
Syracuse,80,Georgia Tech,63
NC State,69,North Carolina,80
Boston College,84,Notre Dame,72
Florida State,71,Pittsburgh,64
Virginia,76,Wake Forest,67
Duke,75,Virginia Tech,78
Georgia Tech,51,Clemson,72
Miami (FL),86,Florida State,63
Notre Dame,82,NC State,85
North Carolina,72,Syracuse,68
Louisville,65,Boston College,75
Wake Forest,79,Pittsburgh,81
Clemson,82,Florida State,81
Duke,86,Georgia Tech,43
Louisville,62,Notre Dame,76
Miami (FL),68,Pittsburgh,71
Boston College,57,Virginia,76
Syracuse,70,Virginia Tech,85
NC State,79,Wake Forest,77
Virginia,67,Syracuse,62
Clemson,54,Boston College,62
Wake Forest,73,Duke,75
Virginia Tech,83,Miami (FL),92
Georgia Tech,58,Louisville,68
Florida State,66,NC State,94
Pittsburgh,65,North Carolina,64
Syracuse,77,Boston College,68
Miami (FL),78,Clemson,74
North Carolina,57,Duke,63
Florida State,81,Louisville,78
Georgia Tech,64,NC State,72
Wake Forest,81,Notre Dame,64
Virginia,68,Virginia Tech,74
Duke,59,Miami (FL),81
Louisville,57,Pittsburgh,91
NC State,50,Virginia,63
North Carolina,85,Wake Forest,92
Syracuse,76,Florida State,67
Notre Dame,68,Georgia Tech,70
Boston College,82,Virginia Tech,76
NC State,92,Boston College,62
Pittsburgh,83,Florida State,75
Louisville,85,Miami (FL),93
Clemson,71,North Carolina,91
Virginia Tech,93,Notre Dame,87
Duke,62,Virginia,69
Georgia Tech,70,Wake Forest,71
Miami (FL),80,North Carolina,72
Notre Dame,64,Duke,68
Boston College,58,Pittsburgh,77
NC State,72,Syracuse,75
Florida State,54,Clemson,94
Virginia Tech,70,Georgia Tech,77
Virginia,61,Louisville,58
Boston College,75,Florida State,69
Clemson,73,Louisville,83
Wake Forest,87,Miami (FL),96
Duke,77,Syracuse,55
Notre Dame,55,Virginia,57
Pittsburgh,72,Virginia Tech,79
North Carolina,69,NC State,77
Louisville,62,Duke,79
Georgia Tech,68,Pittsburgh,76
Miami (FL),76,Virginia Tech,70
Virginia,48,Boston College,63
Syracuse,73,Clemson,91
Wake Forest,74,NC State,90
North Carolina,63,Notre Dame,59
Virginia Tech,65,Duke,81
Louisville,67,Georgia Tech,83
Florida State,85,Miami (FL),84
Clemson,96,NC State,71
Virginia,63,North Carolina,71
Syracuse,82,Pittsburgh,99
Notre Dame,58,Wake Forest,66
North Carolina,77,Florida State,66
NC State,67,Duke,71
Virginia Tech,71,Louisville,54
Georgia Tech,96,Syracuse,76
Clemson,57,Virginia,64
Boston College,71,Wake Forest,69
Pittsburgh,81,Notre Dame,88
Georgia Tech,73,Boston College,65
Notre Dame,64,Clemson,87
Pittsburgh,76,Miami (FL),78
Duke,62,North Carolina,57
Wake Forest,63,Syracuse,72
Louisville,60,Virginia,75
Florida State,60,Virginia Tech,82
Louisville,62,Boston College,80
Georgia Tech,61,Florida State,60
Notre Dame,64,Virginia Tech,67
Virginia Tech,77,NC State,97
Boston College,61,North Carolina,85
Georgia Tech,81,Pittsburgh,89
Wake Forest,77,Syracuse,74
NC State,54,Clemson,80
Pittsburgh,69,Duke,96
Wake Forest,72,Miami (FL),74
North Carolina,59,Virginia,68
Duke,85,Miami (FL),78
Clemson,56,Virginia,76
Duke,59,Virginia,49
