Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
New Hampshire,67,Albany (NY),51
Binghamton,78,Bryant,82
Massachusetts-Lowell,67,NJIT,64
Vermont,74,Maryland-Baltimore County,61
New Hampshire,50,Binghamton,68
Albany (NY),83,Maryland-Baltimore County,92
Maine,70,Massachusetts-Lowell,72
Bryant,64,Vermont,74
Massachusetts-Lowell,63,Albany (NY),89
Maryland-Baltimore County,81,Bryant,73
NJIT,91,Maine,83
Vermont,60,New Hampshire,67
Albany (NY),69,Bryant,86
New Hampshire,71,Maine,58
Vermont,65,Massachusetts-Lowell,80
Binghamton,72,NJIT,71
Massachusetts-Lowell,65,Binghamton,66
Maine,77,Maryland-Baltimore County,85
Bryant,87,New Hampshire,81
Albany (NY),67,NJIT,74
Maryland-Baltimore County,75,Massachusetts-Lowell,81
Binghamton,65,Albany (NY),54
NJIT,75,Bryant,87
Maine,45,Vermont,66
New Hampshire,69,Maryland-Baltimore County,80
Binghamton,57,Maine,78
Bryant,79,Massachusetts-Lowell,98
NJIT,69,Vermont,85
Vermont,80,Binghamton,55
Massachusetts-Lowell,70,Maine,75
Albany (NY),65,New Hampshire,84
Maryland-Baltimore County,65,NJIT,69
Maine,72,Albany (NY),68
Bryant,67,Binghamton,84
Massachusetts-Lowell,65,New Hampshire,69
Maryland-Baltimore County,68,Vermont,74
Maine,53,Bryant,71
Binghamton,55,Maryland-Baltimore County,69
Albany (NY),50,Massachusetts-Lowell,66
New Hampshire,74,NJIT,67
Vermont,87,Albany (NY),68
New Hampshire,46,Bryant,70
Maryland-Baltimore County,49,Maine,84
NJIT,61,Massachusetts-Lowell,90
Bryant,87,Albany (NY),62
Vermont,74,Maine,65
NJIT,63,Maryland-Baltimore County,72
Binghamton,66,New Hampshire,64
Albany (NY),66,Binghamton,80
Bryant,73,Maryland-Baltimore County,76
Maine,50,NJIT,65
Massachusetts-Lowell,81,Vermont,93
Maryland-Baltimore County,74,Albany (NY),81
NJIT,67,Binghamton,86
Massachusetts-Lowell,85,Bryant,71
New Hampshire,51,Vermont,80
Albany (NY),72,Maine,74
Binghamton,70,Massachusetts-Lowell,84
Maryland-Baltimore County,66,New Hampshire,75
Vermont,82,NJIT,80
Massachusetts-Lowell,75,Maryland-Baltimore County,70
Maine,62,New Hampshire,74
Bryant,79,NJIT,78
Binghamton,70,Vermont,81
NJIT,68,Albany (NY),82
Maine,71,Binghamton,67
Vermont,70,Bryant,66
New Hampshire,55,Massachusetts-Lowell,92
Maryland-Baltimore County,70,Binghamton,67
Bryant,64,Maine,66
NJIT,58,New Hampshire,59
Albany (NY),61,Vermont,79
Binghamton,67,Maryland-Baltimore County,65
Maine,54,Massachusetts-Lowell,85
Bryant,60,New Hampshire,67
NJIT,57,Vermont,84
New Hampshire,64,Massachusetts-Lowell,75
Binghamton,57,Vermont,79
Massachusetts-Lowell,59,Vermont,72
