Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Temple,59,East Carolina,57
Houston,89,Tulsa,50
Wichita State,45,UCF,52
Tulane,77,Cincinnati,88
South Florida,86,Memphis,93
UCF,65,Houston,71
East Carolina,79,Wichita State,69
Tulsa,67,Southern Methodist,92
Cincinnati,61,Temple,70
Memphis,89,Tulane,96
UCF,64,East Carolina,61
Temple,68,South Florida,64
Tulsa,77,Tulane,93
Southern Methodist,53,Houston,87
Cincinnati,70,Wichita State,61
East Carolina,59,Memphis,69
Tulane,87,Temple,76
Houston,72,Cincinnati,59
Wichita State,70,South Florida,66
Southern Methodist,53,UCF,85
Temple,76,Tulsa,72
East Carolina,55,Cincinnati,83
South Florida,77,Houston,83
Tulane,97,Southern Methodist,88
Memphis,104,UCF,107
Cincinnati,54,Southern Methodist,52
UCF,69,Tulane,77
Tulsa,69,Wichita State,73
South Florida,81,East Carolina,70
Memphis,61,Temple,59
Houston,80,Tulane,60
Cincinnati,85,South Florida,69
East Carolina,58,Temple,73
Southern Methodist,79,Tulsa,76
Wichita State,78,Memphis,88
UCF,72,South Florida,85
Tulane,79,Tulsa,81
Memphis,75,Cincinnati,68
Temple,56,Houston,55
Wichita State,71,Southern Methodist,69
Tulsa,66,East Carolina,76
South Florida,76,Temple,79
Houston,82,UCF,71
Tulane,95,Wichita State,90
Southern Methodist,84,Memphis,99
Cincinnati,69,Houston,75
Temple,77,UCF,70
Wichita State,85,East Carolina,72
South Florida,80,Southern Methodist,82
Memphis,80,Tulsa,68
Tulsa,55,Cincinnati,81
East Carolina,63,South Florida,71
Southern Methodist,52,Tulane,74
Houston,70,Wichita State,61
UCF,64,Cincinnati,73
Southern Methodist,72,East Carolina,77
Tulane,90,Memphis,89
Houston,81,Temple,65
Wichita State,86,Tulsa,75
Cincinnati,94,Tulane,101
Tulsa,42,Houston,80
Memphis,99,South Florida,81
Temple,71,Southern Methodist,72
UCF,72,Wichita State,67
South Florida,65,Cincinnati,84
Tulsa,52,UCF,96
Temple,77,Memphis,86
Southern Methodist,89,Wichita State,91
Cincinnati,71,East Carolina,75
South Florida,96,Tulsa,69
UCF,63,Memphis,64
Houston,80,Southern Methodist,65
Wichita State,79,Temple,65
Tulane,84,South Florida,66
Memphis,64,Houston,72
East Carolina,70,Southern Methodist,86
Tulsa,53,Temple,76
Cincinnati,73,UCF,71
East Carolina,62,Tulsa,60
Temple,83,Cincinnati,88
Tulane,59,Houston,89
South Florida,82,UCF,75
Memphis,83,Wichita State,78
Houston,76,East Carolina,57
Southern Methodist,67,South Florida,71
Cincinnati,73,Memphis,76
Wichita State,83,Tulane,76
UCF,68,Tulsa,49
Tulane,68,East Carolina,83
Tulsa,56,South Florida,72
Wichita State,66,Houston,83
Memphis,81,Southern Methodist,62
UCF,55,Temple,57
East Carolina,78,Tulane,81
Southern Methodist,74,Cincinnati,97
Houston,67,Memphis,65
Temple,82,Tulane,83
East Carolina,58,UCF,84
South Florida,49,Wichita State,69
East Carolina,73,South Florida,58
Southern Methodist,70,UCF,76
Tulsa,63,Wichita State,81
Temple,54,Cincinnati,84
East Carolina,46,Houston,60
UCF,76,Memphis,81
Wichita State,76,Tulane,82
Cincinnati,48,Houston,69
Tulane,54,Memphis,94
Memphis,75,Houston,65
