Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Baylor,62,Iowa State,77
Oklahoma State,67,Kansas,69
West Virginia,76,Kansas State,82
Texas,70,Oklahoma,69
Texas Tech,61,TCU,67
West Virginia,60,Oklahoma State,67
Kansas State,116,Texas,103
Kansas,75,Texas Tech,72
TCU,88,Baylor,87
Iowa State,63,Oklahoma,60
Kansas State,97,Baylor,95
Texas,56,Oklahoma State,46
Iowa State,69,TCU,67
Oklahoma,68,Texas Tech,63
Kansas,76,West Virginia,62
Texas Tech,50,Iowa State,84
Oklahoma,75,Kansas,79
Oklahoma State,57,Kansas State,65
TCU,75,Texas,79
Baylor,83,West Virginia,78
Oklahoma State,58,Baylor,74
Iowa State,60,Kansas,62
West Virginia,76,Oklahoma,77
Kansas State,68,TCU,82
Texas Tech,70,Texas,72
Texas,67,Iowa State,78
Kansas,82,Kansas State,83
Baylor,81,Texas Tech,74
Oklahoma,56,Oklahoma State,72
TCU,65,West Virginia,74
TCU,83,Kansas,60
Texas Tech,58,Kansas State,68
Baylor,62,Oklahoma,60
Iowa State,59,Oklahoma State,61
Texas,69,West Virginia,61
Kansas,69,Baylor,75
Kansas State,76,Iowa State,80
Oklahoma,52,TCU,79
Oklahoma State,75,Texas,89
West Virginia,76,Texas Tech,61
Baylor,71,Texas,76
Iowa State,77,Texas Tech,80
Kansas State,78,Kansas,90
West Virginia,72,TCU,76
Oklahoma State,71,Oklahoma,61
Texas Tech,62,Baylor,89
Kansas,53,Iowa State,68
Texas,69,Kansas State,66
TCU,73,Oklahoma State,79
Oklahoma,61,West Virginia,93
Texas,80,Kansas,88
TCU,61,Kansas State,82
Oklahoma,72,Baylor,82
Texas Tech,68,Oklahoma State,71
Iowa State,71,West Virginia,76
Oklahoma State,64,Iowa State,56
Kansas,78,Oklahoma,55
Baylor,72,TCU,68
West Virginia,60,Texas,94
Kansas State,63,Texas Tech,71
West Virginia,67,Baylor,79
Texas,67,Texas Tech,74
Kansas State,65,Oklahoma,79
Kansas,87,Oklahoma State,76
TCU,59,Iowa State,70
Baylor,71,Kansas,87
Iowa State,55,Kansas State,61
Oklahoma State,75,TCU,100
Oklahoma,83,Texas,85
Texas Tech,78,West Virginia,72
Kansas,63,TCU,58
Oklahoma State,67,West Virginia,85
Baylor,65,Kansas State,75
Texas Tech,74,Oklahoma,63
Iowa State,54,Texas,72
Texas,72,Baylor,81
Oklahoma,61,Iowa State,50
West Virginia,74,Kansas,76
Kansas State,73,Oklahoma State,68
TCU,83,Texas Tech,82
West Virginia,72,Iowa State,69
Baylor,74,Oklahoma State,68
Texas Tech,63,Kansas,67
Oklahoma,69,Kansas State,85
Texas,73,TCU,75
Iowa State,73,Baylor,58
TCU,60,Oklahoma,74
Kansas,59,Texas,75
Oklahoma State,71,Texas Tech,68
Kansas State,81,West Virginia,89
Oklahoma,49,Oklahoma State,57
Texas Tech,62,West Virginia,78
Iowa State,78,Baylor,72
West Virginia,61,Kansas,78
TCU,80,Kansas State,67
Oklahoma State,47,Texas,61
Iowa State,58,Kansas,71
TCU,60,Texas,66
Texas,76,Kansas,56
