Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
DePaul,67,St. John's (NY),86
Xavier,102,Georgetown,89
Creighton,58,Marquette,69
Connecticut,68,Butler,46
Providence,71,Seton Hall,67
Georgetown,73,Connecticut,84
Marquette,98,Providence,103
Seton Hall,70,Xavier,73
St. John's (NY),63,Villanova,78
Butler,56,Creighton,78
DePaul,65,Creighton,80
Seton Hall,69,Marquette,83
Villanova,66,Connecticut,74
Xavier,84,St. John's (NY),79
Providence,72,Butler,52
Georgetown,76,DePaul,83
St. John's (NY),66,Seton Hall,88
Marquette,68,Villanova,66
Connecticut,73,Xavier,83
Providence,74,DePaul,59
Butler,80,Georgetown,51
Seton Hall,61,Creighton,83
Marquette,96,St. John's (NY),85
DePaul,70,Butler,78
Villanova,73,Georgetown,57
Connecticut,61,Providence,73
Creighton,60,Connecticut,69
Georgetown,73,Marquette,95
St. John's (NY),80,Providence,83
Butler,51,Seton Hall,76
Xavier,88,Villanova,80
Villanova,65,DePaul,75
Seton Hall,66,Georgetown,51
Butler,61,St. John's (NY),77
Connecticut,76,Marquette,82
Creighton,87,Xavier,90
Villanova,71,Butler,79
Providence,67,Creighton,73
Seton Hall,71,DePaul,67
St. John's (NY),85,Connecticut,74
Marquette,76,Xavier,80
Georgetown,73,Villanova,77
Creighton,73,Butler,52
Xavier,72,DePaul,73
Providence,75,Marquette,83
Connecticut,66,Seton Hall,67
Villanova,57,St. John's (NY),49
DePaul,64,Providence,75
Marquette,74,Seton Hall,53
Georgetown,82,Xavier,95
Butler,56,Connecticut,86
DePaul,76,Georgetown,81
Xavier,82,Connecticut,79
St. John's (NY),76,Creighton,104
Butler,58,Providence,79
Seton Hall,70,Butler,49
Xavier,67,Creighton,84
Marquette,89,DePaul,69
Georgetown,73,St. John's (NY),75
Providence,70,Villanova,65
Connecticut,90,DePaul,76
Creighton,63,Georgetown,53
Villanova,64,Marquette,73
Seton Hall,84,St. John's (NY),72
Providence,83,Xavier,85
Villanova,61,Creighton,66
Connecticut,68,Georgetown,62
Butler,52,Marquette,60
St. John's (NY),71,Xavier,96
DePaul,64,Seton Hall,69
St. John's (NY),66,Butler,68
Marquette,72,Connecticut,87
Georgetown,62,Providence,74
Creighton,75,Seton Hall,62
DePaul,65,Villanova,81
Xavier,67,Butler,69
Connecticut,53,Creighton,56
Marquette,89,Georgetown,75
Providence,68,St. John's (NY),73
Seton Hall,54,Villanova,58
St. John's (NY),92,DePaul,83
Creighton,86,Providence,94
Georgetown,68,Seton Hall,76
Butler,50,Villanova,62
Xavier,68,Marquette,69
Seton Hall,55,Connecticut,64
Villanova,72,Providence,85
Creighton,77,St. John's (NY),67
DePaul,68,Xavier,82
Georgetown,68,Butler,62
Marquette,73,Creighton,71
Villanova,64,Xavier,63
Providence,69,Connecticut,87
Butler,59,DePaul,58
St. John's (NY),79,Georgetown,70
Xavier,82,Seton Hall,60
DePaul,84,Marquette,90
Connecticut,95,St. John's (NY),86
Creighton,67,Villanova,79
Providence,88,Georgetown,68
Marquette,72,Butler,56
Villanova,76,Seton Hall,72
DePaul,59,Connecticut,88
Georgetown,59,Creighton,99
Xavier,94,Providence,89
Creighton,84,DePaul,70
St. John's (NY),94,Marquette,96
Seton Hall,82,Providence,58
Connecticut,71,Villanova,59
Butler,66,Xavier,78
DePaul,66,Seton Hall,65
Butler,63,St. John's (NY),76
Georgetown,48,Villanova,80
Providence,66,Connecticut,73
Villanova,74,Creighton,87
Marquette,72,St. John's (NY),70
DePaul,84,Xavier,89
Connecticut,68,Marquette,70
Creighton,60,Xavier,82
Xavier,51,Marquette,65
