Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Cal State Northridge,57,Cal Poly,67
UC Santa Barbara,66,Cal State Fullerton,58
UC San Diego,85,Long Beach State,83
Cal State Bakersfield,59,UC Riverside,71
UC Davis,66,Hawaii,74
UC Irvine,79,Cal State Bakersfield,75
Cal State Northridge,52,Cal State Fullerton,64
Cal Poly,48,Hawaii,57
UC Riverside,73,Long Beach State,72
UC San Diego,61,UC Santa Barbara,82
Cal Poly,51,Cal State Bakersfield,61
Long Beach State,84,Cal State Northridge,74
UC Irvine,88,UC Davis,83
Cal State Fullerton,77,UC Riverside,62
Hawaii,62,UC San Diego,49
UC Santa Barbara,62,Cal Poly,57
Hawaii,72,Cal State Fullerton,79
Cal State Bakersfield,48,UC Davis,67
Long Beach State,70,UC Irvine,87
Cal State Northridge,45,UC Riverside,68
UC Santa Barbara,60,Cal State Bakersfield,48
UC Davis,62,Cal State Northridge,54
Cal State Fullerton,65,UC Irvine,70
UC Riverside,74,UC San Diego,68
Cal Poly,58,Long Beach State,77
UC San Diego,52,Cal State Bakersfield,56
UC Irvine,71,Cal State Northridge,57
Cal State Fullerton,79,UC Davis,83
UC Riverside,65,UC Santa Barbara,64
Long Beach State,70,Hawaii,79
Cal State Bakersfield,46,Cal State Fullerton,76
Cal State Northridge,51,Hawaii,58
UC Santa Barbara,73,UC Irvine,65
Cal Poly,78,UC Riverside,83
UC Davis,78,UC San Diego,70
UC San Diego,71,Cal Poly,64
Cal State Fullerton,67,Long Beach State,72
UC Riverside,74,UC Davis,72
Hawaii,68,UC Irvine,76
Cal State Northridge,52,UC Santa Barbara,72
Cal State Fullerton,66,Cal State Northridge,69
Cal Poly,63,UC Davis,65
Hawaii,67,UC Riverside,63
Long Beach State,112,UC San Diego,110
Cal State Bakersfield,58,UC Santa Barbara,76
Long Beach State,70,Cal Poly,52
UC Davis,79,Cal State Bakersfield,58
UC Irvine,61,Cal State Fullerton,62
UC San Diego,65,Cal State Northridge,57
UC Santa Barbara,65,Hawaii,64
Cal State Fullerton,65,Cal Poly,36
UC Davis,72,Long Beach State,75
Cal State Northridge,56,UC Irvine,81
UC San Diego,65,UC Riverside,72
Cal State Bakersfield,69,Hawaii,72
UC Riverside,76,Cal State Bakersfield,82
Long Beach State,70,Cal State Fullerton,67
Hawaii,63,UC Davis,75
UC Irvine,76,UC San Diego,60
Cal Poly,62,UC Santa Barbara,68
Hawaii,69,Cal Poly,56
UC Riverside,58,Cal State Fullerton,64
UC Santa Barbara,67,Cal State Northridge,72
UC Irvine,88,Long Beach State,93
Cal State Bakersfield,75,UC San Diego,69
Cal State Northridge,58,Cal State Bakersfield,73
UC Santa Barbara,75,Long Beach State,72
Cal Poly,54,UC Irvine,55
UC Davis,65,UC Riverside,72
UC San Diego,62,Hawaii,69
Long Beach State,79,Cal State Bakersfield,69
Cal Poly,53,Cal State Northridge,64
UC Riverside,64,UC Irvine,83
UC Davis,74,UC Santa Barbara,84
Cal State Fullerton,52,Hawaii,51
Cal State Bakersfield,70,Cal Poly,62
Cal State Northridge,62,UC Davis,73
Long Beach State,76,UC Riverside,88
Cal State Fullerton,76,UC San Diego,73
UC Irvine,70,UC Santa Barbara,59
Cal Poly,62,Cal State Fullerton,83
Hawaii,70,Long Beach State,67
UC Davis,76,UC Irvine,78
UC Santa Barbara,63,UC Riverside,74
Cal State Northridge,62,UC San Diego,75
UC Irvine,59,Cal Poly,56
Hawaii,61,Cal State Bakersfield,50
UC Riverside,96,Cal State Northridge,76
UC San Diego,66,UC Davis,76
Cal State Fullerton,74,UC Santa Barbara,60
UC Davis,,Cal State Fullerton,
Cal State Bakersfield,68,Cal State Northridge,75
UC San Diego,99,UC Irvine,91
Long Beach State,73,UC Santa Barbara,78
UC Riverside,54,Hawaii,52
UC Davis,58,Cal Poly,52
Cal State Fullerton,70,Cal State Bakersfield,66
UC Irvine,67,Hawaii,72
Cal State Northridge,64,Long Beach State,71
UC Santa Barbara,87,UC San Diego,71
Hawaii,81,Cal State Northridge,55
Cal State Bakersfield,61,Long Beach State,77
UC Santa Barbara,89,UC Davis,86
UC Irvine,75,UC Riverside,65
Cal Poly,,UC San Diego,
UC Riverside,73,Cal Poly,72
UC San Diego,,Cal State Fullerton,
Long Beach State,92,UC Davis,93
Cal State Bakersfield,44,UC Irvine,52
Hawaii,61,UC Santa Barbara,81
Cal State Northridge,47,Cal State Bakersfield,51
Cal Poly,88,Long Beach State,68
Hawaii,60,Cal State Fullerton,62
Cal State Bakersfield,51,UC Irvine,75
UC Davis,52,UC Riverside,68
Cal Poly,54,UC Santa Barbara,64
Cal State Fullerton,83,UC Irvine,80
UC Riverside,87,UC Santa Barbara,92
Cal State Fullerton,62,UC Santa Barbara,72
