Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
UNC Wilmington,68,Monmouth,55
Hampton,61,College of Charleston,89
Hofstra,87,Delaware,73
Elon,50,Drexel,62
North Carolina A&T,76,Northeastern,88
Elon,52,Delaware,57
William & Mary,56,Drexel,66
North Carolina A&T,81,Hofstra,79
Stony Brook,65,Northeastern,61
College of Charleston,76,Towson,74
Hampton,65,UNC Wilmington,82
UNC Wilmington,81,Elon,66
College of Charleston,92,North Carolina A&T,79
Hofstra,67,Hampton,51
Stony Brook,67,Monmouth,56
Drexel,58,Towson,64
Northeastern,66,William & Mary,69
Delaware,64,College of Charleston,75
Monmouth,35,Drexel,67
Northeastern,79,Hampton,63
UNC Wilmington,66,North Carolina A&T,61
Towson,67,Stony Brook,55
Hofstra,75,William & Mary,62
Towson,59,Delaware,72
North Carolina A&T,80,Elon,71
Monmouth,57,Hofstra,77
College of Charleston,71,UNC Wilmington,69
Hampton,65,William & Mary,81
Drexel,66,Stony Brook,67
Elon,60,College of Charleston,78
Delaware,62,Hofstra,86
Stony Brook,59,North Carolina A&T,61
Drexel,76,Northeastern,55
Monmouth,48,Towson,68
William & Mary,69,UNC Wilmington,67
William & Mary,54,College of Charleston,82
North Carolina A&T,79,Hampton,67
Delaware,58,Northeastern,59
Hofstra,47,Towson,68
Elon,54,UNC Wilmington,62
William & Mary,53,Delaware,80
Hampton,73,Drexel,79
UNC Wilmington,46,Hofstra,70
College of Charleston,69,Monmouth,55
Towson,79,North Carolina A&T,67
Northeastern,79,Stony Brook,66
Delaware,74,Drexel,77
Towson,66,Elon,62
Hampton,83,Monmouth,66
College of Charleston,87,Northeastern,61
UNC Wilmington,62,Stony Brook,51
North Carolina A&T,90,William & Mary,86
Hofstra,82,Elon,65
Delaware,66,Hampton,67
Drexel,55,North Carolina A&T,68
Northeastern,63,Towson,72
Monmouth,49,UNC Wilmington,52
Stony Brook,74,William & Mary,77
Hofstra,85,College of Charleston,81
Northeastern,78,Delaware,81
Drexel,58,Elon,72
Stony Brook,71,Hampton,66
Monmouth,79,North Carolina A&T,64
William & Mary,73,Towson,92
College of Charleston,69,Drexel,70
William & Mary,57,Hampton,62
Towson,72,Hofstra,76
Delaware,62,Monmouth,70
Elon,69,Stony Brook,55
North Carolina A&T,63,UNC Wilmington,87
College of Charleston,84,Delaware,67
Stony Brook,58,Hofstra,79
Drexel,67,Monmouth,69
Elon,74,Northeastern,73
UNC Wilmington,70,William & Mary,63
UNC Wilmington,61,College of Charleston,93
Drexel,58,Delaware,54
Elon,61,North Carolina A&T,66
Hofstra,72,Northeastern,53
Monmouth,61,Stony Brook,54
Hampton,72,Towson,86
Towson,66,Drexel,73
William & Mary,55,Elon,66
College of Charleston,83,Hampton,70
Hofstra,86,Monmouth,57
North Carolina A&T,59,Stony Brook,69
Northeastern,59,UNC Wilmington,71
Northeastern,63,College of Charleston,99
Stony Brook,60,Delaware,71
Hampton,68,Elon,70
Drexel,52,Hofstra,66
North Carolina A&T,71,Monmouth,85
Towson,66,William & Mary,68
UNC Wilmington,72,Drexel,71
College of Charleston,88,Elon,66
Hampton,43,Hofstra,73
Monmouth,62,Northeastern,77
William & Mary,66,Stony Brook,71
Delaware,72,Towson,95
UNC Wilmington,66,Delaware,75
Drexel,72,Hampton,75
Elon,75,Monmouth,68
William & Mary,57,Northeastern,69
Hofstra,68,Stony Brook,65
North Carolina A&T,75,Towson,87
Towson,75,College of Charleston,83
Northeastern,48,Drexel,75
Monmouth,81,Hampton,86
Delaware,73,North Carolina A&T,71
Stony Brook,69,UNC Wilmington,76
Elon,60,William & Mary,73
Stony Brook,52,College of Charleston,92
Delaware,70,Elon,54
Northeastern,52,Hofstra,84
Hampton,72,North Carolina A&T,73
Towson,57,UNC Wilmington,53
Monmouth,62,William & Mary,74
Monmouth,100,Hampton,64
Northeastern,74,Delaware,77
Monmouth,45,Drexel,64
Stony Brook,76,North Carolina A&T,61
Elon,51,William & Mary,73
Stony Brook,52,College of Charleston,74
William & Mary,46,Hofstra,94
Delaware,60,Towson,86
Drexel,68,UNC Wilmington,73
Towson,72,College of Charleston,77
UNC Wilmington,79,Hofstra,73
UNC Wilmington,58,College of Charleston,63
