Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Rice,46,Middle Tennessee,81
Florida International,53,Florida Atlantic,79
Louisiana Tech,55,UTEP,60
Charlotte,68,UAB,76
North Texas,78,UTSA,54
Middle Tennessee,67,Charlotte,82
UTSA,69,Louisiana Tech,91
Florida Atlantic,50,North Texas,46
UTEP,73,UAB,79
Rice,81,Western Kentucky,78
Louisiana Tech,66,Charlotte,68
Western Kentucky,60,Middle Tennessee,65
Florida International,57,North Texas,72
UTSA,67,UAB,90
Rice,72,UTEP,67
UAB,86,Florida Atlantic,88
Charlotte,60,Florida International,62
Louisiana Tech,88,Rice,82
Middle Tennessee,72,UTSA,75
North Texas,70,Western Kentucky,66
Charlotte,67,Florida Atlantic,71
UAB,87,Florida International,90
UTEP,58,Louisiana Tech,60
North Texas,56,Middle Tennessee,51
Western Kentucky,74,UTSA,64
Florida Atlantic,77,Florida International,73
Louisiana Tech,65,North Texas,67
Middle Tennessee,71,Rice,68
Western Kentucky,80,UAB,78
UTSA,57,UTEP,69
UTSA,54,Charlotte,72
North Texas,62,Florida Atlantic,66
UAB,81,Louisiana Tech,74
UTEP,82,Rice,83
Florida International,59,Western Kentucky,70
UTEP,60,Charlotte,58
North Texas,64,Florida International,57
UAB,73,Middle Tennessee,74
Rice,88,UTSA,81
Florida Atlantic,76,Western Kentucky,62
Western Kentucky,74,Louisiana Tech,85
Charlotte,58,Middle Tennessee,62
Rice,72,North Texas,60
Florida International,61,UTEP,81
Florida Atlantic,83,UTSA,64
Middle Tennessee,68,Louisiana Tech,51
North Texas,63,UAB,52
Florida Atlantic,67,UTEP,59
Florida International,77,UTSA,72
Charlotte,75,Western Kentucky,71
Middle Tennessee,67,Florida Atlantic,85
Western Kentucky,69,Florida International,78
UTSA,59,North Texas,63
Charlotte,63,Rice,65
Louisiana Tech,59,UAB,65
Western Kentucky,63,Florida Atlantic,70
Middle Tennessee,74,Florida International,82
UTEP,42,North Texas,52
UAB,70,Rice,52
Louisiana Tech,66,UTSA,55
Florida International,57,Charlotte,54
Rice,72,Louisiana Tech,80
UTEP,72,Middle Tennessee,84
Florida Atlantic,77,UAB,86
UTSA,74,Western Kentucky,81
Florida Atlantic,67,Charlotte,52
UTSA,60,Middle Tennessee,84
North Texas,74,Rice,64
Florida International,72,UAB,76
UTEP,69,Western Kentucky,74
Rice,81,Florida Atlantic,90
Louisiana Tech,62,Florida International,66
UAB,79,North Texas,82
Charlotte,62,UTEP,53
Middle Tennessee,89,Western Kentucky,93
Louisiana Tech,85,Florida Atlantic,90
Rice,85,Florida International,78
Charlotte,43,North Texas,67
Middle Tennessee,69,UAB,92
UTEP,77,UTSA,66
Western Kentucky,64,Charlotte,68
North Texas,72,Louisiana Tech,62
Florida Atlantic,70,Middle Tennessee,74
UTSA,84,Rice,79
UAB,79,UTEP,66
Charlotte,74,Louisiana Tech,67
Florida International,58,Middle Tennessee,69
Western Kentucky,77,Rice,83
North Texas,80,UTEP,72
UAB,83,UTSA,78
North Texas,49,Charlotte,55
UTSA,66,Florida Atlantic,106
UTEP,87,Florida International,82
Rice,57,UAB,85
Louisiana Tech,66,Western Kentucky,76
Rice,54,Charlotte,70
UTEP,49,Florida Atlantic,75
UTSA,95,Florida International,91
Louisiana Tech,49,Middle Tennessee,63
UAB,72,Western Kentucky,60
Florida International,76,Louisiana Tech,77
Middle Tennessee,50,North Texas,64
Florida Atlantic,103,Rice,74
Western Kentucky,73,UTEP,68
Charlotte,73,UTSA,78
UAB,93,Charlotte,91
Florida Atlantic,76,Louisiana Tech,72
Western Kentucky,33,North Texas,67
Florida International,90,Rice,83
Middle Tennessee,65,UTEP,77
Louisiana Tech,81,Florida International,76
UTSA,71,Rice,72
UTEP,67,Western Kentucky,73
Western Kentucky,51,Florida Atlantic,75
Charlotte,65,Middle Tennessee,66
Louisiana Tech,46,North Texas,74
Rice,60,UAB,87
Middle Tennessee,65,Florida Atlantic,68
UAB,76,North Texas,69
UAB,56,Florida Atlantic,78
