Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Yale,60,Columbia,62
Harvard,66,Princeton,69
Cornell,74,Dartmouth,63
Pennsylvania,76,Brown,68
Harvard,70,Brown,68
Princeton,68,Columbia,49
Pennsylvania,69,Cornell,88
Dartmouth,81,Yale,77
Dartmouth,70,Brown,77
Pennsylvania,84,Columbia,55
Princeton,75,Cornell,68
Harvard,54,Yale,58
Yale,82,Cornell,94
Princeton,70,Brown,72
Pennsylvania,71,Dartmouth,75
Columbia,51,Harvard,73
Cornell,102,Columbia,85
Dartmouth,60,Harvard,59
Princeton,72,Pennsylvania,60
Brown,78,Yale,81
Columbia,85,Brown,97
Cornell,89,Harvard,95
Dartmouth,90,Princeton,93
Pennsylvania,63,Yale,70
Brown,73,Cornell,80
Columbia,73,Dartmouth,83
Harvard,68,Pennsylvania,83
Princeton,65,Yale,87
Brown,73,Dartmouth,61
Yale,68,Harvard,57
Columbia,65,Pennsylvania,74
Cornell,82,Princeton,89
Yale,72,Dartmouth,53
Brown,68,Harvard,65
Cornell,86,Pennsylvania,92
Columbia,66,Princeton,88
Cornell,66,Brown,80
Princeton,76,Dartmouth,83
Pennsylvania,80,Harvard,72
Columbia,68,Yale,99
Harvard,83,Columbia,65
Dartmouth,83,Cornell,95
Yale,64,Pennsylvania,66
Brown,67,Princeton,78
Dartmouth,65,Columbia,71
Harvard,73,Cornell,56
Brown,69,Pennsylvania,90
Yale,93,Princeton,83
Brown,84,Columbia,73
Princeton,58,Harvard,56
Dartmouth,79,Pennsylvania,89
Cornell,58,Yale,76
Yale,84,Brown,75
Columbia,73,Cornell,87
Harvard,82,Dartmouth,87
Pennsylvania,69,Princeton,77
Pennsylvania,70,Princeton,77
Cornell,60,Yale,80
Yale,65,Princeton,74
