Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Fairfield,53,Manhattan,56
Mount St. Mary's,73,Saint Peter's,58
Niagara,56,Iona,78
Canisius,70,Siena,74
Saint Peter's,55,Fairfield,67
Rider,68,Mount St. Mary's,65
Canisius,60,Iona,90
Niagara,64,Quinnipiac,60
Quinnipiac,56,Saint Peter's,63
Manhattan,80,Marist,69
Marist,71,Rider,77
Marist,54,Fairfield,73
Siena,83,Quinnipiac,76
Manhattan,57,Saint Peter's,67
Rider,66,Canisius,64
Mount St. Mary's,55,Niagara,67
Siena,70,Fairfield,61
Saint Peter's,55,Iona,73
Quinnipiac,84,Manhattan,65
Mount St. Mary's,64,Canisius,60
Rider,59,Niagara,61
Niagara,77,Fairfield,69
Canisius,64,Manhattan,57
Iona,84,Marist,57
Quinnipiac,72,Rider,63
Saint Peter's,60,Siena,70
Niagara,59,Manhattan,64
Mount St. Mary's,56,Marist,63
Iona,58,Quinnipiac,81
Canisius,67,Saint Peter's,60
Rider,63,Siena,68
Marist,76,Canisius,58
Fairfield,69,Iona,75
Manhattan,62,Mount St. Mary's,57
Siena,70,Niagara,64
Saint Peter's,51,Quinnipiac,58
Siena,62,Canisius,66
Rider,70,Iona,67
Quinnipiac,58,Mount St. Mary's,51
Marist,66,Niagara,64
Fairfield,56,Saint Peter's,52
Canisius,58,Fairfield,67
Iona,84,Manhattan,76
Saint Peter's,61,Marist,57
Niagara,62,Rider,65
Mount St. Mary's,57,Siena,72
Marist,55,Mount St. Mary's,59
Canisius,82,Quinnipiac,87
Manhattan,65,Rider,67
Niagara,59,Saint Peter's,57
Fairfield,62,Siena,52
Fairfield,63,Mount St. Mary's,60
Rider,68,Marist,52
Manhattan,62,Niagara,68
Iona,53,Siena,70
Saint Peter's,73,Mount St. Mary's,62
Manhattan,81,Canisius,74
Rider,78,Fairfield,69
Quinnipiac,72,Iona,78
Siena,70,Marist,55
Marist,66,Quinnipiac,72
Mount St. Mary's,51,Iona,81
Siena,66,Manhattan,71
Canisius,73,Niagara,76
Fairfield,51,Quinnipiac,66
Saint Peter's,61,Rider,82
Iona,70,Fairfield,61
Rider,67,Manhattan,56
Canisius,67,Marist,75
Mount St. Mary's,79,Quinnipiac,75
Niagara,56,Siena,54
Iona,80,Canisius,59
Siena,72,Mount St. Mary's,65
Quinnipiac,73,Niagara,79
Fairfield,57,Rider,58
Marist,56,Saint Peter's,67
Quinnipiac,65,Canisius,85
Mount St. Mary's,72,Fairfield,76
Saint Peter's,52,Manhattan,68
Iona,72,Niagara,55
Marist,65,Siena,73
Manhattan,60,Iona,71
Fairfield,70,Marist,61
Niagara,66,Mount St. Mary's,70
Canisius,81,Rider,78
Quinnipiac,66,Siena,63
Manhattan,73,Fairfield,72
Niagara,52,Marist,61
Canisius,74,Mount St. Mary's,75
Rider,88,Quinnipiac,90
Iona,73,Saint Peter's,53
Saint Peter's,53,Canisius,66
Marist,81,Manhattan,58
Iona,80,Mount St. Mary's,68
Fairfield,68,Niagara,76
Siena,66,Rider,69
Fairfield,51,Canisius,64
Siena,60,Iona,93
Saint Peter's,66,Niagara,65
Manhattan,72,Quinnipiac,70
Mount St. Mary's,63,Rider,58
Quinnipiac,82,Fairfield,92
Marist,74,Iona,93
Rider,73,Saint Peter's,60
Manhattan,67,Siena,66
Niagara,68,Canisius,81
Mount St. Mary's,74,Manhattan,69
Quinnipiac,88,Marist,76
Iona,80,Rider,78
Siena,72,Saint Peter's,73
Saint Peter's,70,Fairfield,52
Marist,61,Manhattan,50
Canisius,66,Mount St. Mary's,67
Mount St. Mary's,54,Iona,74
Saint Peter's,70,Rider,62
Marist,75,Quinnipiac,59
Niagara,71,Siena,65
Niagara,59,Iona,71
Marist,69,Saint Peter's,57
Marist,55,Iona,76
