Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Northern Illinois,51,Akron,76
Ohio,72,Buffalo,75
Miami (OH),56,Central Michigan,68
Bowling Green State,91,Eastern Michigan,65
Western Michigan,72,Kent State,80
Ball State,90,Toledo,83
Akron,63,Ball State,70
Western Michigan,74,Toledo,102
Ohio,79,Bowling Green State,88
Northern Illinois,62,Buffalo,80
Central Michigan,56,Eastern Michigan,62
Kent State,69,Miami (OH),66
Akron,74,Bowling Green State,70
Toledo,63,Kent State,75
Buffalo,80,Miami (OH),91
Central Michigan,54,Northern Illinois,73
Ball State,71,Ohio,76
Eastern Michigan,79,Western Michigan,85
Eastern Michigan,67,Akron,104
Kent State,70,Ohio,65
Miami (OH),61,Ball State,75
Buffalo,78,Central Michigan,87
Toledo,84,Northern Illinois,67
Bowling Green State,92,Western Michigan,108
Western Michigan,70,Ball State,71
Bowling Green State,71,Buffalo,100
Akron,69,Central Michigan,51
Kent State,77,Eastern Michigan,63
Northern Illinois,81,Miami (OH),77
Ohio,75,Toledo,90
Toledo,86,Buffalo,77
Ball State,65,Kent State,86
Miami (OH),73,Bowling Green State,83
Northern Illinois,88,Eastern Michigan,67
Central Michigan,68,Ohio,96
Akron,63,Western Michigan,55
Miami (OH),68,Akron,73
Buffalo,91,Ball State,65
Bowling Green State,83,Central Michigan,61
Kent State,76,Northern Illinois,86
Western Michigan,76,Ohio,88
Eastern Michigan,79,Toledo,84
Buffalo,68,Kent State,74
Ohio,77,Akron,83
Western Michigan,69,Central Michigan,70
Eastern Michigan,74,Miami (OH),69
Ball State,87,Northern Illinois,69
Bowling Green State,77,Toledo,91
Ball State,69,Bowling Green State,60
Akron,81,Buffalo,64
Ohio,79,Eastern Michigan,90
Central Michigan,69,Kent State,81
Toledo,81,Miami (OH),78
Northern Illinois,73,Western Michigan,59
Kent State,55,Akron,67
Eastern Michigan,90,Ball State,91
Northern Illinois,86,Bowling Green State,78
Miami (OH),68,Ohio,78
Central Michigan,59,Toledo,84
Buffalo,85,Western Michigan,76
Toledo,84,Akron,74
Eastern Michigan,97,Buffalo,102
Ball State,65,Central Michigan,51
Bowling Green State,64,Kent State,87
Western Michigan,78,Miami (OH),85
Ohio,82,Northern Illinois,76
Kent State,72,Buffalo,65
Akron,81,Ohio,90
Bowling Green State,72,Ball State,93
Toledo,70,Eastern Michigan,63
Central Michigan,66,Miami (OH),60
Western Michigan,53,Northern Illinois,81
Northern Illinois,77,Ball State,87
Central Michigan,77,Bowling Green State,74
Akron,78,Eastern Michigan,51
Buffalo,61,Ohio,85
Miami (OH),71,Toledo,89
Kent State,82,Western Michigan,58
Eastern Michigan,54,Kent State,81
Buffalo,66,Akron,86
Toledo,91,Bowling Green State,86
Ohio,76,Central Michigan,59
Miami (OH),66,Northern Illinois,65
Ball State,68,Western Michigan,78
Kent State,70,Ball State,82
Central Michigan,35,Buffalo,63
Western Michigan,59,Eastern Michigan,66
Bowling Green State,65,Miami (OH),74
Northern Illinois,68,Ohio,77
Akron,63,Toledo,84
Western Michigan,64,Akron,81
Kent State,79,Bowling Green State,69
Northern Illinois,84,Central Michigan,80
Ball State,68,Eastern Michigan,75
Ohio,68,Miami (OH),85
Buffalo,71,Toledo,101
Ball State,83,Akron,87
Eastern Michigan,68,Bowling Green State,88
Toledo,99,Central Michigan,65
Ohio,75,Kent State,82
Buffalo,85,Northern Illinois,75
Miami (OH),77,Western Michigan,62
Toledo,87,Ball State,81
Miami (OH),63,Buffalo,68
Akron,84,Kent State,89
Eastern Michigan,66,Northern Illinois,85
Bowling Green State,58,Ohio,92
Central Michigan,65,Western Michigan,81
Buffalo,77,Akron,101
Ohio,90,Ball State,70
Northern Illinois,57,Kent State,76
Miami (OH),75,Toledo,91
Akron,73,Kent State,79
Ohio,75,Toledo,82
Kent State,93,Toledo,78
