Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Wyoming,53,Fresno State,58
Boise State,72,Nevada,74
Colorado State,69,New Mexico,88
Air Force,55,San Diego State,71
Nevada-Las Vegas,72,San Jose State,75
Nevada,75,Air Force,69
San Jose State,78,Colorado State,70
San Diego State,76,Nevada-Las Vegas,67
Fresno State,54,Utah State,67
New Mexico,76,Wyoming,75
Utah State,77,Air Force,65
San Jose State,64,Boise State,67
New Mexico,67,Fresno State,71
Colorado State,69,Nevada,80
Utah State,59,Boise State,82
Fresno State,57,Colorado State,79
Nevada-Las Vegas,84,New Mexico,77
Nevada,67,San Jose State,40
San Diego State,80,Wyoming,75
Air Force,85,Colorado State,74
Nevada,65,San Diego State,74
Fresno State,64,San Jose State,74
Wyoming,63,Utah State,83
Boise State,84,Nevada-Las Vegas,66
Utah State,70,Nevada,85
Air Force,51,Fresno State,48
Colorado State,82,Nevada-Las Vegas,81
New Mexico,76,San Diego State,67
Boise State,85,Wyoming,68
Wyoming,74,Air Force,82
Nevada,62,Boise State,77
San Jose State,57,New Mexico,77
Nevada-Las Vegas,71,Utah State,75
San Diego State,82,Colorado State,76
Boise State,79,New Mexico,81
San Diego State,70,Air Force,60
Nevada-Las Vegas,63,Fresno State,76
San Jose State,74,Utah State,75
Colorado State,57,Wyoming,58
New Mexico,94,Nevada,97
Fresno State,53,Boise State,63
Wyoming,72,Nevada-Las Vegas,86
Air Force,52,San Jose State,82
Utah State,75,San Diego State,85
Air Force,73,New Mexico,81
Colorado State,59,Boise State,80
Utah State,70,Fresno State,53
Nevada,62,Nevada-Las Vegas,68
San Jose State,51,San Diego State,72
Boise State,59,Air Force,52
Nevada-Las Vegas,83,Colorado State,71
San Diego State,66,Nevada,75
Fresno State,62,Wyoming,85
New Mexico,73,Utah State,84
Air Force,52,Nevada,72
Fresno State,82,Nevada-Las Vegas,79
Boise State,52,San Diego State,72
Utah State,88,Colorado State,79
Wyoming,64,San Jose State,84
Colorado State,69,Air Force,53
San Jose State,62,Fresno State,70
Nevada,77,New Mexico,76
San Diego State,63,Utah State,61
Nevada-Las Vegas,69,Wyoming,59
New Mexico,77,Air Force,89
Fresno State,66,Nevada,77
Wyoming,63,Boise State,75
Nevada-Las Vegas,71,San Diego State,82
Utah State,64,San Jose State,69
San Jose State,75,Nevada-Las Vegas,66
Wyoming,70,New Mexico,56
Air Force,65,Utah State,80
Boise State,80,Colorado State,78
San Diego State,45,Fresno State,43
New Mexico,96,San Jose State,68
Air Force,75,Wyoming,69
Colorado State,60,Fresno State,57
Nevada,66,Utah State,75
Nevada-Las Vegas,69,Boise State,73
Fresno State,74,Air Force,69
San Jose State,51,Nevada,66
Colorado State,58,San Diego State,77
Utah State,65,Wyoming,55
New Mexico,77,Boise State,82
Wyoming,71,Colorado State,84
Nevada,60,Fresno State,56
Air Force,53,Nevada-Las Vegas,54
San Diego State,73,New Mexico,71
Boise State,68,San Jose State,74
Nevada,71,Wyoming,80
San Diego State,60,Boise State,66
Fresno State,80,New Mexico,94
Colorado State,46,San Jose State,63
Utah State,91,Nevada-Las Vegas,66
New Mexico,84,Colorado State,92
San Jose State,63,Air Force,61
Nevada-Las Vegas,69,Nevada,67
Wyoming,50,San Diego State,67
Boise State,73,Utah State,86
Fresno State,65,Colorado State,67
Air Force,70,Nevada-Las Vegas,78
Wyoming,76,New Mexico,87
San Jose State,81,Nevada,77
Boise State,87,Nevada-Las Vegas,76
Colorado State,61,San Diego State,64
New Mexico,76,Utah State,91
Utah State,72,Boise State,62
San Jose State,49,San Diego State,64
Utah State,57,San Diego State,62
