Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Lindenwood,54,Eastern Illinois,55
Tennessee-Martin,74,Little Rock,88
Tennessee Tech,51,Southern Illinois-Edwardsville,64
Southeast Missouri State,81,Southern Indiana,86
Morehead State,83,Tennessee State,75
Southern Indiana,80,Eastern Illinois,91
Tennessee Tech,64,Lindenwood,82
Southern Illinois-Edwardsville,73,Southeast Missouri State,82
Little Rock,69,Tennessee State,94
Morehead State,57,Tennessee-Martin,64
Lindenwood,67,Little Rock,62
Southern Indiana,80,Morehead State,84
Tennessee State,72,Southern Illinois-Edwardsville,81
Eastern Illinois,49,Tennessee Tech,70
Southeast Missouri State,82,Tennessee-Martin,87
Tennessee State,60,Lindenwood,57
Southeast Missouri State,74,Little Rock,68
Eastern Illinois,59,Morehead State,69
Southern Illinois-Edwardsville,69,Southern Indiana,62
Tennessee Tech,84,Tennessee-Martin,80
Southern Illinois-Edwardsville,80,Eastern Illinois,62
Lindenwood,71,Southeast Missouri State,94
Little Rock,67,Southern Indiana,74
Tennessee-Martin,77,Tennessee State,66
Morehead State,62,Tennessee Tech,79
Little Rock,63,Eastern Illinois,70
Southeast Missouri State,91,Morehead State,86
Lindenwood,58,Southern Illinois-Edwardsville,68
Tennessee-Martin,66,Southern Indiana,80
Tennessee State,63,Tennessee Tech,71
Southern Indiana,81,Lindenwood,65
Tennessee Tech,77,Little Rock,75
Tennessee-Martin,80,Southeast Missouri State,60
Morehead State,67,Southern Illinois-Edwardsville,58
Eastern Illinois,74,Tennessee State,78
Morehead State,72,Lindenwood,63
Tennessee State,77,Little Rock,89
Tennessee Tech,77,Southeast Missouri State,84
Southern Indiana,82,Southern Illinois-Edwardsville,72
Eastern Illinois,78,Tennessee-Martin,91
Little Rock,72,Morehead State,76
Tennessee State,75,Southeast Missouri State,92
Eastern Illinois,74,Southern Indiana,78
Southern Illinois-Edwardsville,68,Tennessee Tech,80
Lindenwood,59,Tennessee-Martin,66
Southeast Missouri State,79,Eastern Illinois,68
Southern Illinois-Edwardsville,50,Morehead State,55
Lindenwood,66,Tennessee State,83
Little Rock,91,Tennessee Tech,89
Southern Indiana,83,Tennessee-Martin,86
Eastern Illinois,67,Lindenwood,80
Tennessee Tech,45,Morehead State,64
Little Rock,98,Southeast Missouri State,99
Tennessee-Martin,75,Southern Illinois-Edwardsville,89
Tennessee State,80,Southern Indiana,76
Tennessee State,65,Eastern Illinois,61
Tennessee-Martin,75,Lindenwood,80
Southern Illinois-Edwardsville,84,Little Rock,81
Morehead State,71,Southern Indiana,66
Southeast Missouri State,80,Tennessee Tech,82
Tennessee-Martin,75,Eastern Illinois,77
Southern Illinois-Edwardsville,63,Lindenwood,58
Morehead State,68,Little Rock,72
Southeast Missouri State,65,Tennessee State,85
Southern Indiana,69,Tennessee Tech,84
Morehead State,65,Southeast Missouri State,59
Eastern Illinois,84,Southern Illinois-Edwardsville,73
Lindenwood,64,Southern Indiana,74
Tennessee Tech,53,Tennessee State,67
Little Rock,61,Tennessee-Martin,84
Southern Indiana,82,Little Rock,81
Tennessee State,64,Morehead State,74
Eastern Illinois,64,Southeast Missouri State,78
Lindenwood,68,Tennessee Tech,77
Southern Illinois-Edwardsville,84,Tennessee-Martin,90
Eastern Illinois,77,Little Rock,81
Lindenwood,58,Morehead State,71
Southern Indiana,80,Southeast Missouri State,85
Southern Illinois-Edwardsville,85,Tennessee State,100
Tennessee-Martin,100,Tennessee Tech,91
Morehead State,69,Eastern Illinois,63
Southeast Missouri State,102,Lindenwood,105
Little Rock,79,Southern Illinois-Edwardsville,74
Tennessee Tech,82,Southern Indiana,79
Tennessee State,88,Tennessee-Martin,82
Tennessee Tech,75,Eastern Illinois,66
Little Rock,96,Lindenwood,97
Tennessee-Martin,58,Morehead State,72
Southeast Missouri State,78,Southern Illinois-Edwardsville,93
Southern Indiana,93,Tennessee State,81
Lindenwood,65,Southeast Missouri State,84
Southern Indiana,54,Southern Illinois-Edwardsville,68
Southeast Missouri State,91,Tennessee State,83
Southern Illinois-Edwardsville,75,Tennessee-Martin,81
Southeast Missouri State,65,Morehead State,58
Tennessee-Martin,63,Tennessee Tech,78
Southeast Missouri State,89,Tennessee Tech,82
