Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Southern California,66,California,51
Arizona State,60,Colorado,59
Washington State,60,Oregon,74
Washington,65,Oregon State,66
UCLA,80,Stanford,66
Arizona,66,Utah,81
California,68,Arizona,81
Stanford,64,Arizona State,68
Oregon State,62,Southern California,63
Oregon,56,UCLA,65
Colorado,63,Washington,73
Utah,67,Washington State,65
Utah,58,California,43
Colorado,73,Stanford,70
Southern California,80,Washington,67
UCLA,67,Washington State,66
Arizona,69,Arizona State,60
Colorado,76,California,80
Oregon State,68,Oregon,77
Utah,71,Stanford,66
UCLA,74,Washington,49
Southern California,71,Washington State,81
Washington,67,Arizona,70
Washington State,71,Arizona State,77
Oregon,41,Colorado,68
Southern California,58,UCLA,60
Oregon State,60,Utah,79
Stanford,70,California,92
Washington State,74,Arizona,61
Oregon State,42,Colorado,62
Oregon,70,Utah,60
Washington,65,Arizona State,73
California,51,Washington State,66
Arizona State,90,Oregon,73
Arizona,86,Oregon State,74
Colorado,61,Southern California,68
Utah,49,UCLA,68
Stanford,69,Washington,86
Arizona,68,Oregon,87
Arizona State,74,Oregon State,69
Utah,56,Southern California,71
Colorado,54,UCLA,68
California,78,Washington,81
Stanford,59,Washington State,60
Oregon,87,California,58
Southern California,66,Arizona,81
UCLA,74,Arizona State,62
Washington,75,Colorado,72
Oregon State,46,Stanford,67
Washington State,63,Utah,77
UCLA,52,Arizona,58
Southern California,77,Arizona State,69
Oregon,64,Stanford,71
Washington,61,Utah,86
Oregon State,68,California,48
Washington State,55,Colorado,58
Colorado,69,Oregon,75
Utah,63,Oregon State,44
UCLA,64,Southern California,77
Arizona State,66,Washington,69
Arizona,63,Washington State,58
Utah,56,Oregon,68
Colorado,52,Oregon State,60
California,46,Stanford,75
Arizona,95,Washington,72
Arizona State,58,Washington State,75
Oregon,76,Arizona,91
Oregon State,57,Arizona State,68
California,46,Colorado,59
Washington State,70,Southern California,80
Washington,61,UCLA,70
Stanford,78,Utah,72
Oregon State,52,Arizona,84
Oregon,75,Arizona State,70
Washington,74,Southern California,80
Washington State,52,UCLA,76
Stanford,62,Colorado,84
California,46,Utah,61
Arizona,85,California,62
Southern California,60,Oregon,78
UCLA,62,Oregon State,47
Arizona State,69,Stanford,65
Arizona State,70,California,62
UCLA,70,Oregon,63
Southern California,58,Oregon State,61
Arizona,79,Stanford,88
Colorado,62,Utah,73
Washington,51,Washington State,56
Oregon,71,Washington,72
Utah,62,Arizona,88
Colorado,67,Arizona State,59
California,60,Southern California,97
Stanford,64,UCLA,73
Oregon State,62,Washington State,80
Colorado,68,Arizona,78
Utah,59,Arizona State,67
Stanford,75,Southern California,85
California,43,UCLA,78
Oregon State,47,Washington,61
Oregon,65,Washington State,68
Washington,65,California,56
Southern California,84,Colorado,65
Washington State,67,Stanford,63
UCLA,78,Utah,71
Arizona State,89,Arizona,88
Washington State,63,California,57
Oregon,69,Oregon State,67
Southern California,62,Utah,49
UCLA,60,Colorado,56
Washington,69,Stanford,81
California,51,Oregon,84
Stanford,83,Oregon State,60
Arizona,87,Southern California,81
Arizona State,61,UCLA,79
Washington State,93,Washington,84
Utah,60,Colorado,69
Stanford,68,Oregon,73
California,66,Oregon State,69
Arizona State,65,Southern California,68
Arizona,73,UCLA,82
Oregon State,57,Arizona State,63
Stanford,73,Utah,62
Colorado,74,Washington,68
California,52,Washington State,69
Stanford,84,Arizona,95
Washington State,70,Oregon,75
Arizona State,77,Southern California,72
Colorado,69,UCLA,80
Arizona State,59,Arizona,78
Oregon,56,UCLA,75
Arizona,61,UCLA,59
