Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Lehigh,78,Army,80
Navy,75,Boston University,58
Bucknell,58,Holy Cross,60
American,60,Lafayette,47
Colgate,101,Loyola (MD),67
Loyola (MD),55,American,71
Boston University,69,Bucknell,61
Army,82,Lafayette,65
Colgate,76,Lehigh,60
Holy Cross,74,Navy,63
Lafayette,69,Boston University,73
Lehigh,72,Bucknell,64
Navy,73,Colgate,87
American,73,Holy Cross,68
Army,78,Loyola (MD),55
Boston University,74,American,76
Loyola (MD),55,Holy Cross,63
Bucknell,67,Lafayette,74
Lehigh,78,Navy,73
Colgate,77,Army,75
American,60,Army,72
Loyola (MD),67,Bucknell,57
Boston University,71,Colgate,77
Holy Cross,58,Lehigh,76
Lafayette,59,Navy,50
Army,83,Boston University,74
Bucknell,65,Colgate,71
Holy Cross,48,Lafayette,62
American,62,Lehigh,78
Navy,67,Loyola (MD),69
Lehigh,74,Loyola (MD),70
Lafayette,70,American,59
Bucknell,68,Army,66
Colgate,77,Holy Cross,71
Boston University,45,Navy,63
Navy,77,Army,71
Loyola (MD),53,Boston University,66
Holy Cross,80,Bucknell,73
American,61,Colgate,62
Lafayette,49,Lehigh,61
Colgate,64,Boston University,51
Army,61,American,63
Navy,63,Bucknell,46
Lehigh,74,Holy Cross,68
Loyola (MD),46,Lafayette,62
Holy Cross,55,Army,66
Lafayette,57,Colgate,69
Bucknell,66,Loyola (MD),80
American,73,Navy,69
Boston University,55,Lehigh,66
Loyola (MD),63,Colgate,76
Bucknell,78,American,71
Holy Cross,82,Boston University,70
Navy,53,Lafayette,34
Army,71,Lehigh,69
Colgate,60,American,61
Army,67,Bucknell,73
Navy,86,Holy Cross,68
Lehigh,66,Lafayette,64
Boston University,68,Loyola (MD),67
Lafayette,72,Holy Cross,58
Loyola (MD),70,Army,76
American,54,Boston University,60
Lehigh,53,Colgate,81
Bucknell,65,Navy,71
Holy Cross,74,American,66
Colgate,76,Bucknell,56
Boston University,65,Lafayette,69
Loyola (MD),91,Lehigh,82
Army,53,Navy,70
American,51,Bucknell,73
Army,86,Colgate,93
Boston University,69,Holy Cross,71
Navy,75,Lehigh,64
Lafayette,70,Loyola (MD),73
Lehigh,62,American,59
Lafayette,43,Army,53
Bucknell,61,Boston University,77
Holy Cross,73,Colgate,96
Loyola (MD),53,Navy,65
Navy,70,American,54
Boston University,73,Army,67
Colgate,73,Lafayette,69
Bucknell,62,Lehigh,78
Holy Cross,68,Loyola (MD),90
Lehigh,56,Boston University,59
Lafayette,65,Bucknell,75
Army,80,Holy Cross,65
American,77,Loyola (MD),83
Colgate,64,Navy,60
Bucknell,59,American,64
Holy Cross,69,Loyola (MD),73
Boston University,69,Army,71
Loyola (MD),73,Colgate,92
Lafayette,71,Lehigh,64
American,52,Navy,51
Army,74,Colgate,91
American,76,Lafayette,84
Lafayette,61,Colgate,79
