Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Florida,58,Auburn,61
Arkansas,57,Louisiana State,60
Tennessee,63,Mississippi,59
Alabama,78,Mississippi State,67
Kentucky,75,Missouri,89
Mississippi,62,Alabama,84
Louisiana State,71,Kentucky,74
Mississippi State,53,Tennessee,87
South Carolina,79,Vanderbilt,84
Missouri,68,Arkansas,74
Texas A&M,66,Florida,63
Auburn,64,Georgia,76
Kentucky,52,Alabama,78
Arkansas,59,Auburn,72
Georgia,75,Florida,82
Mississippi,54,Mississippi State,64
Vanderbilt,82,Missouri,85
Tennessee,85,South Carolina,42
Louisiana State,56,Texas A&M,69
South Carolina,71,Kentucky,68
Florida,67,Louisiana State,56
Auburn,82,Mississippi,73
Vanderbilt,68,Tennessee,77
Alabama,84,Arkansas,69
Mississippi State,50,Georgia,58
Missouri,64,Texas A&M,82
Louisiana State,66,Alabama,106
Mississippi State,63,Auburn,69
Missouri,64,Florida,73
Georgia,62,Mississippi,58
Texas A&M,94,South Carolina,53
Kentucky,63,Tennessee,56
Arkansas,84,Vanderbilt,97
Georgia,71,Kentucky,85
Tennessee,70,Mississippi State,59
Mississippi,70,South Carolina,58
Alabama,78,Vanderbilt,66
Auburn,67,Louisiana State,49
Arkansas,76,Missouri,79
Florida,52,Texas A&M,54
Mississippi,57,Arkansas,69
Vanderbilt,85,Georgia,82
Texas A&M,67,Kentucky,76
Tennessee,77,Louisiana State,56
Florida,61,Mississippi State,59
Alabama,85,Missouri,64
Auburn,81,South Carolina,66
Louisiana State,40,Arkansas,60
Missouri,89,Mississippi,77
Kentucky,69,Vanderbilt,53
Mississippi State,63,Alabama,66
Texas A&M,79,Auburn,63
South Carolina,60,Florida,81
Georgia,41,Tennessee,70
South Carolina,78,Georgia,81
Vanderbilt,66,Texas A&M,72
Vanderbilt,44,Alabama,101
Texas A&M,70,Arkansas,81
Kentucky,75,Mississippi,66
Mississippi State,66,South Carolina,51
Georgia,73,Auburn,94
Tennessee,54,Florida,67
Louisiana State,77,Missouri,87
Florida,67,Kentucky,72
Alabama,79,Louisiana State,69
Missouri,52,Mississippi State,63
Arkansas,65,South Carolina,63
Auburn,43,Tennessee,46
Georgia,57,Texas A&M,82
Mississippi,71,Vanderbilt,74
Mississippi,78,Georgia,74
Arkansas,88,Kentucky,73
South Carolina,74,Missouri,83
Auburn,78,Texas A&M,83
Florida,69,Alabama,97
Louisiana State,53,Mississippi State,64
Tennessee,65,Vanderbilt,66
Mississippi State,70,Arkansas,64
Alabama,77,Auburn,69
Vanderbilt,88,Florida,80
Kentucky,68,Georgia,75
Texas A&M,74,Louisiana State,62
South Carolina,64,Mississippi,61
Missouri,86,Tennessee,85
Missouri,56,Auburn,89
Louisiana State,63,Georgia,65
Vanderbilt,75,South Carolina,64
Mississippi,64,Florida,79
Kentucky,71,Mississippi State,68
Alabama,59,Tennessee,68
Arkansas,56,Texas A&M,62
Georgia,59,Alabama,108
Florida,65,Arkansas,84
Tennessee,54,Kentucky,66
South Carolina,82,Louisiana State,73
Mississippi State,69,Mississippi,61
Texas A&M,69,Missouri,60
Auburn,65,Vanderbilt,67
Georgia,65,Arkansas,97
Mississippi State,64,Missouri,66
Tennessee,63,Texas A&M,68
Mississippi,74,Auburn,78
Kentucky,82,Florida,74
Vanderbilt,77,Louisiana State,84
Alabama,78,South Carolina,76
Arkansas,83,Alabama,86
Missouri,85,Georgia,63
Auburn,54,Kentucky,86
Louisiana State,69,Mississippi,82
Texas A&M,62,Mississippi State,69
South Carolina,45,Tennessee,85
Florida,72,Vanderbilt,88
Florida,77,Georgia,67
Texas A&M,69,Mississippi,61
South Carolina,68,Mississippi State,74
Arkansas,57,Tennessee,75
Auburn,85,Alabama,90
Vanderbilt,68,Kentucky,66
Missouri,81,Louisiana State,76
Kentucky,88,Arkansas,79
Tennessee,70,Auburn,79
Louisiana State,67,Florida,79
Mississippi,77,Missouri,82
Georgia,55,South Carolina,61
Alabama,61,Texas A&M,67
Mississippi State,72,Vanderbilt,77
Louisiana State,72,Georgia,67
Mississippi,67,South Carolina,61
Arkansas,76,Auburn,73
Mississippi State,69,Florida,68
Mississippi,55,Tennessee,70
Louisiana State,68,Vanderbilt,77
Mississippi State,49,Alabama,72
Vanderbilt,80,Kentucky,73
Tennessee,71,Missouri,79
Arkansas,61,Texas A&M,67
Missouri,61,Alabama,72
Vanderbilt,75,Texas A&M,87
Texas A&M,63,Alabama,82
