Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Northern Iowa,53,Bradley,68
Southern Illinois,80,Evansville,53
Missouri State,66,Illinois-Chicago,51
Drake,73,Indiana State,75
Valparaiso,64,Belmont,76
Illinois State,67,Murray State,70
Illinois-Chicago,64,Drake,77
Bradley,58,Missouri State,40
Evansville,55,Northern Iowa,72
Belmont,77,Illinois State,87
Murray State,77,Valparaiso,70
Indiana State,74,Southern Illinois,71
Bradley,60,Belmont,63
Illinois State,51,Illinois-Chicago,55
Missouri State,79,Northern Iowa,67
Valparaiso,63,Drake,68
Evansville,63,Indiana State,91
Southern Illinois,63,Murray State,57
Illinois-Chicago,45,Bradley,79
Northern Iowa,66,Illinois State,60
Murray State,78,Evansville,61
Drake,49,Missouri State,52
Belmont,45,Southern Illinois,63
Indiana State,68,Valparaiso,50
Indiana State,76,Illinois State,67
Belmont,77,Illinois-Chicago,71
Evansville,62,Missouri State,85
Bradley,58,Murray State,67
Drake,49,Southern Illinois,53
Northern Iowa,69,Valparaiso,67
Missouri State,61,Belmont,74
Valparaiso,66,Bradley,88
Murray State,64,Drake,82
Illinois State,69,Evansville,61
Illinois-Chicago,60,Indiana State,80
Southern Illinois,57,Northern Iowa,69
Drake,76,Illinois-Chicago,71
Murray State,67,Northern Iowa,75
Belmont,74,Valparaiso,59
Evansville,46,Bradley,91
Missouri State,66,Illinois State,76
Southern Illinois,69,Indiana State,61
Northern Iowa,72,Belmont,76
Bradley,61,Drake,86
Valparaiso,76,Evansville,69
Illinois-Chicago,64,Murray State,81
Illinois State,57,Southern Illinois,69
Indiana State,62,Missouri State,64
Murray State,65,Belmont,80
Evansville,70,Southern Illinois,77
Illinois-Chicago,66,Valparaiso,76
Missouri State,65,Drake,62
Bradley,78,Indiana State,67
Illinois State,63,Northern Iowa,65
Belmont,78,Bradley,76
Drake,97,Evansville,61
Valparaiso,71,Illinois State,51
Northern Iowa,78,Illinois-Chicago,72
Southern Illinois,61,Missouri State,57
Indiana State,73,Murray State,82
Indiana State,68,Drake,70
Illinois-Chicago,59,Missouri State,63
Murray State,64,Southern Illinois,68
Illinois State,75,Bradley,79
Belmont,73,Evansville,64
Valparaiso,66,Northern Iowa,77
Northern Iowa,71,Indiana State,79
Missouri State,71,Murray State,74
Evansville,69,Valparaiso,81
Drake,79,Belmont,61
Southern Illinois,66,Illinois State,72
Bradley,83,Illinois-Chicago,76
Southern Illinois,52,Bradley,62
Northern Iowa,81,Drake,88
Indiana State,83,Evansville,65
Illinois-Chicago,62,Illinois State,68
Valparaiso,67,Missouri State,76
Belmont,82,Murray State,83
Illinois State,75,Belmont,90
Evansville,61,Illinois-Chicago,70
Murray State,56,Indiana State,99
Bradley,77,Northern Iowa,69
Drake,85,Valparaiso,82
Missouri State,53,Southern Illinois,73
Drake,92,Murray State,68
Northern Iowa,59,Evansville,71
Bradley,79,Illinois State,61
Valparaiso,62,Indiana State,84
Belmont,59,Missouri State,61
Illinois-Chicago,66,Southern Illinois,68
Illinois-Chicago,71,Belmont,98
Murray State,48,Bradley,83
Southern Illinois,59,Drake,82
Indiana State,80,Northern Iowa,62
Illinois State,76,Valparaiso,81
Missouri State,66,Evansville,60
Southern Illinois,66,Valparaiso,62
Evansville,63,Belmont,95
Missouri State,54,Bradley,64
Murray State,76,Illinois State,75
Indiana State,79,Illinois-Chicago,60
Drake,82,Northern Iowa,74
Illinois State,64,Indiana State,80
Northern Iowa,69,Missouri State,66
Evansville,58,Murray State,74
Belmont,56,Drake,70
Valparaiso,73,Illinois-Chicago,74
Bradley,50,Southern Illinois,48
Murray State,69,Missouri State,84
Indiana State,88,Belmont,89
Illinois State,51,Drake,82
Illinois-Chicago,82,Evansville,76
Northern Iowa,63,Southern Illinois,86
Bradley,76,Valparaiso,66
Drake,61,Bradley,73
Evansville,53,Illinois State,72
Southern Illinois,68,Illinois-Chicago,65
Missouri State,66,Indiana State,62
Valparaiso,76,Murray State,77
Belmont,83,Northern Iowa,75
Evansville,58,Indiana State,97
Illinois-Chicago,57,Missouri State,74
Valparaiso,50,Murray State,78
Illinois State,62,Northern Iowa,75
Indiana State,94,Belmont,91
Northern Iowa,66,Bradley,72
Murray State,62,Drake,74
Missouri State,51,Southern Illinois,54
Indiana State,70,Bradley,71
Southern Illinois,52,Drake,65
Drake,77,Bradley,51
