Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Southern Utah,79,New Mexico State,75
California Baptist,59,Grand Canyon,73
Abilene Christian,68,Stephen F. Austin,75
UT Arlington,63,Tarleton State,70
Texas-Rio Grande Valley,66,Utah Tech,81
Sam Houston,64,Utah Valley,80
Tarleton State,63,Abilene Christian,69
Sam Houston,75,New Mexico State,62
California Baptist,65,Seattle,71
Texas-Rio Grande Valley,88,Southern Utah,94
Stephen F. Austin,66,UT Arlington,62
Utah Tech,60,Utah Valley,71
New Mexico State,60,Stephen F. Austin,69
Utah Tech,58,California Baptist,72
Grand Canyon,72,Sam Houston,68
Southern Utah,65,Tarleton State,68
Seattle,66,Texas-Rio Grande Valley,64
Utah Valley,72,UT Arlington,64
Southern Utah,74,Abilene Christian,72
California Baptist,70,New Mexico State,61
Tarleton State,68,Sam Houston,75
Grand Canyon,68,Stephen F. Austin,73
Utah Valley,75,Texas-Rio Grande Valley,61
Seattle,76,UT Arlington,61
Utah Valley,71,California Baptist,67
Abilene Christian,86,Texas-Rio Grande Valley,103
UT Arlington,48,Grand Canyon,80
New Mexico State,66,Seattle,69
Sam Houston,74,Southern Utah,86
Stephen F. Austin,85,Utah Tech,72
Grand Canyon,74,California Baptist,79
UT Arlington,66,New Mexico State,55
Stephen F. Austin,58,Southern Utah,67
Abilene Christian,63,Tarleton State,72
Sam Houston,78,Utah Tech,53
Seattle,85,Utah Valley,80
Utah Tech,85,Grand Canyon,89
Abilene Christian,54,Utah Valley,84
Stephen F. Austin,71,Sam Houston,76
Tarleton State,47,Seattle,67
New Mexico State,76,Southern Utah,111
Texas-Rio Grande Valley,73,UT Arlington,85
UT Arlington,68,Abilene Christian,84
Tarleton State,48,California Baptist,77
Utah Valley,76,Grand Canyon,74
Texas-Rio Grande Valley,64,Sam Houston,83
Southern Utah,60,Seattle,81
New Mexico State,76,Utah Tech,89
Texas-Rio Grande Valley,66,Stephen F. Austin,83
California Baptist,74,UT Arlington,66
Grand Canyon,75,Abilene Christian,73
Seattle,40,Sam Houston,55
Utah Valley,67,Southern Utah,79
Utah Tech,72,Tarleton State,74
Utah Tech,76,Abilene Christian,81
Seattle,65,Stephen F. Austin,79
Grand Canyon,62,Tarleton State,81
California Baptist,58,Texas-Rio Grande Valley,64
New Mexico State,72,Utah Valley,77
Southern Utah,72,California Baptist,71
Stephen F. Austin,67,New Mexico State,73
Abilene Christian,83,Seattle,68
Sam Houston,67,Texas-Rio Grande Valley,65
Utah Valley,76,Utah Tech,69
Abilene Christian,87,California Baptist,71
Stephen F. Austin,83,Grand Canyon,86
Seattle,75,New Mexico State,82
Texas-Rio Grande Valley,68,Tarleton State,65
Sam Houston,58,UT Arlington,70
Southern Utah,79,Utah Tech,86
Tarleton State,69,UT Arlington,64
New Mexico State,67,Grand Canyon,78
Utah Tech,71,Seattle,75
California Baptist,55,Utah Valley,71
Tarleton State,62,Southern Utah,72
UT Arlington,64,Texas-Rio Grande Valley,58
Sam Houston,77,Abilene Christian,62
New Mexico State,,California Baptist,
Grand Canyon,58,Seattle,63
Stephen F. Austin,82,Texas-Rio Grande Valley,72
Tarleton State,75,Utah Tech,71
Southern Utah,83,Utah Valley,90
Seattle,63,California Baptist,84
Texas-Rio Grande Valley,77,Grand Canyon,76
Abilene Christian,,New Mexico State,
UT Arlington,56,Sam Houston,66
Tarleton State,60,Stephen F. Austin,65
Abilene Christian,84,Grand Canyon,94
Utah Tech,71,Southern Utah,81
Texas-Rio Grande Valley,,New Mexico State,
Utah Valley,67,Seattle,58
UT Arlington,75,Stephen F. Austin,70
Sam Houston,64,Tarleton State,59
Stephen F. Austin,91,Abilene Christian,87
Grand Canyon,,New Mexico State,
California Baptist,45,Sam Houston,56
Utah Valley,58,Tarleton State,77
Utah Tech,88,Texas-Rio Grande Valley,81
Southern Utah,86,UT Arlington,76
Seattle,65,Grand Canyon,54
Utah Valley,66,Abilene Christian,62
Southern Utah,57,Sam Houston,64
Tarleton State,95,Texas-Rio Grande Valley,99
Utah Tech,69,UT Arlington,71
California Baptist,58,Stephen F. Austin,80
New Mexico State,,Abilene Christian,
Texas-Rio Grande Valley,70,California Baptist,88
Grand Canyon,83,Southern Utah,78
Sam Houston,64,Stephen F. Austin,59
Seattle,56,Utah Tech,93
UT Arlington,59,Utah Valley,78
Abilene Christian,54,Sam Houston,72
UT Arlington,56,Seattle,80
California Baptist,71,Southern Utah,81
New Mexico State,,Tarleton State,
Grand Canyon,71,Utah Tech,61
Stephen F. Austin,69,Utah Valley,113
Abilene Christian,62,California Baptist,69
UT Arlington,77,Grand Canyon,82
Utah Tech,80,Stephen F. Austin,76
Texas-Rio Grande Valley,70,Tarleton State,74
California Baptist,51,Sam Houston,64
Grand Canyon,84,Seattle,79
Utah Tech,75,Southern Utah,76
Tarleton State,58,Utah Valley,72
Grand Canyon,78,Sam Houston,75
Southern Utah,89,Utah Valley,88
Grand Canyon,84,Southern Utah,66
