Visitor/Neutral,PTS,Home/Neutral,PTS
,,,
Brigham Young,69,Pacific,49
Loyola Marymount,92,Portland,72
San Diego,58,Saint Mary's (CA),85
San Francisco,67,Santa Clara,79
Portland,58,Brigham Young,71
Pepperdine,88,Gonzaga,111
Loyola Marymount,72,Pacific,78
San Diego,80,San Francisco,68
Saint Mary's (CA),67,Santa Clara,64
Brigham Young,59,Loyola Marymount,64
Santa Clara,89,Pepperdine,79
Pacific,84,San Diego,82
Gonzaga,77,San Francisco,75
San Francisco,72,Loyola Marymount,70
Pacific,80,Pepperdine,75
Portland,43,Saint Mary's (CA),85
Brigham Young,68,San Diego,48
Gonzaga,81,Santa Clara,76
Gonzaga,75,Brigham Young,74
San Francisco,87,Portland,92
Loyola Marymount,62,Saint Mary's (CA),76
Pepperdine,89,San Diego,92
Pepperdine,81,Brigham Young,91
Portland,75,Gonzaga,115
San Diego,84,Loyola Marymount,98
Santa Clara,92,Pacific,81
Saint Mary's (CA),78,San Francisco,61
Loyola Marymount,68,Gonzaga,67
Saint Mary's (CA),73,Pepperdine,44
San Diego,83,Portland,88
Pacific,57,San Francisco,78
Brigham Young,76,Santa Clara,83
Gonzaga,99,Pacific,90
Pepperdine,76,Portland,91
Santa Clara,58,Saint Mary's (CA),77
Brigham Young,74,San Francisco,82
Portland,60,Loyola Marymount,79
San Diego,87,Pepperdine,78
Saint Mary's (CA),57,Brigham Young,56
Pepperdine,70,Loyola Marymount,84
Gonzaga,82,Portland,67
San Francisco,94,San Diego,81
Pacific,95,Santa Clara,89
Loyola Marymount,61,Brigham Young,89
Santa Clara,70,Gonzaga,88
Pepperdine,73,Pacific,81
San Francisco,59,Saint Mary's (CA),68
Portland,80,San Diego,61
Pacific,66,Brigham Young,81
Portland,93,Pepperdine,94
Gonzaga,70,Saint Mary's (CA),78
Loyola Marymount,79,San Diego,87
Santa Clara,84,San Francisco,70
San Francisco,81,Gonzaga,99
Saint Mary's (CA),74,Loyola Marymount,78
Brigham Young,80,Pepperdine,92
Pacific,73,Portland,81
San Diego,75,Santa Clara,80
Brigham Young,81,Gonzaga,88
San Diego,94,Pacific,99
Saint Mary's (CA),81,Portland,64
Pepperdine,80,San Francisco,88
Loyola Marymount,69,Santa Clara,71
Santa Clara,81,Brigham Young,74
Gonzaga,108,Loyola Marymount,65
San Francisco,76,Pacific,68
Saint Mary's (CA),62,San Diego,59
Pacific,88,Loyola Marymount,90
Gonzaga,97,Pepperdine,88
Santa Clara,103,Portland,84
Brigham Young,65,Saint Mary's (CA),71
San Diego,72,Gonzaga,97
Pacific,52,Saint Mary's (CA),83
Portland,89,San Francisco,92
Pepperdine,82,Santa Clara,91
San Francisco,61,Brigham Young,87
Saint Mary's (CA),68,Gonzaga,77
Portland,77,Pacific,81
Loyola Marymount,75,Pepperdine,67
Santa Clara,81,San Diego,63
Pepperdine,71,Pacific,84
San Diego,74,Portland,92
Portland,71,Brigham Young,82
Pacific,63,San Francisco,80
Brigham Young,73,Loyola Marymount,63
San Francisco,93,Santa Clara,87
San Francisco,73,Gonzaga,84
Brigham Young,69,Saint Mary's (CA),76
Gonzaga,77,Saint Mary's (CA),51
