,PTS,PTS.1,W_x,L_x,Pace_x,ORtg_x,FTr_x,3PAr_x,TS%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,eFG%_x,TOV%_x,ORB%_x,FT/FGA_x,Conf_x,W_y,L_y,Pace_y,ORtg_y,FTr_y,3PAr_y,TS%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,eFG%_y,TOV%_y,ORB%_y,FT/FGA_y,Conf_y
PTS,1.0,0.33482650273072273,0.21771134711845913,-0.22159063746004828,0.2669104788158805,0.29918727330155737,0.04264373300968923,0.03585439525075837,0.271826307792218,0.10661925927019317,0.026421753928755193,0.03853437306843783,-0.015763415490970614,0.2672909857826607,-0.14440656052780038,0.07260507601162122,0.072126505068957,0.010038713299403854,-0.20969125188689489,0.20809000166263872,0.25227093108224824,-0.026121677039110176,0.04272470669565478,-0.0006281328667505774,0.01939074300576284,-0.16131437316289582,-0.05324304037954412,-0.09786407707618296,-0.115476055682416,0.008080357639468311,0.04431878335741942,-0.06846454921158997,0.052623312568789694,0.012252266072660865
PTS.1,0.33482650273072273,1.0,-0.20360355588767734,0.19662237105890765,0.2695082386659736,-0.0344105900108935,0.024724388976665176,-0.0013343814378586187,0.00598307238778828,-0.1404459623833821,-0.0714095826996645,-0.10620313528865263,-0.10721088819834054,0.0020508078810372535,0.04612526599447531,-0.05829943308886779,0.026240438098021512,-0.0030824778780693526,0.2841009724841654,-0.2815478818237893,0.289925619808646,0.3883802789555183,0.06830926307833331,0.06711630138759447,0.35071042707862615,0.15045964061374809,0.07235998411705115,0.021624623425310678,0.014735601177377962,0.3343909593777819,-0.20284430067123185,0.08536890926724518,0.1170340066988235,-0.002318848503539788
W_x,0.21771134711845913,-0.20360355588767734,1.0,-0.9616673976631901,0.0419450366532577,0.75824741269997,0.10797783223287322,0.09779921970608314,0.591588945521192,0.5473555063129389,0.26694696720269695,0.2479760034489294,0.27688846027215136,0.5720670555395344,-0.4695412267478208,0.2892967060359997,0.17997332517810044,-0.07393322836407375,0.0484840452076141,-0.025126098082417524,-0.037211334481538134,0.048246107155818285,0.011635391857481286,0.016162987670625975,0.024801602983838673,0.03032118625315226,0.060946714404063,-0.0104514787307469,0.07233906542971831,0.016547970470139332,-0.06084939418363259,0.009944274678910006,0.02515182598157368,-0.06702187960895307
L_x,-0.22159063746004828,0.19662237105890765,-0.9616673976631901,1.0,-0.06479690439738067,-0.747611124520271,-0.1163082494274763,-0.10086662648380242,-0.5949166996265434,-0.5478549694145057,-0.25569419189327075,-0.2683254770062614,-0.2618913443555766,-0.5774093333263899,0.4492539478758653,-0.2829350120304308,-0.1824945818908964,0.0675620768065876,-0.019145418322174743,0.010863585067417946,0.025057747703810817,-0.03317139527992907,0.0007551516486883644,-0.02488164410435815,-0.01830532792812711,-0.022959457042379002,-0.04511273323869918,0.02423221794779141,-0.05397597561717528,-0.014980025841256399,0.04822529418027342,0.004478504034371543,-0.007885329261376514,0.05809603320284536
Pace_x,0.2669104788158805,0.2695082386659736,0.0419450366532577,-0.06479690439738067,1.0,0.14290024253783892,0.2785474304034991,-0.11129954670462128,0.19304405410153988,-0.06977744069574589,0.009895804063681967,0.1669640607674263,-0.00855651594014548,0.16981983591851296,0.05207494756620447,0.057121757954452096,0.2564294606890227,0.13266326733178935,-0.03836045857460071,0.032411537355673814,0.16717301817780525,-0.013035370434193278,0.08660140487603611,0.008541425605494578,0.004154984642541128,-0.012457550087910484,0.016884686256413407,0.08912195996919364,-0.0355973801455186,-0.004438859403660623,0.11104194504286503,0.07796344997044984,0.07335931577438917,0.1342817982333121
ORtg_x,0.29918727330155737,-0.0344105900108935,0.75824741269997,-0.747611124520271,0.14290024253783892,1.0,0.014359999591116604,0.2381948015546665,0.8372551990152359,0.4902431499147953,0.19055767360173415,-0.0059584223057200705,0.05110708991871191,0.8180119708598622,-0.6289661427804307,0.21562508110599643,0.14888372861676866,-0.07560976790199767,0.05673190840152402,-0.04492374552797384,-0.016990885716202542,0.15916250926868863,-0.01655875554985707,0.0905869372605659,0.14399675619931881,0.04220996001324205,0.03033232761087676,-0.06851899967698456,0.025485869839758753,0.13840337075464845,-0.13264070640569675,-0.0330430335648777,0.018031073095017325,-0.07621784969661335
FTr_x,0.04264373300968923,0.024724388976665176,0.10797783223287322,-0.1163082494274763,0.2785474304034991,0.014359999591116604,1.0,-0.18161676384978181,0.1057666666191382,0.14416551419705864,-0.02584399541674248,0.08109674144524219,0.0841405584079869,-0.03925650309208712,0.2868827142258144,0.19665698149577546,0.9388237978293933,0.12457005252787576,0.0034050938021791765,0.013983332090375927,0.07682285842532259,-0.025166816469881722,0.14759459269814976,-0.044367657922388413,-0.031867821963798906,0.01859429155578325,-0.017726300744779554,0.04281181818760522,0.013153999954798079,-0.0464390168562817,0.08396222474731285,0.09582345430611405,0.12246440493698936,0.11418459538599482
3PAr_x,0.03585439525075837,-0.0013343814378586187,0.09779921970608314,-0.10086662648380242,-0.11129954670462128,0.2381948015546665,-0.18161676384978181,1.0,0.30709746543520694,-0.08867617536692292,0.15835311486684772,-0.22245967542975875,-0.22705300856572158,0.32001435826919716,-0.16506394244509437,-0.2807454492146644,-0.10711873657616322,-0.06416430210175035,0.014651341490374677,-0.024109775160806254,-0.007509287869473274,0.08421732798311576,-0.051568032349912904,0.0563118267871888,0.09075256439403098,0.027835680358804037,0.0009610745888504543,-0.05095767852151982,8.807130496336212e-06,0.10273348554597966,-0.06976930425390755,-0.04887156610392459,-0.04303098739989045,-0.06650305877853883
TS%_x,0.271826307792218,0.00598307238778828,0.591588945521192,-0.5949166996265434,0.19304405410153988,0.8372551990152359,0.1057666666191382,0.30709746543520694,1.0,0.25048365239450177,0.23700923817706043,-0.08629147893980518,-0.08195192246930008,0.9715257964549333,-0.2797909244383648,-0.1559032244653607,0.24883267832616834,-0.07149098599249869,0.02715006749936571,-0.020480407596012773,-0.000966259760155632,0.14011483189612012,-0.02471346264988271,0.09780326468192574,0.15864657310167884,0.03550078543744663,0.02080445550003872,-0.07153450725723204,-0.016543226244963096,0.159877489665923,-0.08248080709543941,-0.059066840163604924,0.0038220777569425947,-0.07486357912586794
TRB%_x,0.10661925927019317,-0.1404459623833821,0.5473555063129389,-0.5478549694145057,-0.06977744069574589,0.4902431499147953,0.14416551419705864,-0.08867617536692292,0.25048365239450177,1.0,0.13506816808483674,-0.08146114417471251,0.18554666689640728,0.24327605820051026,-0.11103177058084064,0.7124223165867412,0.143142285548188,-0.012830507456449147,0.04825612868938361,-0.04460421030999069,-0.022951452149720067,0.044727419484818336,0.01923057043035994,0.02659291213448112,0.04019808145386878,-0.010955390238609738,0.02776284700897008,0.00033460691538199404,0.030137083121474482,0.03616963725440049,-0.06330679053273122,-0.03770525940908113,0.025521161762104325,0.001394671030958089
