School,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
Connecticut,37,3,81.4,63.4,18,8.7,12.04,14.67,26.7,127.65,89.05,38.6
Houston,32,5,73.5,57.6,15.89,9.8,6.19,19.5,25.69,120.4,81.96,38.45
Purdue,34,5,82.3,69,13.33,11.6,14.65,10.29,24.93,126.62,91.31,35.31
Arizona,27,9,87.1,72.1,15.08,9.45,18.59,5.95,24.54,122.12,89.17,32.95
Auburn,27,8,83.1,68.3,14.8,7.66,13.48,8.98,22.46,121.57,90.09,31.48
Iowa State,29,8,75.3,61.5,13.78,8.51,7.34,14.96,22.3,116.88,84.75,32.13
Tennessee,27,9,78.8,67.4,11.39,10.42,9.93,11.88,21.81,117.86,87.09,30.77
North Carolina,29,8,81.9,70.5,11.46,9.9,14.07,7.29,21.36,120.54,90.49,30.06
Alabama,25,12,90.1,81.2,8.89,11.8,21.71,-1.02,20.69,126.91,98.07,28.84
Duke,27,9,78.6,66.3,12.31,8.36,10.4,10.27,20.67,122.91,92.47,30.43
Creighton,25,10,80.4,69.9,10.54,9.53,12.41,7.66,20.07,122.98,94.05,28.93
Illinois,29,9,83.4,73.3,10.03,9.54,16.22,3.34,19.56,124.46,96.86,27.6
Baylor,24,11,80.4,71.1,9.29,10.71,12.88,6.62,19.5,125.34,97.03,28.31
Brigham Young,23,11,81.4,69.9,11.47,7.86,13.05,6.28,19.33,121.51,94.14,27.37
Marquette,27,10,78.1,69.8,8.24,11.02,11.1,8.16,19.27,119.62,92.61,27.01
Gonzaga,27,8,84.5,69.1,15.4,4.02,12.87,5.06,17.93,122.62,97.22,25.41
Michigan State,20,15,72.9,66.1,6.83,10.89,4.42,13.3,17.72,115.32,90.23,25.09
Kentucky,23,10,89,79.7,9.33,7.46,19.16,-2.37,16.79,122.17,99.28,22.89
St. John's (NY),20,13,78.8,71.9,6.91,9.58,11.01,5.47,16.49,118.8,95.19,23.61
Kansas,23,11,75.6,69.9,5.68,11.32,8.37,7.99,16.35,115.37,92.19,23.19
Saint Mary's (CA),26,8,74,59.2,14.79,3.46,1.55,14.77,16.31,115.39,90.41,24.98
Clemson,24,12,77.4,71.2,6.17,10.04,8.11,8.1,16.2,118.69,95.62,23.07
Wisconsin,22,14,74.7,70,4.67,11.35,7.97,8.05,16.01,120.15,96.34,23.81
Colorado,26,11,79.3,71.7,7.59,8.36,10.09,5.86,15.95,118.9,96.38,22.52
Texas,21,13,75.4,68.9,6.5,9.41,7.62,8.28,15.91,116.41,93.36,23.05
Florida,24,12,85.6,79.2,6.36,8.81,16.32,-1.15,15.17,119.81,98.89,20.92
Cincinnati,22,15,74.7,68.2,6.57,8.49,6.22,8.84,15.06,113.74,92.3,21.44
New Mexico,26,10,81,70.7,10.31,5.38,11.78,3.26,15.04,113.9,93.19,20.7
Utah,22,15,78.8,73.2,5.59,9.41,10.4,4.6,15,115.69,94.62,21.06
Texas Tech,23,11,75.3,69.6,5.68,9.28,7.52,7.44,14.96,118.26,96.41,21.85
Wake Forest,21,14,78.1,70.7,7.43,7.52,10.05,4.89,14.94,118.3,96.8,21.5
Pittsburgh,22,11,75.6,67.6,7.97,6.92,5.9,8.99,14.89,116.68,95.64,21.04
San Diego State,26,11,74.1,66.7,7.43,8.37,4.78,9.9,14.68,113.41,92.17,21.24
Oklahoma,20,12,75.4,68.8,6.59,8.07,6.8,7.86,14.66,116.21,95.43,20.78
TCU,21,13,79,71.7,7.29,7.32,10.56,4.06,14.62,114.88,94.91,19.98
Villanova,18,16,70.2,65.6,4.62,9.82,2.29,12.15,14.44,112.93,91.72,21.21
Nebraska,23,11,77.7,70.9,6.82,7.53,9.11,5.24,14.36,115.91,95.53,20.38
Mississippi State,21,14,74.1,69.1,5.03,9.16,4.65,9.54,14.19,112.76,92.94,19.82
Washington State,25,10,73.5,66.7,6.83,7.19,3.38,10.63,14.02,114.4,94.35,20.05
Ohio State,22,14,75.5,70.2,5.28,8.37,6.3,7.35,13.64,115.86,96.61,19.25
Dayton,25,8,74.2,66.5,7.73,5.73,4.96,8.49,13.45,118.29,98.15,20.14
Indiana State,32,7,84.8,73.2,11.67,2.26,13.21,0.23,13.44,119.38,100.75,18.63
Colorado State,25,11,75.2,67.3,7.92,7.28,4.71,8.69,13.4,115.56,96.01,19.54
