,,Tot,Tot
Tm,PA,Ply,Y/P
,,,
Los Angeles Rams,296,989,4.6
Baltimore Ravens,303,1017,5.2
Pittsburgh Steelers,312,996,4.9
Washington Football Team,329,1004,4.9
New Orleans Saints,337,992,5
Miami Dolphins,338,998,5.9
New England Patriots,353,982,5.8
Tampa Bay Buccaneers,355,1023,5.1
New York Giants,357,1046,5.3
Indianapolis Colts,362,992,5.4
Kansas City Chiefs,362,1022,5.6
Arizona Cardinals,367,1054,5.3
Green Bay Packers,369,974,5.5
Chicago Bears,370,1020,5.4
Seattle Seahawks,371,1112,5.5
Buffalo Bills,375,1025,5.5
San Francisco 49ers,390,997,5
Carolina Panthers,402,1022,5.6
Atlanta Falcons,414,1034,6.2
Philadelphia Eagles,418,1060,5.5
Cleveland Browns,419,1035,5.5
Cincinnati Bengals,424,1021,6.1
Los Angeles Chargers,426,997,5.5
Tennessee Titans,439,1076,5.9
Denver Broncos,446,1043,5.6
New York Jets,457,1081,5.7
Houston Texans,464,1068,6.2
Dallas Cowboys,473,1054,5.9
Minnesota Vikings,475,1036,6.1
Las Vegas Raiders,478,1039,6
Jacksonville Jaguars,492,1068,6.3
Detroit Lions,519,1068,6.3
