,,Tot,Tot
Tm,PF,Ply,Y/P
,,,
Dallas Cowboys,509,1122,5.6
Miami Dolphins,496,1053,6.5
San Francisco 49ers,491,1024,6.6
Baltimore Ravens,483,1076,5.9
Detroit Lions,461,1137,5.9
Buffalo Bills,451,1115,5.7
Philadelphia Eagles,433,1112,5.4
Los Angeles Rams,404,1094,5.6
New Orleans Saints,402,1121,5.1
Indianapolis Colts,396,1094,5.2
Cleveland Browns,396,1187,4.8
Green Bay Packers,383,1052,5.6
Houston Texans,377,1083,5.4
Jacksonville Jaguars,377,1114,5.2
Kansas City Chiefs,371,1080,5.5
Cincinnati Bengals,366,1048,5.2
Seattle Seahawks,364,995,5.5
Chicago Bears,360,1097,5
Denver Broncos,357,1016,5
Tampa Bay Buccaneers,348,1047,5.1
Los Angeles Chargers,346,1106,5.1
Minnesota Vikings,344,1071,5.5
Las Vegas Raiders,332,1010,4.9
Arizona Cardinals,330,1068,5.2
Washington Commanders,329,1060,5
Atlanta Falcons,321,1092,5.2
Tennessee Titans,305,1002,4.9
Pittsburgh Steelers,304,1029,5
New York Jets,268,1053,4.3
New York Giants,266,1057,4.5
New England Patriots,236,1020,4.6
Carolina Panthers,236,1096,4.1
