,,Tot,Tot
Tm,PA,Ply,Y/P
,,,
Los Angeles Chargers,301,1037,5.3
Philadelphia Eagles,303,999,4.7
Denver Broncos,311,1093,4.9
Kansas City Chiefs,326,1026,5.3
Minnesota Vikings,332,1078,5.3
Green Bay Packers,338,1036,5.2
Detroit Lions,342,1016,5.7
Pittsburgh Steelers,347,1034,5.4
Baltimore Ravens,361,1062,5.2
Miami Dolphins,364,1012,5.3
Buffalo Bills,368,1052,5.5
Seattle Seahawks,368,1065,5.3
Chicago Bears,370,1028,5.9
Houston Texans,372,1050,5.1
Arizona Cardinals,379,1045,5.6
Tampa Bay Buccaneers,385,1065,5.5
Los Angeles Rams,386,1057,5.7
Washington Commanders,391,1029,5.4
New Orleans Saints,398,1119,5.8
New York Jets,404,1068,5
New York Giants,415,1051,5.6
New England Patriots,417,1068,5.5
Atlanta Falcons,423,1067,5.5
Indianapolis Colts,427,1112,5.5
Cincinnati Bengals,434,1088,5.4
Las Vegas Raiders,434,1053,5.4
Cleveland Browns,435,1040,5.6
Jacksonville Jaguars,435,1125,5.9
San Francisco 49ers,436,1029,5.2
Tennessee Titans,460,1008,5.2
Dallas Cowboys,468,1046,5.8
Carolina Panthers,534,1154,6
