Day,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL
,,,,,,,,,
Thu,8:20PM,Kansas City Chiefs,Houston Texans,34,20,369,0,360,1
Sun,1:00PM,Seattle Seahawks,Atlanta Falcons,38,25,383,0,506,2
Sun,1:00PM,Buffalo Bills,New York Jets,27,17,404,2,254,2
Sun,1:00PM,Las Vegas Raiders,Carolina Panthers,34,30,372,0,388,0
Sun,1:00PM,Chicago Bears,Detroit Lions,27,23,363,0,426,1
Sun,1:00PM,Baltimore Ravens,Cleveland Browns,38,6,381,1,306,3
Sun,1:00PM,Jacksonville Jaguars,Indianapolis Colts,27,20,241,0,445,2
Sun,1:00PM,Green Bay Packers,Minnesota Vikings,43,34,522,0,382,1
Sun,1:00PM,New England Patriots,Miami Dolphins,21,11,357,1,269,3
Sun,1:00PM,Washington Football Team,Philadelphia Eagles,27,17,239,0,265,3
Sun,4:05PM,Los Angeles Chargers,Cincinnati Bengals,16,13,362,0,295,2
Sun,4:25PM,Arizona Cardinals,San Francisco 49ers,24,20,404,1,366,0
Sun,4:25PM,New Orleans Saints,Tampa Bay Buccaneers,34,23,271,0,310,3
Sun,8:20PM,Los Angeles Rams,Dallas Cowboys,20,17,422,1,380,0
Mon,7:15PM,Pittsburgh Steelers,New York Giants,26,16,349,1,291,2
Mon,10:10PM,Tennessee Titans,Denver Broncos,16,14,377,0,323,1
Thu,8:20PM,Cleveland Browns,Cincinnati Bengals,35,30,434,1,353,1
Sun,1:00PM,Dallas Cowboys,Atlanta Falcons,40,39,570,3,380,0
Sun,1:00PM,Buffalo Bills,Miami Dolphins,31,28,523,1,410,0
Sun,1:00PM,Tampa Bay Buccaneers,Carolina Panthers,31,17,339,2,427,4
Sun,1:00PM,Chicago Bears,New York Giants,17,13,304,2,295,2
Sun,1:00PM,Indianapolis Colts,Minnesota Vikings,28,11,354,1,175,3
Sun,1:00PM,Pittsburgh Steelers,Denver Broncos,26,21,410,2,319,2
Sun,1:00PM,Green Bay Packers,Detroit Lions,42,21,488,0,307,1
Sun,1:00PM,Tennessee Titans,Jacksonville Jaguars,33,30,354,0,480,2
Sun,1:00PM,San Francisco 49ers,New York Jets,31,13,359,1,277,0
Sun,1:00PM,Los Angeles Rams,Philadelphia Eagles,37,19,449,1,363,3
Sun,4:05PM,Arizona Cardinals,Washington Football Team,30,15,438,1,316,2
Sun,4:25PM,Baltimore Ravens,Houston Texans,33,16,407,0,304,2
Sun,4:25PM,Kansas City Chiefs,Los Angeles Chargers,23,20,414,0,479,1
Sun,8:20PM,Seattle Seahawks,New England Patriots,35,30,429,1,464,1
Mon,8:15PM,Las Vegas Raiders,New Orleans Saints,34,24,377,1,424,1
Thu,8:20PM,Miami Dolphins,Jacksonville Jaguars,31,13,294,0,318,2
Sun,1:00PM,Chicago Bears,Atlanta Falcons,30,26,437,2,371,1
Sun,1:00PM,Buffalo Bills,Los Angeles Rams,35,32,375,2,478,2
Sun,1:00PM,Philadelphia Eagles,Cincinnati Bengals,23,23,378,2,304,0
Sun,1:00PM,Cleveland Browns,Washington Football Team,34,20,300,0,309,5
Sun,1:00PM,Pittsburgh Steelers,Houston Texans,28,21,387,0,260,1
Sun,1:00PM,Tennessee Titans,Minnesota Vikings,31,30,444,1,464,3
Sun,1:00PM,New England Patriots,Las Vegas Raiders,36,20,406,1,375,3
Sun,1:00PM,San Francisco 49ers,New York Giants,36,9,420,0,231,3
Sun,4:05PM,Carolina Panthers,Los Angeles Chargers,21,16,302,0,436,4
Sun,4:05PM,Indianapolis Colts,New York Jets,36,7,353,0,260,3
Sun,4:25PM,Detroit Lions,Arizona Cardinals,26,23,322,0,377,3
Sun,4:25PM,Seattle Seahawks,Dallas Cowboys,38,31,412,1,522,3
Sun,4:25PM,Tampa Bay Buccaneers,Denver Broncos,28,10,353,0,226,2
Sun,8:20PM,Green Bay Packers,New Orleans Saints,37,30,369,0,397,1
Mon,8:15PM,Kansas City Chiefs,Baltimore Ravens,34,20,517,1,228,1
Thu,8:20PM,Denver Broncos,New York Jets,37,28,359,3,321,0
Sun,1:00PM,Carolina Panthers,Arizona Cardinals,31,21,444,1,262,1
Sun,1:00PM,Indianapolis Colts,Chicago Bears,19,11,289,0,269,1
