,,Tot,Tot
Tm,PA,Ply,Y/P
,,,
Buffalo Bills,289,1014,4.6
New England Patriots,303,1038,5.1
Denver Broncos,322,1039,5.3
New Orleans Saints,335,1064,5.1
Tampa Bay Buccaneers,353,1093,5.2
Tennessee Titans,354,1039,5.4
Dallas Cowboys,358,1082,5.5
Kansas City Chiefs,364,1060,5.9
San Francisco 49ers,365,1032,5.1
Indianapolis Colts,365,1050,5.6
Arizona Cardinals,366,1028,5.4
Seattle Seahawks,366,1201,5.4
Green Bay Packers,371,1037,5.4
Cleveland Browns,371,1056,5
Los Angeles Rams,372,1118,5.2
Miami Dolphins,373,1081,5.3
Cincinnati Bengals,376,1075,5.5
Philadelphia Eagles,385,1076,5.2
Baltimore Ravens,392,1033,6
Pittsburgh Steelers,398,1116,5.5
Carolina Panthers,404,1028,5.1
Chicago Bears,407,1009,5.3
New York Giants,416,1137,5.3
Minnesota Vikings,426,1152,5.7
Washington Football Team,434,1065,5.7
Las Vegas Raiders,439,1103,5.2
Houston Texans,452,1101,5.9
Jacksonville Jaguars,457,1068,5.6
Atlanta Falcons,459,1114,5.6
Los Angeles Chargers,459,1103,5.6
Detroit Lions,467,1092,5.9
New York Jets,504,1145,5.9
