,,Tot,Tot
Tm,PF,Ply,Y/P
,,,
Green Bay Packers,509,990,6.3
Buffalo Bills,501,1034,6.1
Tampa Bay Buccaneers,492,1017,6
Tennessee Titans,491,1031,6.2
New Orleans Saints,482,1045,5.8
Kansas City Chiefs,473,1057,6.3
Baltimore Ravens,468,993,5.9
Seattle Seahawks,459,1022,5.8
Indianapolis Colts,451,1032,5.9
Las Vegas Raiders,434,1036,5.9
Minnesota Vikings,430,1023,6.2
Pittsburgh Steelers,416,1043,5.1
Arizona Cardinals,410,1083,5.7
Cleveland Browns,408,1022,5.8
Miami Dolphins,404,1021,5.3
Atlanta Falcons,396,1078,5.5
Dallas Cowboys,395,1113,5.3
Houston Texans,384,940,6.4
Los Angeles Chargers,384,1127,5.4
Detroit Lions,377,991,5.7
San Francisco 49ers,376,1046,5.7
Los Angeles Rams,372,1088,5.5
Chicago Bears,372,1043,5.1
Carolina Panthers,350,993,5.6
Washington Football Team,335,1051,4.8
Philadelphia Eagles,334,1066,5
New England Patriots,326,979,5.3
Denver Broncos,323,1030,5.2
Cincinnati Bengals,311,1040,4.9
Jacksonville Jaguars,306,997,5.2
New York Giants,280,966,5
New York Jets,243,948,4.7
