,,Tot,Tot
Tm,PF,Ply,Y/P
,,,
Detroit Lions,564,1118,6.2
Buffalo Bills,525,1025,6
Baltimore Ravens,518,1055,6.8
Tampa Bay Buccaneers,502,1094,6.2
Washington Commanders,485,1101,5.7
Cincinnati Bengals,472,1080,5.8
Philadelphia Eagles,463,1114,5.6
Green Bay Packers,460,1027,6.1
Minnesota Vikings,432,1054,5.6
Denver Broncos,425,1055,5.2
Los Angeles Chargers,402,1017,5.4
Arizona Cardinals,400,1036,5.9
Atlanta Falcons,389,1086,5.8
San Francisco 49ers,389,1026,6.2
Kansas City Chiefs,385,1091,5.1
Pittsburgh Steelers,380,1081,5
Indianapolis Colts,377,1041,5.5
Seattle Seahawks,375,1030,5.5
Houston Texans,372,1058,5.1
Los Angeles Rams,367,1040,5.4
Dallas Cowboys,350,1104,5
Miami Dolphins,345,1082,5.1
Carolina Panthers,341,993,5.1
New Orleans Saints,338,1032,5.3
New York Jets,338,1010,5.2
Jacksonville Jaguars,320,992,5.2
Tennessee Titans,311,1032,5
Chicago Bears,310,1065,4.5
Las Vegas Raiders,309,1065,4.8
New England Patriots,289,1027,4.8
New York Giants,273,1063,4.7
Cleveland Browns,258,1118,4.6
